# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 01, 2025071912, 03, FNV3,   0, 142S,  818E,  29, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  65,
WP, 09, 2025071912, 03, FNV3,   0, 210N, 1177E,  51,  979, XX,  34, NEQ,  150,  100,  120,  105,     ,     ,  50,
WP, 09, 2025071912, 03, FNV3,   6, 215N, 1162E,  70,  970, XX,  34, NEQ,   94,   86,   78,   86,     ,     ,  18,
WP, 09, 2025071912, 03, FNV3,   6, 215N, 1162E,  70,  970, XX,  50, NEQ,   48,   44,   37,   42,     ,     ,  18,
WP, 09, 2025071912, 03, FNV3,   6, 215N, 1162E,  70,  970, XX,  64, NEQ,   20,   18,   15,   17,     ,     ,  18,
WP, 09, 2025071912, 03, FNV3,  12, 220N, 1146E,  74,  966, XX,  34, NEQ,   82,   75,   69,   75,     ,     ,  17,
WP, 09, 2025071912, 03, FNV3,  12, 220N, 1146E,  74,  966, XX,  50, NEQ,   41,   37,   33,   36,     ,     ,  17,
WP, 09, 2025071912, 03, FNV3,  12, 220N, 1146E,  74,  966, XX,  64, NEQ,   20,   18,   16,   18,     ,     ,  17,
WP, 09, 2025071912, 03, FNV3,  18, 221N, 1132E,  73,  967, XX,  34, NEQ,   74,   67,   62,   67,     ,     ,  14,
WP, 09, 2025071912, 03, FNV3,  18, 221N, 1132E,  73,  967, XX,  50, NEQ,   36,   33,   28,   32,     ,     ,  14,
WP, 09, 2025071912, 03, FNV3,  18, 221N, 1132E,  73,  967, XX,  64, NEQ,   17,   15,   13,   15,     ,     ,  14,
WP, 09, 2025071912, 03, FNV3,  24, 220N, 1117E,  62,  974, XX,  34, NEQ,   67,   61,   56,   61,     ,     ,  18,
WP, 09, 2025071912, 03, FNV3,  24, 220N, 1117E,  62,  974, XX,  50, NEQ,   27,   25,   21,   23,     ,     ,  18,
WP, 09, 2025071912, 03, FNV3,  24, 220N, 1117E,  62,  974, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  18,
WP, 09, 2025071912, 03, FNV3,  30, 217N, 1104E,  50,  982, XX,  34, NEQ,   54,   49,   44,   48,     ,     ,  21,
WP, 09, 2025071912, 03, FNV3,  30, 217N, 1104E,  50,  982, XX,  50, NEQ,   13,   12,    9,   11,     ,     ,  21,
WP, 09, 2025071912, 03, FNV3,  30, 217N, 1104E,  50,  982, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  21,
WP, 09, 2025071912, 03, FNV3,  36, 213N, 1094E,  48,  983, XX,  34, NEQ,   53,   50,   46,   49,     ,     ,  26,
WP, 09, 2025071912, 03, FNV3,  36, 213N, 1094E,  48,  983, XX,  50, NEQ,   11,   10,    8,    9,     ,     ,  26,
WP, 09, 2025071912, 03, FNV3,  36, 213N, 1094E,  48,  983, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  26,
WP, 09, 2025071912, 03, FNV3,  42, 210N, 1087E,  52,  982, XX,  34, NEQ,   50,   47,   44,   46,     ,     ,  27,
WP, 09, 2025071912, 03, FNV3,  42, 210N, 1087E,  52,  982, XX,  50, NEQ,   13,   12,   10,   11,     ,     ,  27,
WP, 09, 2025071912, 03, FNV3,  42, 210N, 1087E,  52,  982, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  27,
WP, 09, 2025071912, 03, FNV3,  48, 207N, 1080E,  51,  982, XX,  34, NEQ,   54,   51,   48,   50,     ,     ,  25,
WP, 09, 2025071912, 03, FNV3,  48, 207N, 1080E,  51,  982, XX,  50, NEQ,   15,   14,   12,   13,     ,     ,  25,
WP, 09, 2025071912, 03, FNV3,  48, 207N, 1080E,  51,  982, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  25,
WP, 09, 2025071912, 03, FNV3,  54, 205N, 1074E,  50,  983, XX,  34, NEQ,   51,   48,   46,   47,     ,     ,  24,
WP, 09, 2025071912, 03, FNV3,  54, 205N, 1074E,  50,  983, XX,  50, NEQ,   15,   14,   12,   13,     ,     ,  24,
WP, 09, 2025071912, 03, FNV3,  54, 205N, 1074E,  50,  983, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  24,
