# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072806, 03, FNV3,   0, 110N, 1488W,  45, 1001, XX,  34, NEQ,   50,   20,   20,   50,     ,     ,  20,
CP, 01, 2025072806, 03, FNV3,   6, 107N, 1496W,  44, 1001, XX,  34, NEQ,   22,   17,   12,   19,     ,     ,  29,
CP, 01, 2025072806, 03, FNV3,   6, 107N, 1496W,  44, 1001, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  29,
CP, 01, 2025072806, 03, FNV3,  12, 107N, 1506W,  49,  999, XX,  34, NEQ,   33,   26,   19,   28,     ,     ,  27,
CP, 01, 2025072806, 03, FNV3,  12, 107N, 1506W,  49,  999, XX,  50, NEQ,    7,    5,    4,    5,     ,     ,  27,
CP, 01, 2025072806, 03, FNV3,  12, 107N, 1506W,  49,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  27,
CP, 01, 2025072806, 03, FNV3,  18, 107N, 1516W,  54,  995, XX,  34, NEQ,   38,   30,   21,   32,     ,     ,  25,
CP, 01, 2025072806, 03, FNV3,  18, 107N, 1516W,  54,  995, XX,  50, NEQ,    9,    7,    5,    7,     ,     ,  25,
CP, 01, 2025072806, 03, FNV3,  18, 107N, 1516W,  54,  995, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  25,
CP, 01, 2025072806, 03, FNV3,  24, 107N, 1527W,  58,  993, XX,  34, NEQ,   41,   32,   22,   35,     ,     ,  22,
CP, 01, 2025072806, 03, FNV3,  24, 107N, 1527W,  58,  993, XX,  50, NEQ,   13,   10,    7,   11,     ,     ,  22,
CP, 01, 2025072806, 03, FNV3,  24, 107N, 1527W,  58,  993, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  22,
CP, 01, 2025072806, 03, FNV3,  30, 107N, 1539W,  67,  987, XX,  34, NEQ,   50,   38,   27,   43,     ,     ,  21,
CP, 01, 2025072806, 03, FNV3,  30, 107N, 1539W,  67,  987, XX,  50, NEQ,   20,   16,   12,   17,     ,     ,  21,
CP, 01, 2025072806, 03, FNV3,  30, 107N, 1539W,  67,  987, XX,  64, NEQ,    6,    5,    4,    6,     ,     ,  21,
CP, 01, 2025072806, 03, FNV3,  36, 107N, 1552W,  74,  982, XX,  34, NEQ,   58,   44,   32,   50,     ,     ,  18,
CP, 01, 2025072806, 03, FNV3,  36, 107N, 1552W,  74,  982, XX,  50, NEQ,   23,   18,   14,   20,     ,     ,  18,
CP, 01, 2025072806, 03, FNV3,  36, 107N, 1552W,  74,  982, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  18,
CP, 01, 2025072806, 03, FNV3,  42, 108N, 1566W,  75,  981, XX,  34, NEQ,   55,   41,   29,   47,     ,     ,  20,
CP, 01, 2025072806, 03, FNV3,  42, 108N, 1566W,  75,  981, XX,  50, NEQ,   22,   16,   12,   18,     ,     ,  20,
CP, 01, 2025072806, 03, FNV3,  42, 108N, 1566W,  75,  981, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  20,
CP, 01, 2025072806, 03, FNV3,  48, 108N, 1581W,  72,  983, XX,  34, NEQ,   55,   41,   29,   48,     ,     ,  21,
CP, 01, 2025072806, 03, FNV3,  48, 108N, 1581W,  72,  983, XX,  50, NEQ,   21,   16,   13,   18,     ,     ,  21,
CP, 01, 2025072806, 03, FNV3,  48, 108N, 1581W,  72,  983, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  21,
CP, 01, 2025072806, 03, FNV3,  54, 107N, 1598W,  65,  989, XX,  34, NEQ,   55,   41,   28,   47,     ,     ,  25,
CP, 01, 2025072806, 03, FNV3,  54, 107N, 1598W,  65,  989, XX,  50, NEQ,   19,   14,   10,   15,     ,     ,  25,
CP, 01, 2025072806, 03, FNV3,  54, 107N, 1598W,  65,  989, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  25,
CP, 01, 2025072806, 03, FNV3,  60, 108N, 1617W,  56,  993, XX,  34, NEQ,   50,   37,   26,   42,     ,     ,  27,
CP, 01, 2025072806, 03, FNV3,  60, 108N, 1617W,  56,  993, XX,  50, NEQ,   15,   12,    9,   12,     ,     ,  27,
CP, 01, 2025072806, 03, FNV3,  60, 108N, 1617W,  56,  993, XX,  64, NEQ,    4,    3,    3,    4,     ,     ,  27,
CP, 01, 2025072806, 03, FNV3,  66, 110N, 1637W,  47,  999, XX,  34, NEQ,   42,   31,   21,   34,     ,     ,  32,
CP, 01, 2025072806, 03, FNV3,  66, 110N, 1637W,  47,  999, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  32,
CP, 01, 2025072806, 03, FNV3,  66, 110N, 1637W,  47,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
CP, 01, 2025072806, 03, FNV3,  72, 111N, 1657W,  41, 1001, XX,  34, NEQ,   32,   24,   16,   26,     ,     ,  36,
