# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072918, 03, FNV3,   0, 109N, 1550W, 111,  957, XX,  34, NEQ,   80,   60,   50,   70,     ,     ,  15,
CP, 01, 2025072918, 03, FNV3,   0, 109N, 1550W, 111,  957, XX,  50, NEQ,   40,   30,   25,   35,     ,     ,  15,
CP, 01, 2025072918, 03, FNV3,   0, 109N, 1550W, 111,  957, XX,  64, NEQ,   15,   10,   20,     ,     ,     ,  15,
CP, 01, 2025072918, 03, FNV3,   6, 108N, 1564W,  72,  983, XX,  34, NEQ,   54,   40,   28,   47,     ,     ,  18,
CP, 01, 2025072918, 03, FNV3,   6, 108N, 1564W,  72,  983, XX,  50, NEQ,   22,   16,   12,   18,     ,     ,  18,
CP, 01, 2025072918, 03, FNV3,   6, 108N, 1564W,  72,  983, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  18,
CP, 01, 2025072918, 03, FNV3,  12, 109N, 1577W,  76,  981, XX,  34, NEQ,   52,   39,   28,   46,     ,     ,  18,
CP, 01, 2025072918, 03, FNV3,  12, 109N, 1577W,  76,  981, XX,  50, NEQ,   22,   17,   12,   19,     ,     ,  18,
CP, 01, 2025072918, 03, FNV3,  12, 109N, 1577W,  76,  981, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  18,
CP, 01, 2025072918, 03, FNV3,  18, 109N, 1593W,  72,  984, XX,  34, NEQ,   54,   39,   27,   47,     ,     ,  19,
CP, 01, 2025072918, 03, FNV3,  18, 109N, 1593W,  72,  984, XX,  50, NEQ,   22,   16,   12,   18,     ,     ,  19,
CP, 01, 2025072918, 03, FNV3,  18, 109N, 1593W,  72,  984, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  19,
CP, 01, 2025072918, 03, FNV3,  24, 110N, 1610W,  59,  992, XX,  34, NEQ,   55,   41,   28,   46,     ,     ,  23,
CP, 01, 2025072918, 03, FNV3,  24, 110N, 1610W,  59,  992, XX,  50, NEQ,   16,   12,    8,   13,     ,     ,  23,
CP, 01, 2025072918, 03, FNV3,  24, 110N, 1610W,  59,  992, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  23,
CP, 01, 2025072918, 03, FNV3,  30, 112N, 1629W,  50,  998, XX,  34, NEQ,   47,   36,   23,   38,     ,     ,  30,
CP, 01, 2025072918, 03, FNV3,  30, 112N, 1629W,  50,  998, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  30,
CP, 01, 2025072918, 03, FNV3,  30, 112N, 1629W,  50,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
CP, 01, 2025072918, 03, FNV3,  36, 114N, 1650W,  43, 1000, XX,  34, NEQ,   29,   21,   12,   23,     ,     ,  31,
CP, 01, 2025072918, 03, FNV3,  36, 114N, 1650W,  43, 1000, XX,  50, NEQ,    3,    2,    2,    3,     ,     ,  31,
CP, 01, 2025072918, 03, FNV3,  36, 114N, 1650W,  43, 1000, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  31,
CP, 01, 2025072918, 03, FNV3,  42, 115N, 1671W,  41, 1002, XX,  34, NEQ,   27,   19,   11,   21,     ,     ,  35,
CP, 01, 2025072918, 03, FNV3,  42, 115N, 1671W,  41, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  35,
CP, 01, 2025072918, 03, FNV3,  48, 118N, 1690W,  38, 1003, XX,  34, NEQ,   24,   17,   10,   19,     ,     ,  39,
CP, 01, 2025072918, 03, FNV3,  48, 118N, 1690W,  38, 1003, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  39,
CP, 01, 2025072918, 03, FNV3,  54, 121N, 1710W,  37, 1004, XX,  34, NEQ,   22,   15,    9,   17,     ,     ,  40,
CP, 01, 2025072918, 03, FNV3,  54, 121N, 1710W,  37, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  40,
CP, 01, 2025072918, 03, FNV3,  60, 124N, 1729W,  35, 1004, XX,  34, NEQ,   14,    9,    5,   10,     ,     ,  44,
CP, 01, 2025072918, 03, FNV3,  60, 124N, 1729W,  35, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  44,
CP, 01, 2025072918, 03, FNV3,  66, 129N, 1746W,  38, 1004, XX,  34, NEQ,   22,   16,   10,   18,     ,     ,  40,
CP, 01, 2025072918, 03, FNV3,  66, 129N, 1746W,  38, 1004, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  40,
CP, 01, 2025072918, 03, FNV3,  66, 129N, 1746W,  38, 1004, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  40,
CP, 01, 2025072918, 03, FNV3,  72, 133N, 1763W,  36, 1004, XX,  34, NEQ,   18,   13,    8,   13,     ,     ,  40,
CP, 01, 2025072918, 03, FNV3,  72, 133N, 1763W,  36, 1004, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  40,
CP, 02, 2025072918, 03, FNV3,   0, 127N, 1491W,  35, 1006, XX,  34, NEQ,   30,    0,    0,   30,     ,     ,  20,
CP, 02, 2025072918, 03, FNV3,   6, 111N, 1556W,  71,  984, XX,  34, NEQ,   53,   39,   27,   46,     ,     ,  18,
CP, 02, 2025072918, 03, FNV3,   6, 111N, 1556W,  71,  984, XX,  50, NEQ,   22,   16,   12,   18,     ,     ,  18,
CP, 02, 2025072918, 03, FNV3,   6, 111N, 1556W,  71,  984, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  18,
CP, 02, 2025072918, 03, FNV3,  12, 109N, 1577W,  76,  981, XX,  34, NEQ,   52,   39,   28,   46,     ,     ,  18,
CP, 02, 2025072918, 03, FNV3,  12, 109N, 1577W,  76,  981, XX,  50, NEQ,   22,   17,   12,   19,     ,     ,  18,
CP, 02, 2025072918, 03, FNV3,  12, 109N, 1577W,  76,  981, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  18,
CP, 02, 2025072918, 03, FNV3,  18, 109N, 1593W,  72,  984, XX,  34, NEQ,   54,   39,   27,   47,     ,     ,  19,
CP, 02, 2025072918, 03, FNV3,  18, 109N, 1593W,  72,  984, XX,  50, NEQ,   22,   16,   12,   18,     ,     ,  19,
CP, 02, 2025072918, 03, FNV3,  18, 109N, 1593W,  72,  984, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  19,
CP, 02, 2025072918, 03, FNV3,  24, 110N, 1610W,  59,  992, XX,  34, NEQ,   55,   41,   28,   46,     ,     ,  23,
CP, 02, 2025072918, 03, FNV3,  24, 110N, 1610W,  59,  992, XX,  50, NEQ,   16,   12,    8,   13,     ,     ,  23,
CP, 02, 2025072918, 03, FNV3,  24, 110N, 1610W,  59,  992, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  23,
CP, 02, 2025072918, 03, FNV3,  30, 112N, 1629W,  50,  998, XX,  34, NEQ,   47,   36,   23,   38,     ,     ,  30,
CP, 02, 2025072918, 03, FNV3,  30, 112N, 1629W,  50,  998, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  30,
CP, 02, 2025072918, 03, FNV3,  30, 112N, 1629W,  50,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
CP, 02, 2025072918, 03, FNV3,  36, 114N, 1650W,  43, 1000, XX,  34, NEQ,   29,   21,   12,   23,     ,     ,  31,
CP, 02, 2025072918, 03, FNV3,  36, 114N, 1650W,  43, 1000, XX,  50, NEQ,    3,    2,    2,    3,     ,     ,  31,
CP, 02, 2025072918, 03, FNV3,  36, 114N, 1650W,  43, 1000, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  31,
CP, 02, 2025072918, 03, FNV3,  42, 115N, 1671W,  41, 1002, XX,  34, NEQ,   27,   19,   11,   21,     ,     ,  35,
CP, 02, 2025072918, 03, FNV3,  42, 115N, 1671W,  41, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  35,
CP, 02, 2025072918, 03, FNV3,  48, 118N, 1690W,  38, 1003, XX,  34, NEQ,   24,   17,   10,   19,     ,     ,  39,
CP, 02, 2025072918, 03, FNV3,  48, 118N, 1690W,  38, 1003, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  39,
CP, 02, 2025072918, 03, FNV3,  54, 121N, 1710W,  37, 1004, XX,  34, NEQ,   22,   15,    9,   17,     ,     ,  40,
CP, 02, 2025072918, 03, FNV3,  54, 121N, 1710W,  37, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  40,
CP, 02, 2025072918, 03, FNV3,  60, 124N, 1729W,  35, 1004, XX,  34, NEQ,   14,    9,    5,   10,     ,     ,  44,
CP, 02, 2025072918, 03, FNV3,  60, 124N, 1729W,  35, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  44,
CP, 02, 2025072918, 03, FNV3,  66, 129N, 1746W,  38, 1004, XX,  34, NEQ,   22,   16,   10,   18,     ,     ,  40,
