# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025073006, 03, FNV3,   0, 112N, 1578W,  89,  973, XX,  34, NEQ,   80,   60,   50,   80,     ,     ,  15,
CP, 01, 2025073006, 03, FNV3,   0, 112N, 1578W,  89,  973, XX,  50, NEQ,   40,   35,   25,   35,     ,     ,  15,
CP, 01, 2025073006, 03, FNV3,   0, 112N, 1578W,  89,  973, XX,  64, NEQ,   15,   10,   20,     ,     ,     ,  15,
CP, 01, 2025073006, 03, FNV3,   6, 112N, 1593W,  59,  992, XX,  34, NEQ,   49,   36,   25,   41,     ,     ,  22,
CP, 01, 2025073006, 03, FNV3,   6, 112N, 1593W,  59,  992, XX,  50, NEQ,   13,   10,    7,   11,     ,     ,  22,
CP, 01, 2025073006, 03, FNV3,   6, 112N, 1593W,  59,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
CP, 01, 2025073006, 03, FNV3,  12, 113N, 1610W,  52,  997, XX,  34, NEQ,   52,   40,   27,   43,     ,     ,  28,
CP, 01, 2025073006, 03, FNV3,  12, 113N, 1610W,  52,  997, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  28,
CP, 01, 2025073006, 03, FNV3,  18, 115N, 1629W,  44, 1001, XX,  34, NEQ,   38,   28,   18,   30,     ,     ,  37,
CP, 01, 2025073006, 03, FNV3,  18, 115N, 1629W,  44, 1001, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  37,
CP, 01, 2025073006, 03, FNV3,  24, 116N, 1649W,  39, 1003, XX,  34, NEQ,   21,   14,    9,   16,     ,     ,  41,
CP, 01, 2025073006, 03, FNV3,  24, 116N, 1649W,  39, 1003, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  41,
