# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025080112, 03, FNV3,   0, 144N, 1755W,  35, 1005, XX,  34, NEQ,   50,    0,    0,   40,     ,     ,  40,
EP, 07, 2025080112, 03, FNV3,   0, 149N, 1207W,  54,  996, XX,  34, NEQ,  120,  120,   90,   90,     ,     ,  50,
EP, 07, 2025080112, 03, FNV3,   0, 149N, 1207W,  54,  996, XX,  50, NEQ,   50,   50,    0,   50,     ,     ,  50,
EP, 07, 2025080112, 03, FNV3,   6, 156N, 1225W,  64,  990, XX,  34, NEQ,   92,   74,   52,   78,     ,     ,  25,
EP, 07, 2025080112, 03, FNV3,   6, 156N, 1225W,  64,  990, XX,  50, NEQ,   36,   29,   20,   29,     ,     ,  25,
EP, 07, 2025080112, 03, FNV3,   6, 156N, 1225W,  64,  990, XX,  64, NEQ,    7,    5,    4,    6,     ,     ,  25,
EP, 07, 2025080112, 03, FNV3,  12, 163N, 1242W,  67,  989, XX,  34, NEQ,   92,   73,   50,   76,     ,     ,  23,
EP, 07, 2025080112, 03, FNV3,  12, 163N, 1242W,  67,  989, XX,  50, NEQ,   35,   27,   18,   28,     ,     ,  23,
EP, 07, 2025080112, 03, FNV3,  12, 163N, 1242W,  67,  989, XX,  64, NEQ,    8,    6,    4,    6,     ,     ,  23,
EP, 07, 2025080112, 03, FNV3,  18, 169N, 1259W,  65,  991, XX,  34, NEQ,   95,   74,   52,   80,     ,     ,  24,
EP, 07, 2025080112, 03, FNV3,  18, 169N, 1259W,  65,  991, XX,  50, NEQ,   36,   28,   19,   28,     ,     ,  24,
EP, 07, 2025080112, 03, FNV3,  18, 169N, 1259W,  65,  991, XX,  64, NEQ,    7,    5,    3,    6,     ,     ,  24,
EP, 07, 2025080112, 03, FNV3,  24, 176N, 1276W,  62,  992, XX,  34, NEQ,   94,   75,   53,   79,     ,     ,  24,
EP, 07, 2025080112, 03, FNV3,  24, 176N, 1276W,  62,  992, XX,  50, NEQ,   34,   27,   19,   27,     ,     ,  24,
EP, 07, 2025080112, 03, FNV3,  24, 176N, 1276W,  62,  992, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  24,
EP, 07, 2025080112, 03, FNV3,  30, 182N, 1295W,  54,  997, XX,  34, NEQ,   86,   69,   50,   73,     ,     ,  30,
EP, 07, 2025080112, 03, FNV3,  30, 182N, 1295W,  54,  997, XX,  50, NEQ,   22,   18,   12,   17,     ,     ,  30,
EP, 07, 2025080112, 03, FNV3,  30, 182N, 1295W,  54,  997, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  30,
EP, 07, 2025080112, 03, FNV3,  36, 188N, 1312W,  49, 1000, XX,  34, NEQ,   82,   66,   47,   68,     ,     ,  34,
EP, 07, 2025080112, 03, FNV3,  36, 188N, 1312W,  49, 1000, XX,  50, NEQ,   12,    8,    5,    9,     ,     ,  34,
EP, 07, 2025080112, 03, FNV3,  42, 194N, 1329W,  44, 1002, XX,  34, NEQ,   67,   52,   38,   55,     ,     ,  40,
EP, 07, 2025080112, 03, FNV3,  42, 194N, 1329W,  44, 1002, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  40,
EP, 07, 2025080112, 03, FNV3,  48, 198N, 1345W,  39, 1005, XX,  34, NEQ,   57,   44,   31,   46,     ,     ,  41,
EP, 07, 2025080112, 03, FNV3,  48, 198N, 1345W,  39, 1005, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  41,
EP, 07, 2025080112, 03, FNV3,  54, 203N, 1360W,  36, 1006, XX,  34, NEQ,   32,   24,   17,   26,     ,     ,  44,
EP, 07, 2025080112, 03, FNV3,  60, 206N, 1374W,  34, 1007, XX,  34, NEQ,   29,   21,   15,   23,     ,     ,  44,
EP, 07, 2025080112, 03, FNV3,  66, 209N, 1388W,  33, 1007, XX,  34, NEQ,   12,    7,    5,    9,     ,     ,  44,
EP, 07, 2025080112, 03, FNV3,  72, 212N, 1401W,  31, 1007, XX,  34, NEQ,   12,    8,    5,    9,     ,     ,  48,
EP, 07, 2025080112, 03, FNV3,  78, 214N, 1414W,  30, 1008, XX,  34, NEQ,    7,    5,    3,    5,     ,     ,  52,
EP, 07, 2025080112, 03, FNV3,  84, 216N, 1425W,  31, 1008, XX,  34, NEQ,    6,    4,    3,    5,     ,     ,  47,
EP, 07, 2025080112, 03, FNV3,  90, 217N, 1439W,  29, 1008, XX,  34, NEQ,    5,    3,    1,    3,     ,     ,  54,
EP, 07, 2025080112, 03, FNV3,  96, 219N, 1452W,  30, 1008, XX,  34, NEQ,    7,    5,    3,    5,     ,     ,  47,
EP, 07, 2025080112, 03, FNV3, 102, 221N, 1465W,  29, 1009, XX,  34, NEQ,    2,    1,    0,    1,     ,     ,  53,
EP, 07, 2025080112, 03, FNV3, 108, 224N, 1477W,  30, 1009, XX,  34, NEQ,    6,    4,    2,    4,     ,     ,  50,
