# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 95, 2025080400, 03, FNV3,   0, 340N,  699W,  35, 1006, XX,  34, NEQ,    0,   40,    0,    0,     ,     ,  40,
AL, 95, 2025080400, 03, FNV3,   6, 344N,  686W,  43, 1002, XX,  34, NEQ,   39,   36,   25,   30,     ,     ,  44,
AL, 95, 2025080400, 03, FNV3,   6, 344N,  686W,  43, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  44,
AL, 95, 2025080400, 03, FNV3,  12, 351N,  673W,  47, 1000, XX,  34, NEQ,   42,   39,   25,   32,     ,     ,  36,
AL, 95, 2025080400, 03, FNV3,  12, 351N,  673W,  47, 1000, XX,  50, NEQ,    7,    6,    4,    5,     ,     ,  36,
AL, 95, 2025080400, 03, FNV3,  18, 359N,  662W,  47, 1001, XX,  34, NEQ,   45,   41,   25,   33,     ,     ,  37,
AL, 95, 2025080400, 03, FNV3,  18, 359N,  662W,  47, 1001, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  37,
AL, 95, 2025080400, 03, FNV3,  24, 367N,  646W,  46, 1002, XX,  34, NEQ,   43,   40,   25,   32,     ,     ,  37,
AL, 95, 2025080400, 03, FNV3,  24, 367N,  646W,  46, 1002, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  37,
AL, 95, 2025080400, 03, FNV3,  30, 374N,  633W,  42, 1004, XX,  34, NEQ,   35,   32,   22,   27,     ,     ,  43,
AL, 95, 2025080400, 03, FNV3,  30, 374N,  633W,  42, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  43,
AL, 95, 2025080400, 03, FNV3,  36, 380N,  617W,  42, 1005, XX,  34, NEQ,   44,   40,   27,   34,     ,     ,  40,
AL, 95, 2025080400, 03, FNV3,  36, 380N,  617W,  42, 1005, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  40,
AL, 95, 2025080400, 03, FNV3,  42, 386N,  602W,  42, 1006, XX,  34, NEQ,   42,   39,   26,   33,     ,     ,  39,
AL, 95, 2025080400, 03, FNV3,  42, 386N,  602W,  42, 1006, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  39,
AL, 95, 2025080400, 03, FNV3,  48, 390N,  587W,  42, 1006, XX,  34, NEQ,   57,   53,   38,   46,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  48, 390N,  587W,  42, 1006, XX,  50, NEQ,    5,    4,    2,    3,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  54, 394N,  573W,  41, 1006, XX,  34, NEQ,   44,   41,   28,   34,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  54, 394N,  573W,  41, 1006, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  60, 398N,  555W,  43, 1006, XX,  34, NEQ,   51,   48,   34,   41,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  60, 398N,  555W,  43, 1006, XX,  50, NEQ,    3,    3,    2,    3,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  66, 403N,  540W,  42, 1005, XX,  34, NEQ,   50,   47,   33,   39,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  66, 403N,  540W,  42, 1005, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  46,
AL, 95, 2025080400, 03, FNV3,  72, 407N,  521W,  42, 1005, XX,  34, NEQ,   63,   60,   43,   50,     ,     ,  53,
AL, 95, 2025080400, 03, FNV3,  72, 407N,  521W,  42, 1005, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  53,
AL, 95, 2025080400, 03, FNV3,  78, 412N,  502W,  43, 1003, XX,  34, NEQ,   68,   65,   49,   55,     ,     ,  54,
AL, 95, 2025080400, 03, FNV3,  78, 412N,  502W,  43, 1003, XX,  50, NEQ,    5,    4,    3,    3,     ,     ,  54,
AL, 95, 2025080400, 03, FNV3,  84, 419N,  478W,  44, 1002, XX,  34, NEQ,   61,   58,   43,   49,     ,     ,  53,
AL, 95, 2025080400, 03, FNV3,  84, 419N,  478W,  44, 1002, XX,  50, NEQ,    6,    6,    4,    5,     ,     ,  53,
AL, 95, 2025080400, 03, FNV3,  90, 430N,  454W,  45, 1001, XX,  34, NEQ,   77,   73,   55,   62,     ,     ,  57,
AL, 95, 2025080400, 03, FNV3,  90, 430N,  454W,  45, 1001, XX,  50, NEQ,    9,    9,    6,    7,     ,     ,  57,
AL, 95, 2025080400, 03, FNV3,  96, 442N,  430W,  46, 1000, XX,  34, NEQ,   77,   74,   57,   62,     ,     ,  60,
AL, 95, 2025080400, 03, FNV3,  96, 442N,  430W,  46, 1000, XX,  50, NEQ,   10,   10,    7,    8,     ,     ,  60,
AL, 95, 2025080400, 03, FNV3,  96, 442N,  430W,  46, 1000, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  60,
AL, 95, 2025080400, 03, FNV3, 102, 453N,  415W,  46,  999, XX,  34, NEQ,   65,   64,   50,   53,     ,     ,  58,
AL, 95, 2025080400, 03, FNV3, 102, 453N,  415W,  46,  999, XX,  50, NEQ,   10,    9,    7,    8,     ,     ,  58,
CP, 01, 2025080400, 03, FNV3,   0, 227N, 1709E,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
CP, 01, 2025080400, 03, FNV3,   6, 252N, 1648E,  24, 1008, XX,  34, NEQ,    0,    0,    1,    0,     ,     ,  53,
EP, 90, 2025080400, 03, FNV3,   0, 124N, 1164W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
EP, 90, 2025080400, 03, FNV3,   6, 133N, 1178W,  33, 1006, XX,  34, NEQ,    5,    3,    1,    4,     ,     ,  47,
