# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2025080412, 03, FNV3,   0, 350N,  680W,  41, 1002, XX,  34, NEQ,   80,   90,    0,   30,     ,     ,  60,
AL, 04, 2025080412, 03, FNV3,   6, 357N,  666W,  43, 1003, XX,  34, NEQ,   33,   30,   18,   23,     ,     ,  39,
AL, 04, 2025080412, 03, FNV3,   6, 357N,  666W,  43, 1003, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  39,
AL, 04, 2025080412, 03, FNV3,  12, 364N,  653W,  42, 1004, XX,  34, NEQ,   28,   27,   16,   20,     ,     ,  41,
AL, 04, 2025080412, 03, FNV3,  12, 364N,  653W,  42, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
AL, 04, 2025080412, 03, FNV3,  18, 372N,  641W,  41, 1005, XX,  34, NEQ,   36,   33,   23,   27,     ,     ,  46,
AL, 04, 2025080412, 03, FNV3,  18, 372N,  641W,  41, 1005, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  46,
AL, 04, 2025080412, 03, FNV3,  24, 379N,  626W,  42, 1006, XX,  34, NEQ,   36,   32,   20,   27,     ,     ,  46,
AL, 04, 2025080412, 03, FNV3,  24, 379N,  626W,  42, 1006, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  46,
AL, 04, 2025080412, 03, FNV3,  30, 386N,  611W,  42, 1006, XX,  34, NEQ,   45,   41,   27,   35,     ,     ,  44,
AL, 04, 2025080412, 03, FNV3,  30, 386N,  611W,  42, 1006, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  44,
AL, 04, 2025080412, 03, FNV3,  36, 392N,  595W,  42, 1006, XX,  34, NEQ,   39,   36,   24,   30,     ,     ,  42,
AL, 04, 2025080412, 03, FNV3,  36, 392N,  595W,  42, 1006, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  42,
AL, 04, 2025080412, 03, FNV3,  42, 397N,  579W,  43, 1005, XX,  34, NEQ,   48,   45,   30,   37,     ,     ,  43,
AL, 04, 2025080412, 03, FNV3,  42, 397N,  579W,  43, 1005, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  43,
AL, 04, 2025080412, 03, FNV3,  48, 402N,  561W,  44, 1005, XX,  34, NEQ,   50,   47,   32,   39,     ,     ,  45,
AL, 04, 2025080412, 03, FNV3,  48, 402N,  561W,  44, 1005, XX,  50, NEQ,    6,    5,    3,    4,     ,     ,  45,
AL, 04, 2025080412, 03, FNV3,  54, 405N,  543W,  46, 1004, XX,  34, NEQ,   62,   58,   41,   49,     ,     ,  49,
AL, 04, 2025080412, 03, FNV3,  54, 405N,  543W,  46, 1004, XX,  50, NEQ,    7,    6,    4,    5,     ,     ,  49,
AL, 04, 2025080412, 03, FNV3,  60, 409N,  522W,  45, 1003, XX,  34, NEQ,   68,   65,   46,   54,     ,     ,  47,
AL, 04, 2025080412, 03, FNV3,  60, 409N,  522W,  45, 1003, XX,  50, NEQ,    8,    7,    5,    6,     ,     ,  47,
