# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 97, 2025080912, 03, GENC,   0,  98N,  172W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,   6, 110N,  179W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  12, 122N,  185W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  18, 130N,  195W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  24, 139N,  204W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  30, 149N,  219W,  28, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  36, 159N,  234W,  27, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  42, 166N,  250W,  27, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  48, 172N,  267W,  28, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  54, 174N,  287W,  28, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  60, 175N,  307W,  28, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  66, 175N,  327W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  72, 175N,  346W,  29, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  78, 174N,  363W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  84, 173N,  380W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  90, 172N,  394W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
AL, 97, 2025080912, 03, GENC,  96, 172N,  408W,  30, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 08, 2025080912, 03, GENC,   0, 215N, 1465W,  28, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
