# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081400, 03, FNV3,   0, 163N,  459W,  45, 1002, XX,  34, NEQ,   50,    0,    0,   50,     ,     ,  15,
AL, 05, 2025081400, 03, FNV3,   6, 163N,  474W,  45, 1002, XX,  34, NEQ,   32,   23,   15,   26,     ,     ,  31,
AL, 05, 2025081400, 03, FNV3,   6, 163N,  474W,  45, 1002, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  31,
AL, 05, 2025081400, 03, FNV3,  12, 165N,  491W,  49, 1001, XX,  34, NEQ,   35,   25,   16,   29,     ,     ,  26,
AL, 05, 2025081400, 03, FNV3,  12, 165N,  491W,  49, 1001, XX,  50, NEQ,    8,    5,    3,    6,     ,     ,  26,
AL, 05, 2025081400, 03, FNV3,  12, 165N,  491W,  49, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  26,
AL, 05, 2025081400, 03, FNV3,  18, 168N,  505W,  52,  999, XX,  34, NEQ,   40,   31,   20,   33,     ,     ,  27,
AL, 05, 2025081400, 03, FNV3,  18, 168N,  505W,  52,  999, XX,  50, NEQ,   11,    8,    6,    9,     ,     ,  27,
AL, 05, 2025081400, 03, FNV3,  18, 168N,  505W,  52,  999, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  27,
AL, 05, 2025081400, 03, FNV3,  24, 172N,  521W,  53,  999, XX,  34, NEQ,   46,   35,   23,   38,     ,     ,  26,
AL, 05, 2025081400, 03, FNV3,  24, 172N,  521W,  53,  999, XX,  50, NEQ,   12,    9,    6,    9,     ,     ,  26,
AL, 05, 2025081400, 03, FNV3,  24, 172N,  521W,  53,  999, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  26,
AL, 05, 2025081400, 03, FNV3,  30, 176N,  537W,  58,  996, XX,  34, NEQ,   54,   42,   27,   44,     ,     ,  24,
AL, 05, 2025081400, 03, FNV3,  30, 176N,  537W,  58,  996, XX,  50, NEQ,   19,   14,   10,   15,     ,     ,  24,
AL, 05, 2025081400, 03, FNV3,  30, 176N,  537W,  58,  996, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  24,
AL, 05, 2025081400, 03, FNV3,  36, 181N,  554W,  61,  995, XX,  34, NEQ,   56,   43,   26,   46,     ,     ,  25,
AL, 05, 2025081400, 03, FNV3,  36, 181N,  554W,  61,  995, XX,  50, NEQ,   21,   16,   11,   17,     ,     ,  25,
AL, 05, 2025081400, 03, FNV3,  36, 181N,  554W,  61,  995, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  25,
AL, 05, 2025081400, 03, FNV3,  42, 187N,  569W,  66,  991, XX,  34, NEQ,   68,   54,   33,   55,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  42, 187N,  569W,  66,  991, XX,  50, NEQ,   26,   20,   14,   21,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  42, 187N,  569W,  66,  991, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  48, 192N,  584W,  73,  986, XX,  34, NEQ,   74,   59,   37,   60,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  48, 192N,  584W,  73,  986, XX,  50, NEQ,   30,   23,   16,   24,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  48, 192N,  584W,  73,  986, XX,  64, NEQ,   11,    9,    7,   10,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  54, 197N,  598W,  77,  982, XX,  34, NEQ,   83,   67,   43,   67,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  54, 197N,  598W,  77,  982, XX,  50, NEQ,   36,   28,   20,   29,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  54, 197N,  598W,  77,  982, XX,  64, NEQ,   14,   11,    9,   11,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  60, 201N,  612W,  85,  976, XX,  34, NEQ,   92,   72,   47,   76,     ,     ,  19,
AL, 05, 2025081400, 03, FNV3,  60, 201N,  612W,  85,  976, XX,  50, NEQ,   42,   34,   24,   35,     ,     ,  19,
AL, 05, 2025081400, 03, FNV3,  60, 201N,  612W,  85,  976, XX,  64, NEQ,   18,   15,   12,   16,     ,     ,  19,
AL, 05, 2025081400, 03, FNV3,  66, 206N,  625W,  89,  972, XX,  34, NEQ,  102,   84,   55,   83,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  66, 206N,  625W,  89,  972, XX,  50, NEQ,   47,   38,   28,   39,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  66, 206N,  625W,  89,  972, XX,  64, NEQ,   21,   17,   14,   18,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  72, 210N,  635W,  95,  966, XX,  34, NEQ,  112,   95,   67,   94,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  72, 210N,  635W,  95,  966, XX,  50, NEQ,   51,   42,   32,   43,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  72, 210N,  635W,  95,  966, XX,  64, NEQ,   24,   21,   17,   21,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  78, 214N,  644W,  95,  964, XX,  34, NEQ,  114,   96,   67,   95,     ,     ,  22,
AL, 05, 2025081400, 03, FNV3,  78, 214N,  644W,  95,  964, XX,  50, NEQ,   53,   44,   34,   45,     ,     ,  22,
AL, 05, 2025081400, 03, FNV3,  78, 214N,  644W,  95,  964, XX,  64, NEQ,   25,   21,   17,   21,     ,     ,  22,
AL, 05, 2025081400, 03, FNV3,  84, 220N,  653W,  94,  966, XX,  34, NEQ,  120,  101,   69,   99,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  84, 220N,  653W,  94,  966, XX,  50, NEQ,   56,   47,   36,   48,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  84, 220N,  653W,  94,  966, XX,  64, NEQ,   26,   22,   18,   22,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3,  90, 226N,  661W,  95,  964, XX,  34, NEQ,  128,  110,   76,  106,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  90, 226N,  661W,  95,  964, XX,  50, NEQ,   61,   52,   40,   52,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  90, 226N,  661W,  95,  964, XX,  64, NEQ,   29,   26,   21,   25,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3,  96, 232N,  667W,  97,  961, XX,  34, NEQ,  133,  118,   86,  111,     ,     ,  22,
AL, 05, 2025081400, 03, FNV3,  96, 232N,  667W,  97,  961, XX,  50, NEQ,   61,   53,   42,   52,     ,     ,  22,
AL, 05, 2025081400, 03, FNV3,  96, 232N,  667W,  97,  961, XX,  64, NEQ,   31,   27,   22,   26,     ,     ,  22,
AL, 05, 2025081400, 03, FNV3, 102, 238N,  671W,  97,  961, XX,  34, NEQ,  128,  115,   84,  106,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3, 102, 238N,  671W,  97,  961, XX,  50, NEQ,   59,   52,   41,   50,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3, 102, 238N,  671W,  97,  961, XX,  64, NEQ,   29,   26,   22,   25,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3, 108, 245N,  675W,  99,  959, XX,  34, NEQ,  129,  117,   85,  107,     ,     ,  20,
AL, 05, 2025081400, 03, FNV3, 108, 245N,  675W,  99,  959, XX,  50, NEQ,   63,   56,   44,   53,     ,     ,  20,
AL, 05, 2025081400, 03, FNV3, 108, 245N,  675W,  99,  959, XX,  64, NEQ,   32,   29,   24,   27,     ,     ,  20,
AL, 05, 2025081400, 03, FNV3, 114, 252N,  679W,  98,  959, XX,  34, NEQ,  138,  128,   93,  115,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3, 114, 252N,  679W,  98,  959, XX,  50, NEQ,   69,   62,   50,   59,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3, 114, 252N,  679W,  98,  959, XX,  64, NEQ,   35,   32,   26,   30,     ,     ,  23,
AL, 05, 2025081400, 03, FNV3, 120, 259N,  680W, 102,  955, XX,  34, NEQ,  147,  137,  102,  123,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3, 120, 259N,  680W, 102,  955, XX,  50, NEQ,   70,   64,   51,   60,     ,     ,  21,
AL, 05, 2025081400, 03, FNV3, 120, 259N,  680W, 102,  955, XX,  64, NEQ,   37,   34,   28,   32,     ,     ,  21,
