# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081500, 03, FNV3,   0, 169N,  519W,  60,  999, XX,  34, NEQ,   60,   40,   20,   50,     ,     ,  15,
AL, 05, 2025081500, 03, FNV3,   0, 169N,  519W,  60,  999, XX,  50, NEQ,   20,   15,    0,    0,     ,     ,  15,
AL, 05, 2025081500, 03, FNV3,   6, 175N,  534W,  54,  999, XX,  34, NEQ,   49,   37,   23,   39,     ,     ,  28,
AL, 05, 2025081500, 03, FNV3,   6, 175N,  534W,  54,  999, XX,  50, NEQ,   13,   10,    6,   10,     ,     ,  28,
AL, 05, 2025081500, 03, FNV3,   6, 175N,  534W,  54,  999, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  28,
AL, 05, 2025081500, 03, FNV3,  12, 180N,  551W,  59,  996, XX,  34, NEQ,   60,   45,   27,   48,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3,  12, 180N,  551W,  59,  996, XX,  50, NEQ,   21,   16,   10,   16,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3,  12, 180N,  551W,  59,  996, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3,  18, 186N,  567W,  66,  991, XX,  34, NEQ,   63,   49,   30,   50,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  18, 186N,  567W,  66,  991, XX,  50, NEQ,   25,   19,   13,   19,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  18, 186N,  567W,  66,  991, XX,  64, NEQ,    6,    5,    3,    5,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  24, 190N,  583W,  71,  987, XX,  34, NEQ,   73,   58,   38,   60,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3,  24, 190N,  583W,  71,  987, XX,  50, NEQ,   32,   25,   17,   26,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3,  24, 190N,  583W,  71,  987, XX,  64, NEQ,   12,    9,    7,   10,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3,  30, 194N,  598W,  75,  983, XX,  34, NEQ,   78,   63,   41,   64,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  30, 194N,  598W,  75,  983, XX,  50, NEQ,   36,   29,   21,   30,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  30, 194N,  598W,  75,  983, XX,  64, NEQ,   15,   12,   10,   13,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  36, 198N,  612W,  83,  978, XX,  34, NEQ,   94,   75,   49,   77,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  36, 198N,  612W,  83,  978, XX,  50, NEQ,   43,   34,   24,   35,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  36, 198N,  612W,  83,  978, XX,  64, NEQ,   17,   14,   11,   15,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  42, 202N,  625W,  90,  971, XX,  34, NEQ,  104,   86,   57,   85,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  42, 202N,  625W,  90,  971, XX,  50, NEQ,   47,   38,   28,   39,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  42, 202N,  625W,  90,  971, XX,  64, NEQ,   21,   18,   14,   18,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  48, 206N,  637W,  96,  965, XX,  34, NEQ,  112,   95,   66,   94,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  48, 206N,  637W,  96,  965, XX,  50, NEQ,   50,   42,   32,   42,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  48, 206N,  637W,  96,  965, XX,  64, NEQ,   24,   20,   16,   20,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  54, 211N,  648W,  95,  965, XX,  34, NEQ,  113,   94,   65,   94,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  54, 211N,  648W,  95,  965, XX,  50, NEQ,   52,   43,   33,   44,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  54, 211N,  648W,  95,  965, XX,  64, NEQ,   25,   21,   17,   21,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  60, 216N,  659W, 100,  960, XX,  34, NEQ,  122,  102,   70,  101,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  60, 216N,  659W, 100,  960, XX,  50, NEQ,   57,   48,   36,   48,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  60, 216N,  659W, 100,  960, XX,  64, NEQ,   27,   23,   19,   23,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  66, 222N,  668W, 102,  958, XX,  34, NEQ,  128,  109,   76,  106,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  66, 222N,  668W, 102,  958, XX,  50, NEQ,   61,   52,   40,   52,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  66, 222N,  668W, 102,  958, XX,  64, NEQ,   30,   26,   21,   26,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  72, 228N,  676W, 107,  953, XX,  34, NEQ,  133,  117,   86,  112,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  72, 228N,  676W, 107,  953, XX,  50, NEQ,   62,   53,   42,   53,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  72, 228N,  676W, 107,  953, XX,  64, NEQ,   32,   28,   23,   28,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  78, 233N,  682W, 107,  952, XX,  34, NEQ,  138,  122,   91,  117,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  78, 233N,  682W, 107,  952, XX,  50, NEQ,   64,   56,   45,   55,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  78, 233N,  682W, 107,  952, XX,  64, NEQ,   33,   29,   24,   28,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  84, 239N,  687W, 107,  952, XX,  34, NEQ,  139,  126,   94,  117,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  84, 239N,  687W, 107,  952, XX,  50, NEQ,   68,   60,   49,   58,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  84, 239N,  687W, 107,  952, XX,  64, NEQ,   35,   32,   26,   30,     ,     ,  20,
AL, 05, 2025081500, 03, FNV3,  90, 245N,  690W, 106,  953, XX,  34, NEQ,  136,  126,   94,  114,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  90, 245N,  690W, 106,  953, XX,  50, NEQ,   67,   60,   49,   58,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  90, 245N,  690W, 106,  953, XX,  64, NEQ,   35,   31,   26,   30,     ,     ,  21,
AL, 05, 2025081500, 03, FNV3,  96, 252N,  693W, 108,  950, XX,  34, NEQ,  146,  137,  105,  124,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3,  96, 252N,  693W, 108,  950, XX,  50, NEQ,   71,   65,   54,   62,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3,  96, 252N,  693W, 108,  950, XX,  64, NEQ,   38,   36,   30,   34,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 102, 259N,  695W, 106,  951, XX,  34, NEQ,  153,  144,  109,  129,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 102, 259N,  695W, 106,  951, XX,  50, NEQ,   73,   66,   54,   63,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 102, 259N,  695W, 106,  951, XX,  64, NEQ,   38,   36,   30,   33,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 108, 267N,  697W, 101,  954, XX,  34, NEQ,  149,  141,  105,  124,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 108, 267N,  697W, 101,  954, XX,  50, NEQ,   74,   68,   55,   64,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 108, 267N,  697W, 101,  954, XX,  64, NEQ,   39,   36,   30,   34,     ,     ,  22,
AL, 05, 2025081500, 03, FNV3, 114, 276N,  699W, 100,  954, XX,  34, NEQ,  158,  150,  112,  131,     ,     ,  23,
AL, 05, 2025081500, 03, FNV3, 114, 276N,  699W, 100,  954, XX,  50, NEQ,   79,   74,   60,   68,     ,     ,  23,
AL, 05, 2025081500, 03, FNV3, 114, 276N,  699W, 100,  954, XX,  64, NEQ,   41,   39,   32,   36,     ,     ,  23,
AL, 05, 2025081500, 03, FNV3, 120, 285N,  700W, 102,  951, XX,  34, NEQ,  163,  155,  117,  135,     ,     ,  24,
AL, 05, 2025081500, 03, FNV3, 120, 285N,  700W, 102,  951, XX,  50, NEQ,   82,   77,   63,   71,     ,     ,  24,
AL, 05, 2025081500, 03, FNV3, 120, 285N,  700W, 102,  951, XX,  64, NEQ,   45,   42,   35,   39,     ,     ,  24,
AL, 05, 2025081500, 03, FNV3, 126, 295N,  700W,  99,  953, XX,  34, NEQ,  175,  169,  129,  146,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3, 126, 295N,  700W,  99,  953, XX,  50, NEQ,   84,   79,   65,   72,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3, 126, 295N,  700W,  99,  953, XX,  64, NEQ,   45,   43,   36,   39,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3, 132, 307N,  699W,  97,  953, XX,  34, NEQ,  174,  170,  128,  144,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3, 132, 307N,  699W,  97,  953, XX,  50, NEQ,   90,   86,   70,   77,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3, 132, 307N,  699W,  97,  953, XX,  64, NEQ,   48,   46,   38,   41,     ,     ,  26,
AL, 05, 2025081500, 03, FNV3, 138, 319N,  695W,  95,  955, XX,  34, NEQ,  186,  184,  140,  153,     ,     ,  27,
AL, 05, 2025081500, 03, FNV3, 138, 319N,  695W,  95,  955, XX,  50, NEQ,   97,   94,   78,   83,     ,     ,  27,
AL, 05, 2025081500, 03, FNV3, 138, 319N,  695W,  95,  955, XX,  64, NEQ,   51,   50,   42,   45,     ,     ,  27,
AL, 05, 2025081500, 03, FNV3, 144, 332N,  688W,  92,  956, XX,  34, NEQ,  194,  196,  152,  161,     ,     ,  31,
AL, 05, 2025081500, 03, FNV3, 144, 332N,  688W,  92,  956, XX,  50, NEQ,  103,  103,   87,   90,     ,     ,  31,
AL, 05, 2025081500, 03, FNV3, 144, 332N,  688W,  92,  956, XX,  64, NEQ,   56,   55,   46,   49,     ,     ,  31,
AL, 05, 2025081500, 03, FNV3, 150, 346N,  676W,  88,  958, XX,  34, NEQ,  194,  200,  157,  161,     ,     ,  33,
AL, 05, 2025081500, 03, FNV3, 150, 346N,  676W,  88,  958, XX,  50, NEQ,   98,   99,   83,   84,     ,     ,  33,
AL, 05, 2025081500, 03, FNV3, 150, 346N,  676W,  88,  958, XX,  64, NEQ,   51,   51,   43,   44,     ,     ,  33,
