# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081612, 03, FNV3,   0, 196N,  621W, 130,  934, XX,  34, NEQ,  120,   50,   40,  110,     ,     ,   5,
AL, 05, 2025081612, 03, FNV3,   0, 196N,  621W, 130,  934, XX,  50, NEQ,   40,   30,   20,   40,     ,     ,   5,
AL, 05, 2025081612, 03, FNV3,   0, 196N,  621W, 130,  934, XX,  64, NEQ,   15,   15,   20,     ,     ,     ,   5,
AL, 05, 2025081612, 03, FNV3,   6, 199N,  633W,  81,  978, XX,  34, NEQ,  109,   89,   59,   90,     ,     ,  21,
AL, 05, 2025081612, 03, FNV3,   6, 199N,  633W,  81,  978, XX,  50, NEQ,   51,   42,   31,   43,     ,     ,  21,
AL, 05, 2025081612, 03, FNV3,   6, 199N,  633W,  81,  978, XX,  64, NEQ,   22,   18,   14,   19,     ,     ,  21,
AL, 05, 2025081612, 03, FNV3,  12, 203N,  646W,  86,  972, XX,  34, NEQ,  118,   99,   71,  101,     ,     ,  23,
AL, 05, 2025081612, 03, FNV3,  12, 203N,  646W,  86,  972, XX,  50, NEQ,   57,   48,   37,   49,     ,     ,  23,
AL, 05, 2025081612, 03, FNV3,  12, 203N,  646W,  86,  972, XX,  64, NEQ,   28,   24,   19,   24,     ,     ,  23,
AL, 05, 2025081612, 03, FNV3,  18, 206N,  658W,  92,  967, XX,  34, NEQ,  118,   98,   71,   99,     ,     ,  22,
AL, 05, 2025081612, 03, FNV3,  18, 206N,  658W,  92,  967, XX,  50, NEQ,   56,   47,   36,   48,     ,     ,  22,
AL, 05, 2025081612, 03, FNV3,  18, 206N,  658W,  92,  967, XX,  64, NEQ,   27,   23,   19,   23,     ,     ,  22,
AL, 05, 2025081612, 03, FNV3,  24, 210N,  668W, 102,  958, XX,  34, NEQ,  128,  109,   79,  109,     ,     ,  20,
AL, 05, 2025081612, 03, FNV3,  24, 210N,  668W, 102,  958, XX,  50, NEQ,   61,   52,   40,   52,     ,     ,  20,
AL, 05, 2025081612, 03, FNV3,  24, 210N,  668W, 102,  958, XX,  64, NEQ,   29,   26,   21,   25,     ,     ,  20,
AL, 05, 2025081612, 03, FNV3,  30, 215N,  677W, 106,  955, XX,  34, NEQ,  135,  118,   85,  114,     ,     ,  21,
AL, 05, 2025081612, 03, FNV3,  30, 215N,  677W, 106,  955, XX,  50, NEQ,   65,   56,   44,   56,     ,     ,  21,
AL, 05, 2025081612, 03, FNV3,  30, 215N,  677W, 106,  955, XX,  64, NEQ,   32,   28,   23,   28,     ,     ,  21,
AL, 05, 2025081612, 03, FNV3,  36, 221N,  685W, 107,  952, XX,  34, NEQ,  142,  126,   94,  120,     ,     ,  20,
AL, 05, 2025081612, 03, FNV3,  36, 221N,  685W, 107,  952, XX,  50, NEQ,   68,   59,   47,   58,     ,     ,  20,
AL, 05, 2025081612, 03, FNV3,  36, 221N,  685W, 107,  952, XX,  64, NEQ,   34,   31,   25,   30,     ,     ,  20,
AL, 05, 2025081612, 03, FNV3,  42, 226N,  692W, 106,  953, XX,  34, NEQ,  149,  131,   98,  126,     ,     ,  22,
AL, 05, 2025081612, 03, FNV3,  42, 226N,  692W, 106,  953, XX,  50, NEQ,   71,   62,   50,   62,     ,     ,  22,
AL, 05, 2025081612, 03, FNV3,  42, 226N,  692W, 106,  953, XX,  64, NEQ,   36,   32,   27,   31,     ,     ,  22,
AL, 05, 2025081612, 03, FNV3,  48, 232N,  698W, 104,  954, XX,  34, NEQ,  150,  133,   98,  127,     ,     ,  21,
