# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081700, 03, FNV3,   0, 200N,  645W, 124,  934, XX,  34, NEQ,  180,  110,   40,  150,     ,     ,   5,
AL, 05, 2025081700, 03, FNV3,   0, 200N,  645W, 124,  934, XX,  50, NEQ,   70,   30,   20,   50,     ,     ,   5,
AL, 05, 2025081700, 03, FNV3,   0, 200N,  645W, 124,  934, XX,  64, NEQ,   20,   15,   20,     ,     ,     ,   5,
AL, 05, 2025081700, 03, FNV3,   6, 204N,  659W,  93,  967, XX,  34, NEQ,  120,  100,   71,  100,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,   6, 204N,  659W,  93,  967, XX,  50, NEQ,   56,   46,   35,   47,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,   6, 204N,  659W,  93,  967, XX,  64, NEQ,   27,   23,   19,   23,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  12, 209N,  669W, 101,  959, XX,  34, NEQ,  128,  109,   78,  108,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  12, 209N,  669W, 101,  959, XX,  50, NEQ,   61,   52,   40,   52,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  12, 209N,  669W, 101,  959, XX,  64, NEQ,   30,   26,   21,   26,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  18, 215N,  679W, 107,  953, XX,  34, NEQ,  140,  120,   86,  118,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  18, 215N,  679W, 107,  953, XX,  50, NEQ,   68,   58,   46,   58,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  18, 215N,  679W, 107,  953, XX,  64, NEQ,   35,   30,   25,   30,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  24, 221N,  687W, 111,  949, XX,  34, NEQ,  153,  135,  101,  131,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  24, 221N,  687W, 111,  949, XX,  50, NEQ,   72,   62,   50,   62,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  24, 221N,  687W, 111,  949, XX,  64, NEQ,   38,   33,   28,   33,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  30, 226N,  696W, 108,  951, XX,  34, NEQ,  143,  125,   92,  121,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  30, 226N,  696W, 108,  951, XX,  50, NEQ,   68,   59,   47,   59,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  30, 226N,  696W, 108,  951, XX,  64, NEQ,   35,   31,   25,   30,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  36, 231N,  702W, 107,  952, XX,  34, NEQ,  148,  131,   97,  126,     ,     ,  20,
AL, 05, 2025081700, 03, FNV3,  36, 231N,  702W, 107,  952, XX,  50, NEQ,   74,   64,   51,   63,     ,     ,  20,
AL, 05, 2025081700, 03, FNV3,  36, 231N,  702W, 107,  952, XX,  64, NEQ,   38,   34,   28,   33,     ,     ,  20,
AL, 05, 2025081700, 03, FNV3,  42, 237N,  707W, 103,  954, XX,  34, NEQ,  149,  134,   99,  126,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  42, 237N,  707W, 103,  954, XX,  50, NEQ,   74,   66,   53,   64,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  42, 237N,  707W, 103,  954, XX,  64, NEQ,   39,   35,   29,   33,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  48, 243N,  712W, 104,  953, XX,  34, NEQ,  153,  139,  104,  129,     ,     ,  23,
AL, 05, 2025081700, 03, FNV3,  48, 243N,  712W, 104,  953, XX,  50, NEQ,   73,   65,   53,   63,     ,     ,  23,
AL, 05, 2025081700, 03, FNV3,  48, 243N,  712W, 104,  953, XX,  64, NEQ,   39,   35,   29,   33,     ,     ,  23,
AL, 05, 2025081700, 03, FNV3,  54, 250N,  716W, 105,  952, XX,  34, NEQ,  154,  141,  106,  130,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  54, 250N,  716W, 105,  952, XX,  50, NEQ,   74,   66,   53,   63,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  54, 250N,  716W, 105,  952, XX,  64, NEQ,   38,   35,   29,   33,     ,     ,  22,
AL, 05, 2025081700, 03, FNV3,  60, 258N,  719W, 103,  953, XX,  34, NEQ,  161,  148,  110,  136,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  60, 258N,  719W, 103,  953, XX,  50, NEQ,   82,   74,   60,   71,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  60, 258N,  719W, 103,  953, XX,  64, NEQ,   43,   40,   33,   37,     ,     ,  21,
AL, 05, 2025081700, 03, FNV3,  66, 267N,  723W, 103,  951, XX,  34, NEQ,  169,  156,  117,  142,     ,     ,  23,
AL, 05, 2025081700, 03, FNV3,  66, 267N,  723W, 103,  951, XX,  50, NEQ,   86,   79,   64,   74,     ,     ,  23,
AL, 05, 2025081700, 03, FNV3,  66, 267N,  723W, 103,  951, XX,  64, NEQ,   45,   42,   35,   39,     ,     ,  23,
AL, 05, 2025081700, 03, FNV3,  72, 275N,  726W, 103,  950, XX,  34, NEQ,  171,  159,  122,  144,     ,     ,  24,
AL, 05, 2025081700, 03, FNV3,  72, 275N,  726W, 103,  950, XX,  50, NEQ,   85,   79,   65,   74,     ,     ,  24,
AL, 05, 2025081700, 03, FNV3,  72, 275N,  726W, 103,  950, XX,  64, NEQ,   47,   44,   37,   41,     ,     ,  24,
AL, 05, 2025081700, 03, FNV3,  78, 285N,  729W, 101,  951, XX,  34, NEQ,  186,  176,  137,  157,     ,     ,  28,
AL, 05, 2025081700, 03, FNV3,  78, 285N,  729W, 101,  951, XX,  50, NEQ,   87,   80,   66,   75,     ,     ,  28,
AL, 05, 2025081700, 03, FNV3,  78, 285N,  729W, 101,  951, XX,  64, NEQ,   47,   44,   37,   41,     ,     ,  28,
AL, 05, 2025081700, 03, FNV3,  84, 295N,  730W, 100,  951, XX,  34, NEQ,  178,  171,  130,  149,     ,     ,  24,
AL, 05, 2025081700, 03, FNV3,  84, 295N,  730W, 100,  951, XX,  50, NEQ,   93,   88,   72,   80,     ,     ,  24,
AL, 05, 2025081700, 03, FNV3,  84, 295N,  730W, 100,  951, XX,  64, NEQ,   50,   47,   40,   43,     ,     ,  24,
AL, 05, 2025081700, 03, FNV3,  90, 307N,  729W,  97,  952, XX,  34, NEQ,  187,  182,  139,  156,     ,     ,  26,
AL, 05, 2025081700, 03, FNV3,  90, 307N,  729W,  97,  952, XX,  50, NEQ,   98,   94,   77,   85,     ,     ,  26,
AL, 05, 2025081700, 03, FNV3,  90, 307N,  729W,  97,  952, XX,  64, NEQ,   52,   50,   42,   45,     ,     ,  26,
AL, 05, 2025081700, 03, FNV3,  96, 320N,  725W,  94,  952, XX,  34, NEQ,  204,  202,  159,  172,     ,     ,  28,
AL, 05, 2025081700, 03, FNV3,  96, 320N,  725W,  94,  952, XX,  50, NEQ,  110,  108,   91,   96,     ,     ,  28,
AL, 05, 2025081700, 03, FNV3,  96, 320N,  725W,  94,  952, XX,  64, NEQ,   61,   60,   50,   53,     ,     ,  28,
AL, 05, 2025081700, 03, FNV3, 102, 332N,  718W,  89,  956, XX,  34, NEQ,  218,  219,  175,  185,     ,     ,  35,
AL, 05, 2025081700, 03, FNV3, 102, 332N,  718W,  89,  956, XX,  50, NEQ,  112,  112,   96,   99,     ,     ,  35,
AL, 05, 2025081700, 03, FNV3, 102, 332N,  718W,  89,  956, XX,  64, NEQ,   62,   62,   52,   55,     ,     ,  35,
AL, 05, 2025081700, 03, FNV3, 108, 344N,  707W,  87,  957, XX,  34, NEQ,  222,  227,  182,  188,     ,     ,  34,
AL, 05, 2025081700, 03, FNV3, 108, 344N,  707W,  87,  957, XX,  50, NEQ,  121,  124,  106,  107,     ,     ,  34,
AL, 05, 2025081700, 03, FNV3, 108, 344N,  707W,  87,  957, XX,  64, NEQ,   64,   64,   55,   56,     ,     ,  34,
AL, 05, 2025081700, 03, FNV3, 114, 355N,  691W,  82,  960, XX,  34, NEQ,  226,  235,  192,  193,     ,     ,  37,
AL, 05, 2025081700, 03, FNV3, 114, 355N,  691W,  82,  960, XX,  50, NEQ,  125,  129,  112,  110,     ,     ,  37,
AL, 05, 2025081700, 03, FNV3, 114, 355N,  691W,  82,  960, XX,  64, NEQ,   63,   65,   55,   56,     ,     ,  37,
AL, 05, 2025081700, 03, FNV3, 120, 366N,  672W,  81,  960, XX,  34, NEQ,  244,  256,  214,  212,     ,     ,  42,
AL, 05, 2025081700, 03, FNV3, 120, 366N,  672W,  81,  960, XX,  50, NEQ,  135,  141,  123,  120,     ,     ,  42,
AL, 05, 2025081700, 03, FNV3, 120, 366N,  672W,  81,  960, XX,  64, NEQ,   66,   68,   59,   59,     ,     ,  42,
