# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025083118, 03, FNV3,   0, 144N, 1236W,  35, 1006, XX,  34, NEQ,   30,    0,    0,   30,     ,     ,  20,
EP, 11, 2025083118, 03, FNV3,   6, 147N, 1244W,  38, 1003, XX,  34, NEQ,   19,   16,   12,   16,     ,     ,  34,
EP, 11, 2025083118, 03, FNV3,   6, 147N, 1244W,  38, 1003, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  34,
EP, 11, 2025083118, 03, FNV3,  12, 148N, 1252W,  42, 1002, XX,  34, NEQ,   22,   16,   10,   18,     ,     ,  29,
EP, 11, 2025083118, 03, FNV3,  12, 148N, 1252W,  42, 1002, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  29,
EP, 11, 2025083118, 03, FNV3,  18, 147N, 1260W,  52,  997, XX,  34, NEQ,   30,   23,   16,   25,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3,  18, 147N, 1260W,  52,  997, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3,  18, 147N, 1260W,  52,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3,  24, 146N, 1268W,  55,  996, XX,  34, NEQ,   33,   25,   18,   28,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  24, 146N, 1268W,  55,  996, XX,  50, NEQ,   11,    8,    6,    9,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  24, 146N, 1268W,  55,  996, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  30, 145N, 1275W,  58,  993, XX,  34, NEQ,   34,   28,   20,   29,     ,     ,  19,
EP, 11, 2025083118, 03, FNV3,  30, 145N, 1275W,  58,  993, XX,  50, NEQ,   11,    9,    6,    9,     ,     ,  19,
EP, 11, 2025083118, 03, FNV3,  30, 145N, 1275W,  58,  993, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  19,
EP, 11, 2025083118, 03, FNV3,  36, 144N, 1282W,  64,  989, XX,  34, NEQ,   37,   30,   22,   33,     ,     ,  18,
EP, 11, 2025083118, 03, FNV3,  36, 144N, 1282W,  64,  989, XX,  50, NEQ,   14,   11,    9,   12,     ,     ,  18,
EP, 11, 2025083118, 03, FNV3,  36, 144N, 1282W,  64,  989, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  18,
EP, 11, 2025083118, 03, FNV3,  42, 143N, 1288W,  68,  987, XX,  34, NEQ,   40,   32,   25,   35,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  42, 143N, 1288W,  68,  987, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  42, 143N, 1288W,  68,  987, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  48, 142N, 1295W,  73,  984, XX,  34, NEQ,   41,   33,   26,   37,     ,     ,  15,
EP, 11, 2025083118, 03, FNV3,  48, 142N, 1295W,  73,  984, XX,  50, NEQ,   18,   15,   12,   16,     ,     ,  15,
EP, 11, 2025083118, 03, FNV3,  48, 142N, 1295W,  73,  984, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  15,
EP, 11, 2025083118, 03, FNV3,  54, 143N, 1302W,  75,  982, XX,  34, NEQ,   47,   39,   31,   42,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  54, 143N, 1302W,  75,  982, XX,  50, NEQ,   20,   16,   13,   18,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  54, 143N, 1302W,  75,  982, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  60, 142N, 1309W,  76,  982, XX,  34, NEQ,   46,   38,   31,   42,     ,     ,  16,
EP, 11, 2025083118, 03, FNV3,  60, 142N, 1309W,  76,  982, XX,  50, NEQ,   22,   18,   15,   19,     ,     ,  16,
EP, 11, 2025083118, 03, FNV3,  60, 142N, 1309W,  76,  982, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  16,
EP, 11, 2025083118, 03, FNV3,  66, 142N, 1317W,  77,  981, XX,  34, NEQ,   46,   38,   30,   41,     ,     ,  15,
EP, 11, 2025083118, 03, FNV3,  66, 142N, 1317W,  77,  981, XX,  50, NEQ,   22,   18,   15,   19,     ,     ,  15,
EP, 11, 2025083118, 03, FNV3,  66, 142N, 1317W,  77,  981, XX,  64, NEQ,   10,    8,    7,    9,     ,     ,  15,
EP, 11, 2025083118, 03, FNV3,  72, 141N, 1325W,  77,  981, XX,  34, NEQ,   47,   38,   31,   43,     ,     ,  16,
EP, 11, 2025083118, 03, FNV3,  72, 141N, 1325W,  77,  981, XX,  50, NEQ,   22,   18,   15,   19,     ,     ,  16,
EP, 11, 2025083118, 03, FNV3,  72, 141N, 1325W,  77,  981, XX,  64, NEQ,   10,    8,    7,    9,     ,     ,  16,
EP, 11, 2025083118, 03, FNV3,  78, 141N, 1333W,  76,  982, XX,  34, NEQ,   50,   42,   34,   45,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  78, 141N, 1333W,  76,  982, XX,  50, NEQ,   22,   18,   15,   19,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  78, 141N, 1333W,  76,  982, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  17,
EP, 11, 2025083118, 03, FNV3,  84, 141N, 1341W,  70,  986, XX,  34, NEQ,   46,   37,   30,   42,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  84, 141N, 1341W,  70,  986, XX,  50, NEQ,   21,   18,   14,   19,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  84, 141N, 1341W,  70,  986, XX,  64, NEQ,   10,    8,    7,    9,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  90, 140N, 1349W,  69,  986, XX,  34, NEQ,   45,   37,   30,   40,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  90, 140N, 1349W,  69,  986, XX,  50, NEQ,   20,   16,   13,   17,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  90, 140N, 1349W,  69,  986, XX,  64, NEQ,    9,    8,    7,    8,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  96, 140N, 1358W,  68,  987, XX,  34, NEQ,   44,   35,   29,   39,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  96, 140N, 1358W,  68,  987, XX,  50, NEQ,   19,   16,   13,   17,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3,  96, 140N, 1358W,  68,  987, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  21,
EP, 11, 2025083118, 03, FNV3, 102, 140N, 1366W,  68,  986, XX,  34, NEQ,   44,   36,   28,   38,     ,     ,  23,
EP, 11, 2025083118, 03, FNV3, 102, 140N, 1366W,  68,  986, XX,  50, NEQ,   18,   14,   12,   15,     ,     ,  23,
EP, 11, 2025083118, 03, FNV3, 102, 140N, 1366W,  68,  986, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  23,
EP, 11, 2025083118, 03, FNV3, 108, 141N, 1375W,  65,  988, XX,  34, NEQ,   43,   35,   28,   38,     ,     ,  24,
EP, 11, 2025083118, 03, FNV3, 108, 141N, 1375W,  65,  988, XX,  50, NEQ,   18,   15,   12,   16,     ,     ,  24,
EP, 11, 2025083118, 03, FNV3, 108, 141N, 1375W,  65,  988, XX,  64, NEQ,    9,    7,    6,    7,     ,     ,  24,
EP, 11, 2025083118, 03, FNV3, 114, 142N, 1383W,  64,  988, XX,  34, NEQ,   42,   35,   27,   37,     ,     ,  23,
EP, 11, 2025083118, 03, FNV3, 114, 142N, 1383W,  64,  988, XX,  50, NEQ,   18,   15,   12,   16,     ,     ,  23,
EP, 11, 2025083118, 03, FNV3, 114, 142N, 1383W,  64,  988, XX,  64, NEQ,    8,    7,    6,    7,     ,     ,  23,
EP, 11, 2025083118, 03, FNV3, 120, 143N, 1393W,  65,  989, XX,  34, NEQ,   45,   36,   29,   39,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 120, 143N, 1393W,  65,  989, XX,  50, NEQ,   18,   15,   12,   16,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 120, 143N, 1393W,  65,  989, XX,  64, NEQ,    8,    7,    6,    7,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 126, 145N, 1402W,  68,  986, XX,  34, NEQ,   47,   39,   30,   40,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 126, 145N, 1402W,  68,  986, XX,  50, NEQ,   19,   16,   12,   16,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 126, 145N, 1402W,  68,  986, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 132, 148N, 1411W,  71,  984, XX,  34, NEQ,   46,   38,   29,   41,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 132, 148N, 1411W,  71,  984, XX,  50, NEQ,   19,   16,   13,   17,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 132, 148N, 1411W,  71,  984, XX,  64, NEQ,   10,    8,    7,    8,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 138, 150N, 1419W,  72,  983, XX,  34, NEQ,   49,   40,   30,   42,     ,     ,  22,
EP, 11, 2025083118, 03, FNV3, 138, 150N, 1419W,  72,  983, XX,  50, NEQ,   21,   18,   14,   19,     ,     ,  22,
