# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090106, 03, FNV3,   0, 141N, 1251W,  41, 1004, XX,  34, NEQ,   40,   20,   10,   40,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,   6, 141N, 1258W,  56,  994, XX,  34, NEQ,   28,   21,   14,   23,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3,   6, 141N, 1258W,  56,  994, XX,  50, NEQ,    9,    7,    5,    7,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3,   6, 141N, 1258W,  56,  994, XX,  64, NEQ,    2,    1,    1,    2,     ,     ,  21,
EP, 11, 2025090106, 03, FNV3,  12, 140N, 1265W,  63,  991, XX,  34, NEQ,   36,   29,   22,   32,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3,  12, 140N, 1265W,  63,  991, XX,  50, NEQ,   15,   11,    9,   12,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3,  12, 140N, 1265W,  63,  991, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  19,
EP, 11, 2025090106, 03, FNV3,  18, 139N, 1272W,  66,  989, XX,  34, NEQ,   38,   32,   24,   33,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  18, 139N, 1272W,  66,  989, XX,  50, NEQ,   15,   12,    9,   12,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  18, 139N, 1272W,  66,  989, XX,  64, NEQ,    5,    4,    3,    5,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  24, 138N, 1278W,  71,  985, XX,  34, NEQ,   40,   33,   26,   36,     ,     ,  16,
EP, 11, 2025090106, 03, FNV3,  24, 138N, 1278W,  71,  985, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  16,
EP, 11, 2025090106, 03, FNV3,  24, 138N, 1278W,  71,  985, XX,  64, NEQ,    7,    6,    5,    7,     ,     ,  16,
EP, 11, 2025090106, 03, FNV3,  30, 137N, 1284W,  77,  981, XX,  34, NEQ,   41,   35,   27,   36,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  30, 137N, 1284W,  77,  981, XX,  50, NEQ,   19,   15,   12,   16,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  30, 137N, 1284W,  77,  981, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  36, 137N, 1290W,  80,  979, XX,  34, NEQ,   45,   38,   31,   41,     ,     ,  16,
EP, 11, 2025090106, 03, FNV3,  36, 137N, 1290W,  80,  979, XX,  50, NEQ,   21,   18,   15,   19,     ,     ,  16,
EP, 11, 2025090106, 03, FNV3,  36, 137N, 1290W,  80,  979, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  16,
EP, 11, 2025090106, 03, FNV3,  42, 137N, 1296W,  77,  981, XX,  34, NEQ,   48,   42,   33,   42,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  42, 137N, 1296W,  77,  981, XX,  50, NEQ,   21,   17,   14,   18,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  42, 137N, 1296W,  77,  981, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  48, 137N, 1302W,  77,  981, XX,  34, NEQ,   50,   42,   34,   45,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  48, 137N, 1302W,  77,  981, XX,  50, NEQ,   23,   20,   16,   21,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  48, 137N, 1302W,  77,  981, XX,  64, NEQ,   11,    9,    8,   10,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  54, 137N, 1308W,  75,  982, XX,  34, NEQ,   49,   41,   33,   43,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  54, 137N, 1308W,  75,  982, XX,  50, NEQ,   23,   19,   16,   20,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  54, 137N, 1308W,  75,  982, XX,  64, NEQ,   11,    9,    8,    9,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  60, 137N, 1315W,  76,  982, XX,  34, NEQ,   53,   44,   38,   49,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  60, 137N, 1315W,  76,  982, XX,  50, NEQ,   25,   21,   17,   22,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  60, 137N, 1315W,  76,  982, XX,  64, NEQ,   11,    9,    8,   10,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  66, 137N, 1322W,  75,  982, XX,  34, NEQ,   56,   48,   40,   50,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  66, 137N, 1322W,  75,  982, XX,  50, NEQ,   23,   19,   15,   20,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  66, 137N, 1322W,  75,  982, XX,  64, NEQ,   11,    9,    8,    9,     ,     ,  18,
EP, 11, 2025090106, 03, FNV3,  72, 137N, 1329W,  70,  986, XX,  34, NEQ,   51,   42,   35,   46,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  72, 137N, 1329W,  70,  986, XX,  50, NEQ,   23,   19,   16,   20,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  72, 137N, 1329W,  70,  986, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  17,
EP, 11, 2025090106, 03, FNV3,  78, 138N, 1337W,  67,  987, XX,  34, NEQ,   48,   40,   31,   42,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  78, 138N, 1337W,  67,  987, XX,  50, NEQ,   21,   18,   14,   18,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  78, 138N, 1337W,  67,  987, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  84, 139N, 1345W,  67,  988, XX,  34, NEQ,   49,   40,   32,   43,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  84, 139N, 1345W,  67,  988, XX,  50, NEQ,   20,   16,   13,   17,     ,     ,  20,
EP, 11, 2025090106, 03, FNV3,  84, 139N, 1345W,  67,  988, XX,  64, NEQ,    7,    6,    5,    7,     ,     ,  20,
