# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090706, 03, FNV3,   0, 168N, 1429W, 115,  957, XX,  34, NEQ,   70,   70,   50,   70,     ,     ,  10,
EP, 11, 2025090706, 03, FNV3,   0, 168N, 1429W, 115,  957, XX,  50, NEQ,   40,   40,   20,   40,     ,     ,  10,
EP, 11, 2025090706, 03, FNV3,   0, 168N, 1429W, 115,  957, XX,  64, NEQ,   20,   10,   30,     ,     ,     ,  10,
EP, 11, 2025090706, 03, FNV3,   6, 174N, 1440W,  84,  977, XX,  34, NEQ,   62,   49,   36,   53,     ,     ,  16,
EP, 11, 2025090706, 03, FNV3,   6, 174N, 1440W,  84,  977, XX,  50, NEQ,   30,   24,   19,   26,     ,     ,  16,
EP, 11, 2025090706, 03, FNV3,   6, 174N, 1440W,  84,  977, XX,  64, NEQ,   16,   13,   11,   14,     ,     ,  16,
EP, 11, 2025090706, 03, FNV3,  12, 179N, 1450W,  84,  977, XX,  34, NEQ,   66,   53,   40,   58,     ,     ,  15,
EP, 11, 2025090706, 03, FNV3,  12, 179N, 1450W,  84,  977, XX,  50, NEQ,   33,   27,   21,   29,     ,     ,  15,
EP, 11, 2025090706, 03, FNV3,  12, 179N, 1450W,  84,  977, XX,  64, NEQ,   17,   14,   12,   15,     ,     ,  15,
EP, 11, 2025090706, 03, FNV3,  18, 185N, 1460W,  81,  979, XX,  34, NEQ,   64,   51,   37,   55,     ,     ,  18,
EP, 11, 2025090706, 03, FNV3,  18, 185N, 1460W,  81,  979, XX,  50, NEQ,   31,   25,   19,   27,     ,     ,  18,
EP, 11, 2025090706, 03, FNV3,  18, 185N, 1460W,  81,  979, XX,  64, NEQ,   15,   13,   10,   13,     ,     ,  18,
EP, 11, 2025090706, 03, FNV3,  24, 192N, 1471W,  74,  984, XX,  34, NEQ,   68,   52,   36,   58,     ,     ,  19,
EP, 11, 2025090706, 03, FNV3,  24, 192N, 1471W,  74,  984, XX,  50, NEQ,   32,   26,   19,   28,     ,     ,  19,
EP, 11, 2025090706, 03, FNV3,  24, 192N, 1471W,  74,  984, XX,  64, NEQ,   15,   12,    9,   13,     ,     ,  19,
EP, 11, 2025090706, 03, FNV3,  30, 198N, 1482W,  66,  990, XX,  34, NEQ,   64,   49,   33,   54,     ,     ,  20,
EP, 11, 2025090706, 03, FNV3,  30, 198N, 1482W,  66,  990, XX,  50, NEQ,   29,   22,   16,   24,     ,     ,  20,
EP, 11, 2025090706, 03, FNV3,  30, 198N, 1482W,  66,  990, XX,  64, NEQ,   10,    7,    6,    8,     ,     ,  20,
EP, 11, 2025090706, 03, FNV3,  36, 204N, 1494W,  57,  995, XX,  34, NEQ,   67,   51,   35,   56,     ,     ,  23,
EP, 11, 2025090706, 03, FNV3,  36, 204N, 1494W,  57,  995, XX,  50, NEQ,   24,   18,   13,   19,     ,     ,  23,
EP, 11, 2025090706, 03, FNV3,  36, 204N, 1494W,  57,  995, XX,  64, NEQ,    5,    3,    2,    4,     ,     ,  23,
EP, 11, 2025090706, 03, FNV3,  42, 210N, 1507W,  52,  999, XX,  34, NEQ,   63,   48,   32,   51,     ,     ,  27,
EP, 11, 2025090706, 03, FNV3,  42, 210N, 1507W,  52,  999, XX,  50, NEQ,   16,   12,    8,   12,     ,     ,  27,
EP, 11, 2025090706, 03, FNV3,  42, 210N, 1507W,  52,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  27,
EP, 11, 2025090706, 03, FNV3,  48, 215N, 1519W,  46, 1003, XX,  34, NEQ,   56,   43,   28,   45,     ,     ,  34,
EP, 11, 2025090706, 03, FNV3,  48, 215N, 1519W,  46, 1003, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  34,
EP, 11, 2025090706, 03, FNV3,  54, 219N, 1533W,  42, 1004, XX,  34, NEQ,   59,   46,   31,   47,     ,     ,  40,
EP, 11, 2025090706, 03, FNV3,  54, 219N, 1533W,  42, 1004, XX,  50, NEQ,    6,    4,    2,    4,     ,     ,  40,
EP, 11, 2025090706, 03, FNV3,  60, 224N, 1547W,  40, 1006, XX,  34, NEQ,   44,   34,   22,   35,     ,     ,  42,
EP, 11, 2025090706, 03, FNV3,  60, 224N, 1547W,  40, 1006, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  42,
EP, 11, 2025090706, 03, FNV3,  66, 230N, 1562W,  38, 1007, XX,  34, NEQ,   38,   29,   19,   29,     ,     ,  41,
EP, 11, 2025090706, 03, FNV3,  66, 230N, 1562W,  38, 1007, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  41,
EP, 11, 2025090706, 03, FNV3,  72, 234N, 1575W,  35, 1008, XX,  34, NEQ,   26,   20,   13,   20,     ,     ,  47,
EP, 11, 2025090706, 03, FNV3,  72, 234N, 1575W,  35, 1008, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  47,
EP, 11, 2025090706, 03, FNV3,  78, 238N, 1590W,  35, 1008, XX,  34, NEQ,   23,   17,   10,   17,     ,     ,  49,
EP, 11, 2025090706, 03, FNV3,  78, 238N, 1590W,  35, 1008, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  49,
EP, 11, 2025090706, 03, FNV3,  84, 244N, 1603W,  35, 1008, XX,  34, NEQ,   19,   13,    8,   14,     ,     ,  46,
EP, 11, 2025090706, 03, FNV3,  84, 244N, 1603W,  35, 1008, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  46,
