# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 95, 2025091018, 03, FNV3,   0, 131N,  966W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  80,
EP, 95, 2025091018, 03, FNV3,   6, 141N,  977W,  32, 1006, XX,  34, NEQ,    8,    6,    4,    6,     ,     ,  45,
EP, 95, 2025091018, 03, FNV3,  12, 146N,  983W,  37, 1004, XX,  34, NEQ,   15,   12,    7,   11,     ,     ,  37,
EP, 95, 2025091018, 03, FNV3,  12, 146N,  983W,  37, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  37,
EP, 95, 2025091018, 03, FNV3,  18, 151N,  988W,  40, 1003, XX,  34, NEQ,   21,   17,   11,   16,     ,     ,  31,
EP, 95, 2025091018, 03, FNV3,  18, 151N,  988W,  40, 1003, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  31,
EP, 95, 2025091018, 03, FNV3,  24, 157N,  996W,  43, 1001, XX,  34, NEQ,   25,   20,   14,   20,     ,     ,  29,
EP, 95, 2025091018, 03, FNV3,  24, 157N,  996W,  43, 1001, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  29,
EP, 95, 2025091018, 03, FNV3,  24, 157N,  996W,  43, 1001, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  29,
EP, 95, 2025091018, 03, FNV3,  30, 161N, 1005W,  49,  997, XX,  34, NEQ,   32,   27,   19,   26,     ,     ,  22,
EP, 95, 2025091018, 03, FNV3,  30, 161N, 1005W,  49,  997, XX,  50, NEQ,    7,    6,    4,    6,     ,     ,  22,
EP, 95, 2025091018, 03, FNV3,  30, 161N, 1005W,  49,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  22,
EP, 95, 2025091018, 03, FNV3,  36, 164N, 1017W,  47,  999, XX,  34, NEQ,   27,   22,   15,   22,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  36, 164N, 1017W,  47,  999, XX,  50, NEQ,    7,    6,    4,    6,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  36, 164N, 1017W,  47,  999, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  42, 167N, 1028W,  49,  998, XX,  34, NEQ,   30,   25,   17,   25,     ,     ,  27,
EP, 95, 2025091018, 03, FNV3,  42, 167N, 1028W,  49,  998, XX,  50, NEQ,    9,    8,    5,    7,     ,     ,  27,
EP, 95, 2025091018, 03, FNV3,  42, 167N, 1028W,  49,  998, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  27,
EP, 95, 2025091018, 03, FNV3,  48, 170N, 1040W,  51,  997, XX,  34, NEQ,   33,   26,   18,   27,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  48, 170N, 1040W,  51,  997, XX,  50, NEQ,   10,    8,    6,    8,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  48, 170N, 1040W,  51,  997, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  54, 172N, 1053W,  54,  994, XX,  34, NEQ,   35,   29,   20,   28,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  54, 172N, 1053W,  54,  994, XX,  50, NEQ,   11,    8,    6,    8,     ,     ,  25,
EP, 95, 2025091018, 03, FNV3,  54, 172N, 1053W,  54,  994, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  25,
