# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025092212, 03, FNV3,   0, 304N,  624W, 105,  955, XX,  34, NEQ,  120,  120,   50,   60,     ,     ,  20,
AL, 07, 2025092212, 03, FNV3,   0, 304N,  624W, 105,  955, XX,  50, NEQ,   40,   40,   25,   30,     ,     ,  20,
AL, 07, 2025092212, 03, FNV3,   0, 304N,  624W, 105,  955, XX,  64, NEQ,   20,   10,   15,     ,     ,     ,  20,
AL, 07, 2025092212, 03, FNV3,   6, 312N,  621W,  96,  967, XX,  34, NEQ,   78,   73,   47,   60,     ,     ,  18,
AL, 07, 2025092212, 03, FNV3,   6, 312N,  621W,  96,  967, XX,  50, NEQ,   36,   32,   24,   30,     ,     ,  18,
AL, 07, 2025092212, 03, FNV3,   6, 312N,  621W,  96,  967, XX,  64, NEQ,   18,   16,   13,   15,     ,     ,  18,
AL, 07, 2025092212, 03, FNV3,  12, 319N,  615W,  93,  969, XX,  34, NEQ,   77,   74,   50,   60,     ,     ,  18,
AL, 07, 2025092212, 03, FNV3,  12, 319N,  615W,  93,  969, XX,  50, NEQ,   35,   32,   25,   29,     ,     ,  18,
AL, 07, 2025092212, 03, FNV3,  12, 319N,  615W,  93,  969, XX,  64, NEQ,   17,   16,   13,   15,     ,     ,  18,
AL, 07, 2025092212, 03, FNV3,  18, 326N,  605W,  87,  972, XX,  34, NEQ,   77,   76,   53,   61,     ,     ,  20,
AL, 07, 2025092212, 03, FNV3,  18, 326N,  605W,  87,  972, XX,  50, NEQ,   33,   31,   24,   28,     ,     ,  20,
AL, 07, 2025092212, 03, FNV3,  18, 326N,  605W,  87,  972, XX,  64, NEQ,   17,   15,   13,   14,     ,     ,  20,
AL, 07, 2025092212, 03, FNV3,  24, 334N,  592W,  88,  972, XX,  34, NEQ,   73,   75,   51,   57,     ,     ,  19,
AL, 07, 2025092212, 03, FNV3,  24, 334N,  592W,  88,  972, XX,  50, NEQ,   35,   33,   26,   29,     ,     ,  19,
AL, 07, 2025092212, 03, FNV3,  24, 334N,  592W,  88,  972, XX,  64, NEQ,   18,   17,   14,   15,     ,     ,  19,
AL, 07, 2025092212, 03, FNV3,  30, 342N,  575W,  89,  971, XX,  34, NEQ,   72,   76,   54,   57,     ,     ,  21,
AL, 07, 2025092212, 03, FNV3,  30, 342N,  575W,  89,  971, XX,  50, NEQ,   36,   34,   28,   30,     ,     ,  21,
AL, 07, 2025092212, 03, FNV3,  30, 342N,  575W,  89,  971, XX,  64, NEQ,   18,   17,   14,   16,     ,     ,  21,
AL, 07, 2025092212, 03, FNV3,  36, 348N,  554W,  86,  973, XX,  34, NEQ,   78,   82,   59,   63,     ,     ,  19,
AL, 07, 2025092212, 03, FNV3,  36, 348N,  554W,  86,  973, XX,  50, NEQ,   39,   38,   31,   33,     ,     ,  19,
AL, 07, 2025092212, 03, FNV3,  36, 348N,  554W,  86,  973, XX,  64, NEQ,   20,   19,   15,   17,     ,     ,  19,
AL, 07, 2025092212, 03, FNV3,  42, 353N,  530W,  81,  977, XX,  34, NEQ,   78,   82,   59,   62,     ,     ,  22,
AL, 07, 2025092212, 03, FNV3,  42, 353N,  530W,  81,  977, XX,  50, NEQ,   35,   34,   27,   29,     ,     ,  22,
AL, 07, 2025092212, 03, FNV3,  42, 353N,  530W,  81,  977, XX,  64, NEQ,   17,   16,   13,   14,     ,     ,  22,
AL, 07, 2025092212, 03, FNV3,  48, 356N,  500W,  76,  979, XX,  34, NEQ,   79,   85,   62,   64,     ,     ,  24,
AL, 07, 2025092212, 03, FNV3,  48, 356N,  500W,  76,  979, XX,  50, NEQ,   39,   38,   31,   32,     ,     ,  24,
AL, 07, 2025092212, 03, FNV3,  48, 356N,  500W,  76,  979, XX,  64, NEQ,   17,   16,   13,   14,     ,     ,  24,
AL, 07, 2025092212, 03, FNV3,  54, 358N,  470W,  71,  982, XX,  34, NEQ,   87,   92,   70,   70,     ,     ,  25,
AL, 07, 2025092212, 03, FNV3,  54, 358N,  470W,  71,  982, XX,  50, NEQ,   41,   41,   33,   34,     ,     ,  25,
AL, 07, 2025092212, 03, FNV3,  54, 358N,  470W,  71,  982, XX,  64, NEQ,   15,   15,   12,   13,     ,     ,  25,
AL, 07, 2025092212, 03, FNV3,  60, 360N,  436W,  66,  985, XX,  34, NEQ,   87,   92,   69,   70,     ,     ,  31,
AL, 07, 2025092212, 03, FNV3,  60, 360N,  436W,  66,  985, XX,  50, NEQ,   36,   36,   29,   29,     ,     ,  31,
AL, 07, 2025092212, 03, FNV3,  60, 360N,  436W,  66,  985, XX,  64, NEQ,   11,   11,    9,    9,     ,     ,  31,
AL, 07, 2025092212, 03, FNV3,  66, 363N,  404W,  61,  987, XX,  34, NEQ,   94,  101,   79,   77,     ,     ,  32,
AL, 07, 2025092212, 03, FNV3,  66, 363N,  404W,  61,  987, XX,  50, NEQ,   37,   37,   29,   30,     ,     ,  32,
AL, 07, 2025092212, 03, FNV3,  66, 363N,  404W,  61,  987, XX,  64, NEQ,    9,    9,    8,    8,     ,     ,  32,
AL, 07, 2025092212, 03, FNV3,  72, 369N,  370W,  58,  987, XX,  34, NEQ,   89,   94,   73,   73,     ,     ,  40,
AL, 07, 2025092212, 03, FNV3,  72, 369N,  370W,  58,  987, XX,  50, NEQ,   34,   34,   27,   28,     ,     ,  40,
AL, 07, 2025092212, 03, FNV3,  72, 369N,  370W,  58,  987, XX,  64, NEQ,    6,    6,    5,    5,     ,     ,  40,
AL, 07, 2025092212, 03, FNV3,  78, 381N,  336W,  58,  986, XX,  34, NEQ,   96,  103,   81,   79,     ,     ,  43,
AL, 07, 2025092212, 03, FNV3,  78, 381N,  336W,  58,  986, XX,  50, NEQ,   33,   34,   27,   27,     ,     ,  43,
AL, 07, 2025092212, 03, FNV3,  78, 381N,  336W,  58,  986, XX,  64, NEQ,    5,    6,    5,    5,     ,     ,  43,
AL, 07, 2025092212, 03, FNV3,  84, 396N,  302W,  58,  986, XX,  34, NEQ,  106,  110,   90,   88,     ,     ,  43,
AL, 07, 2025092212, 03, FNV3,  84, 396N,  302W,  58,  986, XX,  50, NEQ,   36,   37,   29,   29,     ,     ,  43,
AL, 07, 2025092212, 03, FNV3,  84, 396N,  302W,  58,  986, XX,  64, NEQ,    5,    5,    4,    4,     ,     ,  43,
AL, 07, 2025092212, 03, FNV3,  90, 411N,  273W,  57,  986, XX,  34, NEQ,  117,  120,  100,   99,     ,     ,  47,
AL, 07, 2025092212, 03, FNV3,  90, 411N,  273W,  57,  986, XX,  50, NEQ,   39,   39,   31,   31,     ,     ,  47,
