# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025092418, 03, FNV3,   0, 361N,  469W,  89,  966, XX,  34, NEQ,   90,  140,  130,   70,     ,     ,  15,
AL, 07, 2025092418, 03, FNV3,   0, 361N,  469W,  89,  966, XX,  50, NEQ,   50,   80,   70,   40,     ,     ,  15,
AL, 07, 2025092418, 03, FNV3,   0, 361N,  469W,  89,  966, XX,  64, NEQ,   40,   30,   20,     ,     ,     ,  15,
AL, 07, 2025092418, 03, FNV3,   6, 357N,  438W,  70,  984, XX,  34, NEQ,   89,   94,   73,   73,     ,     ,  28,
AL, 07, 2025092418, 03, FNV3,   6, 357N,  438W,  70,  984, XX,  50, NEQ,   42,   42,   34,   35,     ,     ,  28,
AL, 07, 2025092418, 03, FNV3,   6, 357N,  438W,  70,  984, XX,  64, NEQ,   15,   15,   12,   13,     ,     ,  28,
AL, 07, 2025092418, 03, FNV3,  12, 357N,  404W,  64,  986, XX,  34, NEQ,   80,   87,   66,   65,     ,     ,  31,
AL, 07, 2025092418, 03, FNV3,  12, 357N,  404W,  64,  986, XX,  50, NEQ,   34,   34,   27,   28,     ,     ,  31,
AL, 07, 2025092418, 03, FNV3,  12, 357N,  404W,  64,  986, XX,  64, NEQ,   11,   11,    9,    9,     ,     ,  31,
AL, 07, 2025092418, 03, FNV3,  18, 359N,  371W,  60,  987, XX,  34, NEQ,   89,   94,   74,   73,     ,     ,  34,
AL, 07, 2025092418, 03, FNV3,  18, 359N,  371W,  60,  987, XX,  50, NEQ,   37,   37,   30,   30,     ,     ,  34,
AL, 07, 2025092418, 03, FNV3,  18, 359N,  371W,  60,  987, XX,  64, NEQ,    8,    8,    7,    7,     ,     ,  34,
AL, 07, 2025092418, 03, FNV3,  24, 365N,  340W,  60,  987, XX,  34, NEQ,   89,   95,   74,   72,     ,     ,  32,
AL, 07, 2025092418, 03, FNV3,  24, 365N,  340W,  60,  987, XX,  50, NEQ,   37,   37,   29,   29,     ,     ,  32,
AL, 07, 2025092418, 03, FNV3,  24, 365N,  340W,  60,  987, XX,  64, NEQ,    7,    7,    6,    6,     ,     ,  32,
AL, 07, 2025092418, 03, FNV3,  30, 373N,  310W,  57,  989, XX,  34, NEQ,   84,   87,   67,   67,     ,     ,  36,
AL, 07, 2025092418, 03, FNV3,  30, 373N,  310W,  57,  989, XX,  50, NEQ,   28,   28,   21,   22,     ,     ,  36,
AL, 07, 2025092418, 03, FNV3,  30, 373N,  310W,  57,  989, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  36,
AL, 07, 2025092418, 03, FNV3,  36, 382N,  280W,  57,  989, XX,  34, NEQ,   82,   84,   65,   66,     ,     ,  38,
AL, 07, 2025092418, 03, FNV3,  36, 382N,  280W,  57,  989, XX,  50, NEQ,   25,   25,   19,   20,     ,     ,  38,
AL, 07, 2025092418, 03, FNV3,  36, 382N,  280W,  57,  989, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  38,
AL, 07, 2025092418, 03, FNV3,  42, 390N,  251W,  55,  992, XX,  34, NEQ,   97,   95,   76,   79,     ,     ,  41,
AL, 07, 2025092418, 03, FNV3,  42, 390N,  251W,  55,  992, XX,  50, NEQ,   27,   27,   21,   22,     ,     ,  41,
AL, 07, 2025092418, 03, FNV3,  42, 390N,  251W,  55,  992, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  41,
AL, 07, 2025092418, 03, FNV3,  48, 397N,  224W,  52,  994, XX,  34, NEQ,   84,   84,   66,   69,     ,     ,  48,
AL, 07, 2025092418, 03, FNV3,  48, 397N,  224W,  52,  994, XX,  50, NEQ,   19,   19,   15,   15,     ,     ,  48,
AL, 07, 2025092418, 03, FNV3,  48, 397N,  224W,  52,  994, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  48,
AL, 07, 2025092418, 03, FNV3,  54, 401N,  195W,  52,  995, XX,  34, NEQ,   78,   78,   63,   65,     ,     ,  52,
AL, 07, 2025092418, 03, FNV3,  54, 401N,  195W,  52,  995, XX,  50, NEQ,   17,   17,   14,   14,     ,     ,  52,
AL, 07, 2025092418, 03, FNV3,  54, 401N,  195W,  52,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  52,
AL, 07, 2025092418, 03, FNV3,  60, 404N,  169W,  52,  994, XX,  34, NEQ,   65,   69,   56,   54,     ,     ,  53,
AL, 07, 2025092418, 03, FNV3,  60, 404N,  169W,  52,  994, XX,  50, NEQ,    9,   10,    8,    7,     ,     ,  53,
AL, 07, 2025092418, 03, FNV3,  66, 406N,  144W,  50,  993, XX,  34, NEQ,   49,   52,   42,   41,     ,     ,  53,
AL, 07, 2025092418, 03, FNV3,  66, 406N,  144W,  50,  993, XX,  50, NEQ,    7,    8,    6,    6,     ,     ,  53,
AL, 07, 2025092418, 03, FNV3,  72, 405N,  123W,  48,  995, XX,  34, NEQ,   51,   54,   44,   43,     ,     ,  57,
AL, 07, 2025092418, 03, FNV3,  72, 405N,  123W,  48,  995, XX,  50, NEQ,    3,    4,    3,    3,     ,     ,  57,
AL, 07, 2025092418, 03, FNV3,  78, 399N,  106W,  44,  997, XX,  34, NEQ,   51,   51,   42,   45,     ,     ,  58,
AL, 07, 2025092418, 03, FNV3,  78, 399N,  106W,  44,  997, XX,  50, NEQ,    4,    5,    3,    4,     ,     ,  58,
AL, 07, 2025092418, 03, FNV3,  84, 392N,   92W,  39, 1000, XX,  34, NEQ,   30,   30,   26,   27,     ,     ,  57,
AL, 07, 2025092418, 03, FNV3,  84, 392N,   92W,  39, 1000, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  57,
AL, 07, 2025092418, 03, FNV3,  90, 386N,   81W,  32, 1004, XX,  34, NEQ,    8,    8,    7,    9,     ,     ,  54,
AL, 07, 2025092418, 03, FNV3,  90, 386N,   81W,  32, 1004, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  54,
AL, 93, 2025092418, 03, FNV3,   0, 198N,  545W,  35, 1008, XX,  34, NEQ,   40,    0,    0,    0,     ,     ,  40,
AL, 93, 2025092418, 03, FNV3,   6, 205N,  557W,  40, 1007, XX,  34, NEQ,   24,   18,   10,   16,     ,     ,  44,
