# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 08, 2025092700, 03, FNV3,   0, 221N,  584W, 121,  942, XX,  34, NEQ,   90,   60,   50,   80,     ,     ,  10,
AL, 08, 2025092700, 03, FNV3,   0, 221N,  584W, 121,  942, XX,  50, NEQ,   40,   30,   25,   40,     ,     ,  10,
AL, 08, 2025092700, 03, FNV3,   0, 221N,  584W, 121,  942, XX,  64, NEQ,   10,   10,   20,     ,     ,     ,  10,
AL, 08, 2025092700, 03, FNV3,   6, 222N,  590W,  80,  978, XX,  34, NEQ,   96,   73,   56,   84,     ,     ,  18,
AL, 08, 2025092700, 03, FNV3,   6, 222N,  590W,  80,  978, XX,  50, NEQ,   44,   33,   25,   37,     ,     ,  18,
AL, 08, 2025092700, 03, FNV3,   6, 222N,  590W,  80,  978, XX,  64, NEQ,   23,   16,   12,   16,     ,     ,  18,
AL, 08, 2025092700, 03, FNV3,  12, 223N,  597W,  92,  968, XX,  34, NEQ,  103,   80,   61,   91,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  12, 223N,  597W,  92,  968, XX,  50, NEQ,   48,   37,   27,   41,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  12, 223N,  597W,  92,  968, XX,  64, NEQ,   26,   19,   15,   20,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  18, 226N,  604W,  97,  963, XX,  34, NEQ,  127,  100,   74,  109,     ,     ,  18,
AL, 08, 2025092700, 03, FNV3,  18, 226N,  604W,  97,  963, XX,  50, NEQ,   63,   49,   36,   53,     ,     ,  18,
AL, 08, 2025092700, 03, FNV3,  18, 226N,  604W,  97,  963, XX,  64, NEQ,   32,   26,   20,   27,     ,     ,  18,
AL, 08, 2025092700, 03, FNV3,  24, 228N,  614W, 109,  954, XX,  34, NEQ,  133,  106,   77,  114,     ,     ,  20,
AL, 08, 2025092700, 03, FNV3,  24, 228N,  614W, 109,  954, XX,  50, NEQ,   66,   52,   38,   57,     ,     ,  20,
AL, 08, 2025092700, 03, FNV3,  24, 228N,  614W, 109,  954, XX,  64, NEQ,   37,   31,   24,   32,     ,     ,  20,
AL, 08, 2025092700, 03, FNV3,  30, 233N,  624W, 115,  947, XX,  34, NEQ,  140,  115,   84,  122,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  30, 233N,  624W, 115,  947, XX,  50, NEQ,   73,   58,   43,   63,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  30, 233N,  624W, 115,  947, XX,  64, NEQ,   40,   34,   27,   35,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  36, 239N,  634W, 121,  942, XX,  34, NEQ,  152,  124,   86,  130,     ,     ,  15,
AL, 08, 2025092700, 03, FNV3,  36, 239N,  634W, 121,  942, XX,  50, NEQ,   81,   65,   48,   69,     ,     ,  15,
AL, 08, 2025092700, 03, FNV3,  36, 239N,  634W, 121,  942, XX,  64, NEQ,   46,   39,   30,   40,     ,     ,  15,
AL, 08, 2025092700, 03, FNV3,  42, 246N,  644W, 127,  937, XX,  34, NEQ,  162,  138,   95,  135,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  42, 246N,  644W, 127,  937, XX,  50, NEQ,   86,   70,   52,   73,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  42, 246N,  644W, 127,  937, XX,  64, NEQ,   49,   42,   33,   43,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  48, 255N,  653W, 124,  938, XX,  34, NEQ,  164,  142,   94,  134,     ,     ,  16,
AL, 08, 2025092700, 03, FNV3,  48, 255N,  653W, 124,  938, XX,  50, NEQ,   88,   72,   54,   74,     ,     ,  16,
AL, 08, 2025092700, 03, FNV3,  48, 255N,  653W, 124,  938, XX,  64, NEQ,   50,   44,   34,   43,     ,     ,  16,
AL, 08, 2025092700, 03, FNV3,  54, 263N,  661W, 123,  939, XX,  34, NEQ,  162,  144,   97,  132,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  54, 263N,  661W, 123,  939, XX,  50, NEQ,   85,   72,   53,   71,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  54, 263N,  661W, 123,  939, XX,  64, NEQ,   48,   42,   33,   41,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  60, 271N,  668W, 119,  941, XX,  34, NEQ,  158,  143,   92,  125,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  60, 271N,  668W, 119,  941, XX,  50, NEQ,   83,   70,   51,   69,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  60, 271N,  668W, 119,  941, XX,  64, NEQ,   47,   41,   32,   40,     ,     ,  17,
AL, 08, 2025092700, 03, FNV3,  66, 280N,  674W, 113,  946, XX,  34, NEQ,  166,  152,   99,  130,     ,     ,  18,
