# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 08, 2025092718, 03, FNV3,   0, 227N,  607W, 134,  929, XX,  34, NEQ,  110,  110,   70,  100,     ,     ,  10,
AL, 08, 2025092718, 03, FNV3,   0, 227N,  607W, 134,  929, XX,  50, NEQ,   50,   40,   40,   50,     ,     ,  10,
AL, 08, 2025092718, 03, FNV3,   0, 227N,  607W, 134,  929, XX,  64, NEQ,   20,   20,   20,     ,     ,     ,  10,
AL, 08, 2025092718, 03, FNV3,   6, 230N,  616W,  96,  964, XX,  34, NEQ,  127,  100,   69,  104,     ,     ,  22,
AL, 08, 2025092718, 03, FNV3,   6, 230N,  616W,  96,  964, XX,  50, NEQ,   61,   48,   35,   52,     ,     ,  22,
AL, 08, 2025092718, 03, FNV3,   6, 230N,  616W,  96,  964, XX,  64, NEQ,   33,   28,   22,   28,     ,     ,  22,
AL, 08, 2025092718, 03, FNV3,  12, 235N,  626W, 102,  958, XX,  34, NEQ,  134,  110,   76,  110,     ,     ,  17,
AL, 08, 2025092718, 03, FNV3,  12, 235N,  626W, 102,  958, XX,  50, NEQ,   67,   53,   39,   56,     ,     ,  17,
AL, 08, 2025092718, 03, FNV3,  12, 235N,  626W, 102,  958, XX,  64, NEQ,   36,   30,   23,   30,     ,     ,  17,
AL, 08, 2025092718, 03, FNV3,  18, 241N,  636W, 113,  950, XX,  34, NEQ,  148,  123,   83,  123,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  18, 241N,  636W, 113,  950, XX,  50, NEQ,   76,   60,   44,   63,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  18, 241N,  636W, 113,  950, XX,  64, NEQ,   42,   36,   28,   36,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  24, 249N,  646W, 122,  942, XX,  34, NEQ,  156,  133,   90,  128,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  24, 249N,  646W, 122,  942, XX,  50, NEQ,   82,   67,   50,   69,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  24, 249N,  646W, 122,  942, XX,  64, NEQ,   47,   40,   31,   40,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  30, 257N,  654W, 122,  940, XX,  34, NEQ,  163,  140,   92,  132,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  30, 257N,  654W, 122,  940, XX,  50, NEQ,   85,   70,   51,   71,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  30, 257N,  654W, 122,  940, XX,  64, NEQ,   49,   42,   33,   42,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  36, 266N,  662W, 124,  939, XX,  34, NEQ,  159,  143,   95,  128,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  36, 266N,  662W, 124,  939, XX,  50, NEQ,   84,   70,   52,   70,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  36, 266N,  662W, 124,  939, XX,  64, NEQ,   47,   41,   32,   40,     ,     ,  16,
AL, 08, 2025092718, 03, FNV3,  42, 274N,  668W, 120,  942, XX,  34, NEQ,  159,  143,   94,  127,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  42, 274N,  668W, 120,  942, XX,  50, NEQ,   84,   71,   51,   69,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  42, 274N,  668W, 120,  942, XX,  64, NEQ,   47,   41,   32,   40,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  48, 284N,  675W, 112,  947, XX,  34, NEQ,  160,  146,   93,  125,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  48, 284N,  675W, 112,  947, XX,  50, NEQ,   83,   71,   51,   68,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  48, 284N,  675W, 112,  947, XX,  64, NEQ,   46,   41,   32,   39,     ,     ,  18,
AL, 08, 2025092718, 03, FNV3,  54, 294N,  681W, 104,  953, XX,  34, NEQ,  166,  153,   96,  128,     ,     ,  17,
AL, 08, 2025092718, 03, FNV3,  54, 294N,  681W, 104,  953, XX,  50, NEQ,   85,   74,   54,   69,     ,     ,  17,
AL, 08, 2025092718, 03, FNV3,  54, 294N,  681W, 104,  953, XX,  64, NEQ,   49,   44,   34,   41,     ,     ,  17,
AL, 08, 2025092718, 03, FNV3,  60, 305N,  687W,  97,  957, XX,  34, NEQ,  163,  153,   96,  124,     ,     ,  19,
AL, 08, 2025092718, 03, FNV3,  60, 305N,  687W,  97,  957, XX,  50, NEQ,   84,   75,   55,   68,     ,     ,  19,
AL, 08, 2025092718, 03, FNV3,  60, 305N,  687W,  97,  957, XX,  64, NEQ,   46,   42,   32,   38,     ,     ,  19,
AL, 08, 2025092718, 03, FNV3,  66, 317N,  690W,  89,  963, XX,  34, NEQ,  173,  164,  107,  133,     ,     ,  23,
AL, 08, 2025092718, 03, FNV3,  66, 317N,  690W,  89,  963, XX,  50, NEQ,   90,   83,   62,   73,     ,     ,  23,
AL, 08, 2025092718, 03, FNV3,  66, 317N,  690W,  89,  963, XX,  64, NEQ,   44,   41,   33,   37,     ,     ,  23,
AL, 08, 2025092718, 03, FNV3,  72, 330N,  689W,  83,  966, XX,  34, NEQ,  171,  167,  112,  131,     ,     ,  26,
AL, 08, 2025092718, 03, FNV3,  72, 330N,  689W,  83,  966, XX,  50, NEQ,   88,   82,   63,   71,     ,     ,  26,
AL, 08, 2025092718, 03, FNV3,  72, 330N,  689W,  83,  966, XX,  64, NEQ,   43,   40,   31,   36,     ,     ,  26,
AL, 08, 2025092718, 03, FNV3,  78, 341N,  685W,  78,  969, XX,  34, NEQ,  176,  171,  120,  137,     ,     ,  29,
AL, 08, 2025092718, 03, FNV3,  78, 341N,  685W,  78,  969, XX,  50, NEQ,   91,   86,   65,   74,     ,     ,  29,
AL, 08, 2025092718, 03, FNV3,  78, 341N,  685W,  78,  969, XX,  64, NEQ,   39,   35,   28,   31,     ,     ,  29,
AL, 08, 2025092718, 03, FNV3,  84, 350N,  678W,  77,  969, XX,  34, NEQ,  184,  183,  135,  147,     ,     ,  33,
AL, 08, 2025092718, 03, FNV3,  84, 350N,  678W,  77,  969, XX,  50, NEQ,   91,   91,   69,   75,     ,     ,  33,
AL, 08, 2025092718, 03, FNV3,  84, 350N,  678W,  77,  969, XX,  64, NEQ,   41,   36,   29,   32,     ,     ,  33,
AL, 08, 2025092718, 03, FNV3,  90, 356N,  664W,  76,  972, XX,  34, NEQ,  205,  213,  171,  173,     ,     ,  38,
AL, 08, 2025092718, 03, FNV3,  90, 356N,  664W,  76,  972, XX,  50, NEQ,  102,  107,   87,   87,     ,     ,  38,
AL, 08, 2025092718, 03, FNV3,  90, 356N,  664W,  76,  972, XX,  64, NEQ,   39,   40,   34,   33,     ,     ,  38,
AL, 08, 2025092718, 03, FNV3,  96, 360N,  639W,  74,  973, XX,  34, NEQ,  229,  242,  202,  197,     ,     ,  44,
AL, 08, 2025092718, 03, FNV3,  96, 360N,  639W,  74,  973, XX,  50, NEQ,  120,  126,  106,  102,     ,     ,  44,
AL, 08, 2025092718, 03, FNV3,  96, 360N,  639W,  74,  973, XX,  64, NEQ,   45,   47,   38,   36,     ,     ,  44,
AL, 08, 2025092718, 03, FNV3, 102, 364N,  606W,  74,  973, XX,  34, NEQ,  221,  232,  196,  193,     ,     ,  46,
AL, 08, 2025092718, 03, FNV3, 102, 364N,  606W,  74,  973, XX,  50, NEQ,  111,  116,   98,   95,     ,     ,  46,
AL, 08, 2025092718, 03, FNV3, 102, 364N,  606W,  74,  973, XX,  64, NEQ,   37,   48,   33,   32,     ,     ,  46,
AL, 08, 2025092718, 03, FNV3, 108, 373N,  565W,  70,  975, XX,  34, NEQ,  232,  244,  208,  207,     ,     ,  48,
AL, 08, 2025092718, 03, FNV3, 108, 373N,  565W,  70,  975, XX,  50, NEQ,  118,  123,  104,  101,     ,     ,  48,
AL, 08, 2025092718, 03, FNV3, 108, 373N,  565W,  70,  975, XX,  64, NEQ,   36,   42,   33,   32,     ,     ,  48,
AL, 08, 2025092718, 03, FNV3, 114, 388N,  518W,  67,  976, XX,  34, NEQ,  260,  268,  230,  229,     ,     ,  58,
AL, 08, 2025092718, 03, FNV3, 114, 388N,  518W,  67,  976, XX,  50, NEQ,  114,  122,  100,   97,     ,     ,  58,
AL, 08, 2025092718, 03, FNV3, 114, 388N,  518W,  67,  976, XX,  64, NEQ,   27,   39,   24,   22,     ,     ,  58,
AL, 08, 2025092718, 03, FNV3, 120, 414N,  463W,  66,  972, XX,  34, NEQ,  254,  262,  227,  225,     ,     ,  65,
AL, 08, 2025092718, 03, FNV3, 120, 414N,  463W,  66,  972, XX,  50, NEQ,  120,  125,  107,  102,     ,     ,  65,
AL, 08, 2025092718, 03, FNV3, 120, 414N,  463W,  66,  972, XX,  64, NEQ,   31,   38,   24,   23,     ,     ,  65,
AL, 08, 2025092718, 03, FNV3, 126, 442N,  423W,  64,  970, XX,  34, NEQ,  274,  277,  242,  243,     ,     ,  70,
AL, 08, 2025092718, 03, FNV3, 126, 442N,  423W,  64,  970, XX,  50, NEQ,  110,  112,   92,   92,     ,     ,  70,
AL, 08, 2025092718, 03, FNV3, 126, 442N,  423W,  64,  970, XX,  64, NEQ,   22,   37,   18,   18,     ,     ,  70,
AL, 08, 2025092718, 03, FNV3, 132, 473N,  392W,  62,  968, XX,  34, NEQ,  175,  190,  155,  156,     ,     ,  80,
AL, 08, 2025092718, 03, FNV3, 132, 473N,  392W,  62,  968, XX,  50, NEQ,   74,   74,   53,   53,     ,     ,  80,
AL, 08, 2025092718, 03, FNV3, 132, 473N,  392W,  62,  968, XX,  64, NEQ,   20,   26,   12,   12,     ,     ,  80,
AL, 08, 2025092718, 03, FNV3, 138, 505N,  378W,  66,  960, XX,  34, NEQ,  217,  225,  197,  199,     ,     ,  73,
AL, 08, 2025092718, 03, FNV3, 138, 505N,  378W,  66,  960, XX,  50, NEQ,   92,  103,   74,   80,     ,     ,  73,
AL, 08, 2025092718, 03, FNV3, 138, 505N,  378W,  66,  960, XX,  64, NEQ,   28,   45,   20,   19,     ,     ,  73,
