# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 09, 2025100212, 03, FNV3,   0, 329N,  609W,  70,  977, XX,  34, NEQ,  120,  240,  180,  270,     ,     ,  35,
AL, 09, 2025100212, 03, FNV3,   0, 329N,  609W,  70,  977, XX,  50, NEQ,     ,   70,   70,   80,     ,     ,  35,
AL, 09, 2025100212, 03, FNV3,   0, 329N,  609W,  70,  977, XX,  64, NEQ,     ,     ,   40,   40,     ,     ,  35,
AL, 09, 2025100212, 03, FNV3,   6, 332N,  576W,  59,  988, XX,  34, NEQ,  193,  190,  168,  172,     ,     ,  47,
AL, 09, 2025100212, 03, FNV3,   6, 332N,  576W,  59,  988, XX,  50, NEQ,   67,   67,   55,   51,     ,     ,  47,
AL, 09, 2025100212, 03, FNV3,   6, 332N,  576W,  59,  988, XX,  64, NEQ,    4,    8,    3,    3,     ,     ,  47,
AL, 09, 2025100212, 03, FNV3,  12, 335N,  541W,  54,  990, XX,  34, NEQ,  179,  175,  145,  151,     ,     ,  57,
AL, 09, 2025100212, 03, FNV3,  12, 335N,  541W,  54,  990, XX,  50, NEQ,   46,   34,   23,   25,     ,     ,  57,
AL, 09, 2025100212, 03, FNV3,  12, 335N,  541W,  54,  990, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  57,
AL, 09, 2025100212, 03, FNV3,  18, 350N,  511W,  53,  989, XX,  34, NEQ,  176,  174,  148,  149,     ,     ,  64,
AL, 09, 2025100212, 03, FNV3,  18, 350N,  511W,  53,  989, XX,  50, NEQ,   44,   37,   26,   28,     ,     ,  64,
AL, 09, 2025100212, 03, FNV3,  18, 350N,  511W,  53,  989, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  64,
AL, 09, 2025100212, 03, FNV3,  24, 372N,  495W,  58,  984, XX,  34, NEQ,  227,  221,  192,  202,     ,     ,  72,
AL, 09, 2025100212, 03, FNV3,  24, 372N,  495W,  58,  984, XX,  50, NEQ,   62,   64,   43,   48,     ,     ,  72,
AL, 09, 2025100212, 03, FNV3,  24, 372N,  495W,  58,  984, XX,  64, NEQ,    4,    5,    1,    1,     ,     ,  72,
AL, 09, 2025100212, 03, FNV3,  30, 386N,  492W,  63,  979, XX,  34, NEQ,  269,  248,  215,  238,     ,     ,  74,
AL, 09, 2025100212, 03, FNV3,  30, 386N,  492W,  63,  979, XX,  50, NEQ,  111,  108,   89,   92,     ,     ,  74,
AL, 09, 2025100212, 03, FNV3,  30, 386N,  492W,  63,  979, XX,  64, NEQ,   22,   21,   10,   10,     ,     ,  74,
AL, 09, 2025100212, 03, FNV3,  36, 397N,  492W,  63,  976, XX,  34, NEQ,  252,  245,  212,  225,     ,     ,  71,
AL, 09, 2025100212, 03, FNV3,  36, 397N,  492W,  63,  976, XX,  50, NEQ,  118,  118,   95,  100,     ,     ,  71,
AL, 09, 2025100212, 03, FNV3,  36, 397N,  492W,  63,  976, XX,  64, NEQ,   17,   22,   12,   11,     ,     ,  71,
AL, 09, 2025100212, 03, FNV3,  42, 410N,  492W,  60,  974, XX,  34, NEQ,  246,  244,  207,  216,     ,     ,  73,
AL, 09, 2025100212, 03, FNV3,  42, 410N,  492W,  60,  974, XX,  50, NEQ,  107,  104,   83,   87,     ,     ,  73,
AL, 09, 2025100212, 03, FNV3,  42, 410N,  492W,  60,  974, XX,  64, NEQ,   17,   14,   13,   12,     ,     ,  73,
AL, 09, 2025100212, 03, FNV3,  48, 419N,  483W,  57,  976, XX,  34, NEQ,  253,  255,  221,  217,     ,     ,  84,
AL, 09, 2025100212, 03, FNV3,  48, 419N,  483W,  57,  976, XX,  50, NEQ,   72,   81,   54,   53,     ,     ,  84,
