# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 15, 2025100500, 03, FNV3,   0, 152N, 1241W,  54,  997, XX,  34, NEQ,   70,   60,   30,   60,     ,     ,  30,
EP, 15, 2025100500, 03, FNV3,   0, 152N, 1241W,  54,  997, XX,  50, NEQ,   30,   20,     ,   20,     ,     ,  30,
EP, 15, 2025100500, 03, FNV3,   6, 153N, 1241W,  79,  981, XX,  34, NEQ,   74,   63,   49,   63,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,   6, 153N, 1241W,  79,  981, XX,  50, NEQ,   35,   30,   22,   30,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,   6, 153N, 1241W,  79,  981, XX,  64, NEQ,   17,   13,   10,   13,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  12, 156N, 1239W,  84,  977, XX,  34, NEQ,   71,   72,   55,   58,     ,     ,  14,
EP, 15, 2025100500, 03, FNV3,  12, 156N, 1239W,  84,  977, XX,  50, NEQ,   36,   34,   26,   30,     ,     ,  14,
EP, 15, 2025100500, 03, FNV3,  12, 156N, 1239W,  84,  977, XX,  64, NEQ,   20,   17,   14,   16,     ,     ,  14,
EP, 15, 2025100500, 03, FNV3,  18, 158N, 1235W,  83,  979, XX,  34, NEQ,   65,   70,   56,   54,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  18, 158N, 1235W,  83,  979, XX,  50, NEQ,   32,   32,   25,   27,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  18, 158N, 1235W,  83,  979, XX,  64, NEQ,   17,   15,   12,   14,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  24, 160N, 1229W,  79,  981, XX,  34, NEQ,   65,   73,   59,   54,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  24, 160N, 1229W,  79,  981, XX,  50, NEQ,   33,   33,   26,   27,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  24, 160N, 1229W,  79,  981, XX,  64, NEQ,   15,   14,   11,   12,     ,     ,  13,
EP, 15, 2025100500, 03, FNV3,  30, 161N, 1223W,  70,  986, XX,  34, NEQ,   64,   68,   56,   55,     ,     ,  16,
EP, 15, 2025100500, 03, FNV3,  30, 161N, 1223W,  70,  986, XX,  50, NEQ,   29,   28,   22,   24,     ,     ,  16,
EP, 15, 2025100500, 03, FNV3,  30, 161N, 1223W,  70,  986, XX,  64, NEQ,   12,   10,    8,    9,     ,     ,  16,
EP, 15, 2025100500, 03, FNV3,  36, 162N, 1216W,  65,  989, XX,  34, NEQ,   56,   61,   49,   46,     ,     ,  14,
EP, 15, 2025100500, 03, FNV3,  36, 162N, 1216W,  65,  989, XX,  50, NEQ,   25,   25,   19,   20,     ,     ,  14,
EP, 15, 2025100500, 03, FNV3,  36, 162N, 1216W,  65,  989, XX,  64, NEQ,    9,    8,    6,    7,     ,     ,  14,
EP, 15, 2025100500, 03, FNV3,  42, 162N, 1210W,  58,  993, XX,  34, NEQ,   56,   58,   48,   49,     ,     ,  18,
EP, 15, 2025100500, 03, FNV3,  42, 162N, 1210W,  58,  993, XX,  50, NEQ,   19,   18,   15,   15,     ,     ,  18,
EP, 15, 2025100500, 03, FNV3,  42, 162N, 1210W,  58,  993, XX,  64, NEQ,    4,    4,    4,    4,     ,     ,  18,
EP, 15, 2025100500, 03, FNV3,  48, 162N, 1203W,  53,  997, XX,  34, NEQ,   48,   52,   41,   41,     ,     ,  17,
EP, 15, 2025100500, 03, FNV3,  48, 162N, 1203W,  53,  997, XX,  50, NEQ,   13,   12,    9,    9,     ,     ,  17,
EP, 15, 2025100500, 03, FNV3,  48, 162N, 1203W,  53,  997, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  17,
EP, 15, 2025100500, 03, FNV3,  54, 159N, 1198W,  49,  998, XX,  34, NEQ,   44,   43,   38,   41,     ,     ,  21,
EP, 15, 2025100500, 03, FNV3,  54, 159N, 1198W,  49,  998, XX,  50, NEQ,    9,    8,    6,    7,     ,     ,  21,
EP, 15, 2025100500, 03, FNV3,  54, 159N, 1198W,  49,  998, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  21,
EP, 15, 2025100500, 03, FNV3,  60, 158N, 1193W,  49,  998, XX,  34, NEQ,   41,   42,   35,   37,     ,     ,  19,
EP, 15, 2025100500, 03, FNV3,  60, 158N, 1193W,  49,  998, XX,  50, NEQ,    8,    8,    6,    6,     ,     ,  19,
EP, 15, 2025100500, 03, FNV3,  60, 158N, 1193W,  49,  998, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  19,
EP, 15, 2025100500, 03, FNV3,  66, 155N, 1189W,  47, 1000, XX,  34, NEQ,   41,   38,   33,   37,     ,     ,  19,
EP, 15, 2025100500, 03, FNV3,  66, 155N, 1189W,  47, 1000, XX,  50, NEQ,    5,    4,    3,    3,     ,     ,  19,
EP, 15, 2025100500, 03, FNV3,  72, 153N, 1183W,  44, 1001, XX,  34, NEQ,   37,   37,   33,   32,     ,     ,  24,
EP, 15, 2025100500, 03, FNV3,  72, 153N, 1183W,  44, 1001, XX,  50, NEQ,    4,    4,    2,    2,     ,     ,  24,
EP, 15, 2025100500, 03, FNV3,  78, 151N, 1177W,  44, 1001, XX,  34, NEQ,   39,   37,   34,   37,     ,     ,  23,
EP, 15, 2025100500, 03, FNV3,  78, 151N, 1177W,  44, 1001, XX,  50, NEQ,    5,    3,    3,    3,     ,     ,  23,
EP, 15, 2025100500, 03, FNV3,  84, 153N, 1168W,  41, 1002, XX,  34, NEQ,   27,   27,   20,   22,     ,     ,  27,
EP, 15, 2025100500, 03, FNV3,  84, 153N, 1168W,  41, 1002, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  27,
EP, 15, 2025100500, 03, FNV3,  90, 155N, 1155W,  39, 1003, XX,  34, NEQ,   25,   22,   19,   19,     ,     ,  27,
EP, 15, 2025100500, 03, FNV3,  90, 155N, 1155W,  39, 1003, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  27,
EP, 15, 2025100500, 03, FNV3,  96, 162N, 1142W,  36, 1004, XX,  34, NEQ,   22,   19,   14,   16,     ,     ,  29,
EP, 15, 2025100500, 03, FNV3, 102, 166N, 1128W,  32, 1005, XX,  34, NEQ,   11,    9,    6,    7,     ,     ,  36,
EP, 15, 2025100500, 03, FNV3, 108, 169N, 1118W,  30, 1005, XX,  34, NEQ,    3,    2,    1,    2,     ,     ,  38,
EP, 15, 2025100500, 03, FNV3, 114, 169N, 1110W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
EP, 16, 2025100500, 03, FNV3,   0, 155N, 1066W,  41, 1000, XX,  34, NEQ,  120,     ,   60,   90,     ,     ,  60,
EP, 16, 2025100500, 03, FNV3,   6, 158N, 1067W,  53,  995, XX,  34, NEQ,  100,   90,   71,   83,     ,     ,  38,
EP, 16, 2025100500, 03, FNV3,   6, 158N, 1067W,  53,  995, XX,  50, NEQ,   27,   16,   11,   14,     ,     ,  38,
EP, 16, 2025100500, 03, FNV3,   6, 158N, 1067W,  53,  995, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  38,
EP, 16, 2025100500, 03, FNV3,  12, 160N, 1069W,  59,  991, XX,  34, NEQ,   96,   87,   67,   79,     ,     ,  32,
EP, 16, 2025100500, 03, FNV3,  12, 160N, 1069W,  59,  991, XX,  50, NEQ,   38,   27,   20,   24,     ,     ,  32,
EP, 16, 2025100500, 03, FNV3,  12, 160N, 1069W,  59,  991, XX,  64, NEQ,    6,    3,    3,    3,     ,     ,  32,
EP, 16, 2025100500, 03, FNV3,  18, 163N, 1070W,  62,  988, XX,  34, NEQ,  102,   92,   73,   86,     ,     ,  34,
EP, 16, 2025100500, 03, FNV3,  18, 163N, 1070W,  62,  988, XX,  50, NEQ,   43,   32,   24,   29,     ,     ,  34,
EP, 16, 2025100500, 03, FNV3,  18, 163N, 1070W,  62,  988, XX,  64, NEQ,    8,    4,    3,    4,     ,     ,  34,
EP, 16, 2025100500, 03, FNV3,  24, 166N, 1072W,  67,  984, XX,  34, NEQ,  111,  105,   84,   93,     ,     ,  31,
EP, 16, 2025100500, 03, FNV3,  24, 166N, 1072W,  67,  984, XX,  50, NEQ,   50,   44,   34,   39,     ,     ,  31,
EP, 16, 2025100500, 03, FNV3,  24, 166N, 1072W,  67,  984, XX,  64, NEQ,   20,   10,    7,    8,     ,     ,  31,
EP, 16, 2025100500, 03, FNV3,  30, 168N, 1075W,  73,  981, XX,  34, NEQ,  116,  107,   89,  100,     ,     ,  30,
EP, 16, 2025100500, 03, FNV3,  30, 168N, 1075W,  73,  981, XX,  50, NEQ,   56,   50,   40,   47,     ,     ,  30,
EP, 16, 2025100500, 03, FNV3,  30, 168N, 1075W,  73,  981, XX,  64, NEQ,   28,   16,   14,   16,     ,     ,  30,
EP, 16, 2025100500, 03, FNV3,  36, 172N, 1078W,  72,  980, XX,  34, NEQ,  116,  104,   82,   96,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3,  36, 172N, 1078W,  72,  980, XX,  50, NEQ,   54,   48,   37,   45,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3,  36, 172N, 1078W,  72,  980, XX,  64, NEQ,   24,   15,   12,   15,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3,  42, 177N, 1082W,  75,  979, XX,  34, NEQ,  118,  106,   85,  102,     ,     ,  28,
EP, 16, 2025100500, 03, FNV3,  42, 177N, 1082W,  75,  979, XX,  50, NEQ,   58,   51,   39,   49,     ,     ,  28,
EP, 16, 2025100500, 03, FNV3,  42, 177N, 1082W,  75,  979, XX,  64, NEQ,   27,   19,   15,   18,     ,     ,  28,
EP, 16, 2025100500, 03, FNV3,  48, 181N, 1087W,  77,  978, XX,  34, NEQ,  127,  114,   96,  109,     ,     ,  25,
EP, 16, 2025100500, 03, FNV3,  48, 181N, 1087W,  77,  978, XX,  50, NEQ,   58,   51,   40,   49,     ,     ,  25,
EP, 16, 2025100500, 03, FNV3,  48, 181N, 1087W,  77,  978, XX,  64, NEQ,   28,   19,   16,   18,     ,     ,  25,
EP, 16, 2025100500, 03, FNV3,  54, 185N, 1094W,  78,  977, XX,  34, NEQ,  122,  105,   88,  107,     ,     ,  25,
EP, 16, 2025100500, 03, FNV3,  54, 185N, 1094W,  78,  977, XX,  50, NEQ,   57,   48,   38,   48,     ,     ,  25,
EP, 16, 2025100500, 03, FNV3,  54, 185N, 1094W,  78,  977, XX,  64, NEQ,   26,   19,   15,   19,     ,     ,  25,
EP, 16, 2025100500, 03, FNV3,  60, 191N, 1100W,  80,  976, XX,  34, NEQ,  125,  109,   90,  107,     ,     ,  23,
EP, 16, 2025100500, 03, FNV3,  60, 191N, 1100W,  80,  976, XX,  50, NEQ,   62,   53,   41,   52,     ,     ,  23,
EP, 16, 2025100500, 03, FNV3,  60, 191N, 1100W,  80,  976, XX,  64, NEQ,   30,   23,   18,   23,     ,     ,  23,
EP, 16, 2025100500, 03, FNV3,  66, 195N, 1106W,  83,  973, XX,  34, NEQ,  126,  109,   89,  109,     ,     ,  21,
EP, 16, 2025100500, 03, FNV3,  66, 195N, 1106W,  83,  973, XX,  50, NEQ,   62,   53,   41,   53,     ,     ,  21,
EP, 16, 2025100500, 03, FNV3,  66, 195N, 1106W,  83,  973, XX,  64, NEQ,   29,   23,   19,   23,     ,     ,  21,
EP, 16, 2025100500, 03, FNV3,  72, 201N, 1112W,  85,  970, XX,  34, NEQ,  131,  117,   95,  112,     ,     ,  21,
EP, 16, 2025100500, 03, FNV3,  72, 201N, 1112W,  85,  970, XX,  50, NEQ,   63,   54,   42,   53,     ,     ,  21,
EP, 16, 2025100500, 03, FNV3,  72, 201N, 1112W,  85,  970, XX,  64, NEQ,   32,   26,   21,   26,     ,     ,  21,
EP, 16, 2025100500, 03, FNV3,  78, 205N, 1119W,  83,  974, XX,  34, NEQ,  125,  108,   92,  110,     ,     ,  20,
EP, 16, 2025100500, 03, FNV3,  78, 205N, 1119W,  83,  974, XX,  50, NEQ,   62,   53,   42,   54,     ,     ,  20,
EP, 16, 2025100500, 03, FNV3,  78, 205N, 1119W,  83,  974, XX,  64, NEQ,   33,   26,   21,   26,     ,     ,  20,
EP, 16, 2025100500, 03, FNV3,  84, 210N, 1126W,  83,  972, XX,  34, NEQ,  123,  105,   85,  107,     ,     ,  20,
EP, 16, 2025100500, 03, FNV3,  84, 210N, 1126W,  83,  972, XX,  50, NEQ,   63,   53,   41,   54,     ,     ,  20,
EP, 16, 2025100500, 03, FNV3,  84, 210N, 1126W,  83,  972, XX,  64, NEQ,   32,   26,   21,   26,     ,     ,  20,
EP, 16, 2025100500, 03, FNV3,  90, 216N, 1133W,  82,  973, XX,  34, NEQ,  122,  105,   86,  107,     ,     ,  22,
EP, 16, 2025100500, 03, FNV3,  90, 216N, 1133W,  82,  973, XX,  50, NEQ,   63,   52,   41,   53,     ,     ,  22,
EP, 16, 2025100500, 03, FNV3,  90, 216N, 1133W,  82,  973, XX,  64, NEQ,   31,   24,   20,   24,     ,     ,  22,
EP, 16, 2025100500, 03, FNV3,  96, 221N, 1140W,  82,  973, XX,  34, NEQ,  119,  103,   85,  105,     ,     ,  19,
EP, 16, 2025100500, 03, FNV3,  96, 221N, 1140W,  82,  973, XX,  50, NEQ,   60,   50,   39,   51,     ,     ,  19,
EP, 16, 2025100500, 03, FNV3,  96, 221N, 1140W,  82,  973, XX,  64, NEQ,   30,   24,   19,   24,     ,     ,  19,
EP, 16, 2025100500, 03, FNV3, 102, 227N, 1148W,  75,  979, XX,  34, NEQ,  114,   96,   81,  100,     ,     ,  22,
EP, 16, 2025100500, 03, FNV3, 102, 227N, 1148W,  75,  979, XX,  50, NEQ,   57,   48,   38,   49,     ,     ,  22,
EP, 16, 2025100500, 03, FNV3, 102, 227N, 1148W,  75,  979, XX,  64, NEQ,   27,   22,   18,   22,     ,     ,  22,
EP, 16, 2025100500, 03, FNV3, 108, 232N, 1153W,  68,  982, XX,  34, NEQ,  112,   94,   77,   98,     ,     ,  24,
EP, 16, 2025100500, 03, FNV3, 108, 232N, 1153W,  68,  982, XX,  50, NEQ,   56,   46,   36,   46,     ,     ,  24,
EP, 16, 2025100500, 03, FNV3, 108, 232N, 1153W,  68,  982, XX,  64, NEQ,   20,   16,   13,   16,     ,     ,  24,
EP, 16, 2025100500, 03, FNV3, 114, 238N, 1158W,  63,  986, XX,  34, NEQ,  105,   92,   75,   91,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3, 114, 238N, 1158W,  63,  986, XX,  50, NEQ,   48,   39,   30,   38,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3, 114, 238N, 1158W,  63,  986, XX,  64, NEQ,   16,   12,   10,   12,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3, 120, 244N, 1161W,  57,  990, XX,  34, NEQ,   99,   89,   67,   82,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3, 120, 244N, 1161W,  57,  990, XX,  50, NEQ,   38,   30,   22,   28,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3, 120, 244N, 1161W,  57,  990, XX,  64, NEQ,    7,    4,    4,    4,     ,     ,  26,
EP, 16, 2025100500, 03, FNV3, 126, 249N, 1164W,  49,  995, XX,  34, NEQ,   81,   71,   54,   68,     ,     ,  31,
EP, 16, 2025100500, 03, FNV3, 126, 249N, 1164W,  49,  995, XX,  50, NEQ,   20,   16,   12,   15,     ,     ,  31,
EP, 16, 2025100500, 03, FNV3, 126, 249N, 1164W,  49,  995, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  31,
EP, 16, 2025100500, 03, FNV3, 132, 255N, 1166W,  41,  999, XX,  34, NEQ,   50,   43,   32,   41,     ,     ,  34,
EP, 16, 2025100500, 03, FNV3, 132, 255N, 1166W,  41,  999, XX,  50, NEQ,    7,    6,    4,    5,     ,     ,  34,
EP, 16, 2025100500, 03, FNV3, 132, 255N, 1166W,  41,  999, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  34,
EP, 16, 2025100500, 03, FNV3, 138, 257N, 1169W,  34, 1002, XX,  34, NEQ,   35,   28,   22,   27,     ,     ,  41,
EP, 16, 2025100500, 03, FNV3, 138, 257N, 1169W,  34, 1002, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  41,
EP, 16, 2025100500, 03, FNV3, 144, 261N, 1169W,  30, 1004, XX,  34, NEQ,   12,    9,    5,    7,     ,     ,  44,
EP, 16, 2025100500, 03, FNV3, 150, 261N, 1169W,  25, 1005, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  47,
EP, 16, 2025100500, 03, FNV3, 156, 262N, 1172W,  24, 1006, XX,  34, NEQ,    0,    0,    1,    2,     ,     ,  50,
EP, 16, 2025100500, 03, FNV3, 162, 255N, 1180W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
IO, 02, 2025100500, 03, FNV3,   0, 210N,  613E,  70,  980, XX,  34, NEQ,   50,   60,   60,   50,     ,     ,  10,
