# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 95, 2025100712, 03, FNV3,   0, 113N,  438W,  41, 1006, XX,  34, NEQ,  120,   90,     ,     ,     ,     ,  20,
AL, 95, 2025100712, 03, FNV3,   6, 117N,  459W,  44, 1004, XX,  34, NEQ,   81,   55,   38,   54,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,   6, 117N,  459W,  44, 1004, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,  12, 122N,  477W,  46, 1004, XX,  34, NEQ,   93,   66,   45,   62,     ,     ,  58,
AL, 95, 2025100712, 03, FNV3,  12, 122N,  477W,  46, 1004, XX,  50, NEQ,   15,    0,    0,    0,     ,     ,  58,
AL, 95, 2025100712, 03, FNV3,  18, 127N,  496W,  49, 1002, XX,  34, NEQ,   92,   71,   47,   66,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,  18, 127N,  496W,  49, 1002, XX,  50, NEQ,   19,    3,    2,    3,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,  24, 132N,  514W,  50, 1001, XX,  34, NEQ,  110,   87,   59,   84,     ,     ,  48,
AL, 95, 2025100712, 03, FNV3,  24, 132N,  514W,  50, 1001, XX,  50, NEQ,   22,    6,    4,    7,     ,     ,  48,
AL, 95, 2025100712, 03, FNV3,  24, 132N,  514W,  50, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  48,
AL, 95, 2025100712, 03, FNV3,  30, 140N,  533W,  53, 1000, XX,  34, NEQ,  106,   83,   51,   78,     ,     ,  45,
AL, 95, 2025100712, 03, FNV3,  30, 140N,  533W,  53, 1000, XX,  50, NEQ,   26,    7,    6,    7,     ,     ,  45,
AL, 95, 2025100712, 03, FNV3,  30, 140N,  533W,  53, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  45,
AL, 95, 2025100712, 03, FNV3,  36, 148N,  551W,  53, 1001, XX,  34, NEQ,   99,   75,   47,   72,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  36, 148N,  551W,  53, 1001, XX,  50, NEQ,   28,    9,    5,    8,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  36, 148N,  551W,  53, 1001, XX,  64, NEQ,    3,    1,    0,    2,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  42, 155N,  568W,  54, 1000, XX,  34, NEQ,  100,   82,   51,   76,     ,     ,  42,
AL, 95, 2025100712, 03, FNV3,  42, 155N,  568W,  54, 1000, XX,  50, NEQ,   25,    8,    7,    9,     ,     ,  42,
AL, 95, 2025100712, 03, FNV3,  42, 155N,  568W,  54, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  42,
AL, 95, 2025100712, 03, FNV3,  48, 161N,  583W,  52, 1002, XX,  34, NEQ,  101,   80,   50,   77,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3,  48, 161N,  583W,  52, 1002, XX,  50, NEQ,   27,   10,    6,   13,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3,  48, 161N,  583W,  52, 1002, XX,  64, NEQ,    2,    1,    0,    1,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3,  54, 168N,  596W,  53, 1001, XX,  34, NEQ,  107,   81,   51,   77,     ,     ,  42,
AL, 95, 2025100712, 03, FNV3,  54, 168N,  596W,  53, 1001, XX,  50, NEQ,   26,   13,    8,   12,     ,     ,  42,
AL, 95, 2025100712, 03, FNV3,  54, 168N,  596W,  53, 1001, XX,  64, NEQ,    2,    1,    0,    1,     ,     ,  42,
AL, 95, 2025100712, 03, FNV3,  60, 176N,  609W,  51, 1001, XX,  34, NEQ,  104,   80,   50,   75,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  60, 176N,  609W,  51, 1001, XX,  50, NEQ,   24,   12,    8,   12,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  60, 176N,  609W,  51, 1001, XX,  64, NEQ,    1,    0,    1,    0,     ,     ,  47,
