# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 10, 2025100818, 03, FNV3,   0, 144N,  538W,  51, 1000, XX,  34, NEQ,  130,  150,     ,   70,     ,     ,  50,
AL, 10, 2025100818, 03, FNV3,   0, 144N,  538W,  51, 1000, XX,  50, NEQ,   50,   50,     ,     ,     ,     ,  50,
AL, 10, 2025100818, 03, FNV3,   6, 149N,  556W,  52, 1002, XX,  34, NEQ,  124,  100,   63,   94,     ,     ,  53,
AL, 10, 2025100818, 03, FNV3,   6, 149N,  556W,  52, 1002, XX,  50, NEQ,   38,    9,    6,    9,     ,     ,  53,
AL, 10, 2025100818, 03, FNV3,  12, 155N,  571W,  54, 1000, XX,  34, NEQ,  106,   85,   53,   80,     ,     ,  41,
AL, 10, 2025100818, 03, FNV3,  12, 155N,  571W,  54, 1000, XX,  50, NEQ,   30,   11,    6,   10,     ,     ,  41,
AL, 10, 2025100818, 03, FNV3,  12, 155N,  571W,  54, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  41,
AL, 10, 2025100818, 03, FNV3,  18, 163N,  586W,  54, 1000, XX,  34, NEQ,  118,   95,   60,   91,     ,     ,  44,
AL, 10, 2025100818, 03, FNV3,  18, 163N,  586W,  54, 1000, XX,  50, NEQ,   34,   14,    8,   12,     ,     ,  44,
AL, 10, 2025100818, 03, FNV3,  18, 163N,  586W,  54, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  44,
AL, 10, 2025100818, 03, FNV3,  24, 171N,  600W,  55, 1000, XX,  34, NEQ,  115,   94,   56,   84,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  24, 171N,  600W,  55, 1000, XX,  50, NEQ,   41,   14,    7,   12,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  24, 171N,  600W,  55, 1000, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  30, 178N,  610W,  54, 1001, XX,  34, NEQ,  118,   97,   60,   88,     ,     ,  46,
AL, 10, 2025100818, 03, FNV3,  30, 178N,  610W,  54, 1001, XX,  50, NEQ,   37,   17,   12,   16,     ,     ,  46,
AL, 10, 2025100818, 03, FNV3,  30, 178N,  610W,  54, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  46,
AL, 10, 2025100818, 03, FNV3,  36, 189N,  620W,  53, 1001, XX,  34, NEQ,  110,   88,   55,   80,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  36, 189N,  620W,  53, 1001, XX,  50, NEQ,   31,   10,    6,    9,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  36, 189N,  620W,  53, 1001, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  42, 199N,  627W,  52, 1001, XX,  34, NEQ,  100,   83,   50,   71,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  42, 199N,  627W,  52, 1001, XX,  50, NEQ,   30,   10,    6,    8,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  42, 199N,  627W,  52, 1001, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  48, 212N,  630W,  51, 1001, XX,  34, NEQ,   99,   84,   50,   68,     ,     ,  51,
AL, 10, 2025100818, 03, FNV3,  48, 212N,  630W,  51, 1001, XX,  50, NEQ,   23,    9,    5,    7,     ,     ,  51,
AL, 10, 2025100818, 03, FNV3,  48, 212N,  630W,  51, 1001, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  51,
AL, 10, 2025100818, 03, FNV3,  54, 226N,  632W,  52,  999, XX,  34, NEQ,   84,   75,   45,   58,     ,     ,  47,
AL, 10, 2025100818, 03, FNV3,  54, 226N,  632W,  52,  999, XX,  50, NEQ,   23,   13,    6,    8,     ,     ,  47,
AL, 10, 2025100818, 03, FNV3,  54, 226N,  632W,  52,  999, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  47,
AL, 10, 2025100818, 03, FNV3,  60, 238N,  632W,  53,  998, XX,  34, NEQ,   90,   79,   47,   61,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  60, 238N,  632W,  53,  998, XX,  50, NEQ,   22,   13,    8,   11,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  60, 238N,  632W,  53,  998, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  48,
AL, 10, 2025100818, 03, FNV3,  66, 251N,  630W,  51,  998, XX,  34, NEQ,   86,   74,   43,   56,     ,     ,  46,
