# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 97, 2025101206, 03, FNV3,   0,  85N,  330W,  25, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  90,
WP, 29, 2025101206, 03, FNV3,   0, 309N, 1352E,  60,  984, XX,  34, NEQ,   65,   95,   25,   40,     ,     ,  30,
WP, 29, 2025101206, 03, FNV3,   6, 316N, 1366E,  69,  978, XX,  34, NEQ,   91,  108,   85,   72,     ,     ,  16,
WP, 29, 2025101206, 03, FNV3,   6, 316N, 1366E,  69,  978, XX,  50, NEQ,   42,   45,   35,   33,     ,     ,  16,
WP, 29, 2025101206, 03, FNV3,   6, 316N, 1366E,  69,  978, XX,  64, NEQ,   11,   12,    9,    9,     ,     ,  16,
WP, 29, 2025101206, 03, FNV3,  12, 322N, 1382E,  71,  976, XX,  34, NEQ,  101,  120,   94,   79,     ,     ,  17,
WP, 29, 2025101206, 03, FNV3,  12, 322N, 1382E,  71,  976, XX,  50, NEQ,   49,   53,   42,   39,     ,     ,  17,
WP, 29, 2025101206, 03, FNV3,  12, 322N, 1382E,  71,  976, XX,  64, NEQ,   18,   21,   16,   15,     ,     ,  17,
WP, 29, 2025101206, 03, FNV3,  18, 329N, 1403E,  73,  974, XX,  34, NEQ,  106,  130,  109,   87,     ,     ,  18,
WP, 29, 2025101206, 03, FNV3,  18, 329N, 1403E,  73,  974, XX,  50, NEQ,   55,   61,   50,   45,     ,     ,  18,
WP, 29, 2025101206, 03, FNV3,  18, 329N, 1403E,  73,  974, XX,  64, NEQ,   20,   24,   18,   17,     ,     ,  18,
WP, 29, 2025101206, 03, FNV3,  24, 336N, 1426E,  76,  971, XX,  34, NEQ,  118,  144,  117,   96,     ,     ,  18,
WP, 29, 2025101206, 03, FNV3,  24, 336N, 1426E,  76,  971, XX,  50, NEQ,   64,   70,   59,   53,     ,     ,  18,
WP, 29, 2025101206, 03, FNV3,  24, 336N, 1426E,  76,  971, XX,  64, NEQ,   28,   31,   24,   25,     ,     ,  18,
WP, 29, 2025101206, 03, FNV3,  30, 341N, 1452E,  74,  972, XX,  34, NEQ,  122,  144,  122,  103,     ,     ,  22,
WP, 29, 2025101206, 03, FNV3,  30, 341N, 1452E,  74,  972, XX,  50, NEQ,   66,   71,   60,   55,     ,     ,  22,
WP, 29, 2025101206, 03, FNV3,  30, 341N, 1452E,  74,  972, XX,  64, NEQ,   27,   30,   23,   23,     ,     ,  22,
WP, 29, 2025101206, 03, FNV3,  36, 346N, 1480E,  73,  973, XX,  34, NEQ,  133,  155,  126,  112,     ,     ,  20,
WP, 29, 2025101206, 03, FNV3,  36, 346N, 1480E,  73,  973, XX,  50, NEQ,   73,   78,   64,   61,     ,     ,  20,
WP, 29, 2025101206, 03, FNV3,  36, 346N, 1480E,  73,  973, XX,  64, NEQ,   28,   33,   24,   24,     ,     ,  20,
WP, 29, 2025101206, 03, FNV3,  42, 349N, 1509E,  68,  976, XX,  34, NEQ,  146,  159,  135,  126,     ,     ,  27,
WP, 29, 2025101206, 03, FNV3,  42, 349N, 1509E,  68,  976, XX,  50, NEQ,   70,   73,   60,   58,     ,     ,  27,
WP, 29, 2025101206, 03, FNV3,  42, 349N, 1509E,  68,  976, XX,  64, NEQ,   19,   20,   16,   15,     ,     ,  27,
WP, 29, 2025101206, 03, FNV3,  48, 352N, 1540E,  63,  980, XX,  34, NEQ,  150,  163,  134,  128,     ,     ,  29,
WP, 29, 2025101206, 03, FNV3,  48, 352N, 1540E,  63,  980, XX,  50, NEQ,   61,   66,   51,   50,     ,     ,  29,
WP, 29, 2025101206, 03, FNV3,  48, 352N, 1540E,  63,  980, XX,  64, NEQ,   11,   11,    8,    8,     ,     ,  29,
WP, 29, 2025101206, 03, FNV3,  54, 352N, 1570E,  54,  987, XX,  34, NEQ,  160,  168,  141,  138,     ,     ,  33,
WP, 29, 2025101206, 03, FNV3,  54, 352N, 1570E,  54,  987, XX,  50, NEQ,   46,   51,   37,   37,     ,     ,  33,
WP, 29, 2025101206, 03, FNV3,  54, 352N, 1570E,  54,  987, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  33,
WP, 29, 2025101206, 03, FNV3,  60, 354N, 1601E,  47,  992, XX,  34, NEQ,  133,  135,  109,  111,     ,     ,  49,
WP, 29, 2025101206, 03, FNV3,  60, 354N, 1601E,  47,  992, XX,  50, NEQ,   11,   12,   12,   10,     ,     ,  49,
WP, 29, 2025101206, 03, FNV3,  66, 357N, 1637E,  43,  995, XX,  34, NEQ,   79,   76,   62,   64,     ,     ,  54,
WP, 29, 2025101206, 03, FNV3,  66, 357N, 1637E,  43,  995, XX,  50, NEQ,    1,    2,    2,    0,     ,     ,  54,
WP, 29, 2025101206, 03, FNV3,  72, 361N, 1678E,  40,  997, XX,  34, NEQ,   64,   50,   40,   45,     ,     ,  51,
WP, 29, 2025101206, 03, FNV3,  72, 361N, 1678E,  40,  997, XX,  50, NEQ,    3,    2,    0,    0,     ,     ,  51,
WP, 29, 2025101206, 03, FNV3,  78, 365N, 1718E,  35, 1001, XX,  34, NEQ,   24,   11,    6,   15,     ,     ,  54,
WP, 29, 2025101206, 03, FNV3,  84, 372N, 1764E,  33, 1002, XX,  34, NEQ,   15,    2,    3,    2,     ,     ,  47,
