# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 98, 2025101918, 03, FNV3,   0, 127N,  614W,  29, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  60,
IO, 04, 2025101918, 03, FNV3,   0,  86S,  682E,  39,  996, XX,  34, NEQ,   70,  115,  205,  105,     ,     ,  40,
IO, 04, 2025101918, 03, FNV3,   6,  88S,  680E,  50,  990, XX,  34, NEQ,  110,  115,  103,   97,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,   6,  88S,  680E,  50,  990, XX,  50, NEQ,    9,    9,    6,    6,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,   6,  88S,  680E,  50,  990, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  12,  90S,  677E,  46,  993, XX,  34, NEQ,   98,  103,   91,   85,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  12,  90S,  677E,  46,  993, XX,  50, NEQ,    5,    3,    2,    4,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  18,  92S,  672E,  47,  991, XX,  34, NEQ,  100,  105,   94,   88,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  18,  92S,  672E,  47,  991, XX,  50, NEQ,    6,    7,    6,    5,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  18,  92S,  672E,  47,  991, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  24,  93S,  666E,  45,  993, XX,  34, NEQ,  107,  112,  105,   96,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  24,  93S,  666E,  45,  993, XX,  50, NEQ,    8,   10,    8,    7,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  30,  95S,  659E,  47,  992, XX,  34, NEQ,   96,  103,   94,   84,     ,     ,  42,
IO, 04, 2025101918, 03, FNV3,  30,  95S,  659E,  47,  992, XX,  50, NEQ,   12,   15,   11,   11,     ,     ,  42,
IO, 04, 2025101918, 03, FNV3,  30,  95S,  659E,  47,  992, XX,  64, NEQ,    1,    1,    2,    1,     ,     ,  42,
IO, 04, 2025101918, 03, FNV3,  36,  97S,  653E,  46,  993, XX,  34, NEQ,  100,  109,   99,   90,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  36,  97S,  653E,  46,  993, XX,  50, NEQ,    7,    9,    8,    6,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  36,  97S,  653E,  46,  993, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  42,  99S,  646E,  50,  991, XX,  34, NEQ,  105,  115,  105,   93,     ,     ,  40,
IO, 04, 2025101918, 03, FNV3,  42,  99S,  646E,  50,  991, XX,  50, NEQ,   18,   24,   18,   16,     ,     ,  40,
IO, 04, 2025101918, 03, FNV3,  42,  99S,  646E,  50,  991, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  40,
IO, 04, 2025101918, 03, FNV3,  48, 101S,  638E,  48,  991, XX,  34, NEQ,  101,  109,  101,   92,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  48, 101S,  638E,  48,  991, XX,  50, NEQ,   15,   14,   14,   12,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  48, 101S,  638E,  48,  991, XX,  64, NEQ,    1,    2,    2,    1,     ,     ,  41,
IO, 04, 2025101918, 03, FNV3,  54, 103S,  631E,  50,  991, XX,  34, NEQ,  106,  116,  108,   95,     ,     ,  37,
IO, 04, 2025101918, 03, FNV3,  54, 103S,  631E,  50,  991, XX,  50, NEQ,   22,   24,   19,   17,     ,     ,  37,
IO, 04, 2025101918, 03, FNV3,  54, 103S,  631E,  50,  991, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  37,
IO, 04, 2025101918, 03, FNV3,  60, 105S,  623E,  50,  991, XX,  34, NEQ,   96,  109,  100,   87,     ,     ,  36,
IO, 04, 2025101918, 03, FNV3,  60, 105S,  623E,  50,  991, XX,  50, NEQ,   15,   20,   15,   12,     ,     ,  36,
IO, 04, 2025101918, 03, FNV3,  60, 105S,  623E,  50,  991, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  36,
IO, 04, 2025101918, 03, FNV3,  66, 108S,  615E,  55,  989, XX,  34, NEQ,  103,  116,  105,   90,     ,     ,  35,
IO, 04, 2025101918, 03, FNV3,  66, 108S,  615E,  55,  989, XX,  50, NEQ,   23,   27,   23,   19,     ,     ,  35,
IO, 04, 2025101918, 03, FNV3,  66, 108S,  615E,  55,  989, XX,  64, NEQ,    5,    6,    6,    4,     ,     ,  35,
IO, 04, 2025101918, 03, FNV3,  72, 110S,  607E,  52,  990, XX,  34, NEQ,  102,  112,  102,   93,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  72, 110S,  607E,  52,  990, XX,  50, NEQ,   20,   25,   20,   17,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  72, 110S,  607E,  52,  990, XX,  64, NEQ,    4,    5,    6,    4,     ,     ,  38,
IO, 04, 2025101918, 03, FNV3,  78, 112S,  599E,  52,  992, XX,  34, NEQ,   96,  106,   98,   85,     ,     ,  34,
