# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102306, 03, FNV3,   0, 147N,  746W,  45, 1002, XX,  34, NEQ,  100,   90,     ,   60,     ,     ,  60,
AL, 13, 2025102306, 03, FNV3,   6, 152N,  750W,  45, 1002, XX,  34, NEQ,   86,   68,   44,   56,     ,     ,  57,
AL, 13, 2025102306, 03, FNV3,   6, 152N,  750W,  45, 1002, XX,  50, NEQ,    7,    2,    1,    1,     ,     ,  57,
AL, 13, 2025102306, 03, FNV3,  12, 154N,  752W,  45, 1001, XX,  34, NEQ,   76,   60,   37,   50,     ,     ,  56,
AL, 13, 2025102306, 03, FNV3,  12, 154N,  752W,  45, 1001, XX,  50, NEQ,    7,    1,    0,    1,     ,     ,  56,
AL, 13, 2025102306, 03, FNV3,  18, 154N,  749W,  47,  999, XX,  34, NEQ,   87,   72,   50,   63,     ,     ,  51,
AL, 13, 2025102306, 03, FNV3,  18, 154N,  749W,  47,  999, XX,  50, NEQ,   11,    4,    3,    5,     ,     ,  51,
AL, 13, 2025102306, 03, FNV3,  24, 155N,  746W,  49,  999, XX,  34, NEQ,   89,   77,   53,   69,     ,     ,  49,
AL, 13, 2025102306, 03, FNV3,  24, 155N,  746W,  49,  999, XX,  50, NEQ,   18,    5,    4,    6,     ,     ,  49,
AL, 13, 2025102306, 03, FNV3,  24, 155N,  746W,  49,  999, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  49,
AL, 13, 2025102306, 03, FNV3,  30, 156N,  743W,  54,  996, XX,  34, NEQ,   92,   79,   53,   71,     ,     ,  40,
AL, 13, 2025102306, 03, FNV3,  30, 156N,  743W,  54,  996, XX,  50, NEQ,   25,   13,    8,   12,     ,     ,  40,
AL, 13, 2025102306, 03, FNV3,  30, 156N,  743W,  54,  996, XX,  64, NEQ,    2,    1,    0,    1,     ,     ,  40,
AL, 13, 2025102306, 03, FNV3,  36, 159N,  742W,  61,  992, XX,  34, NEQ,   93,   79,   49,   70,     ,     ,  31,
AL, 13, 2025102306, 03, FNV3,  36, 159N,  742W,  61,  992, XX,  50, NEQ,   35,   22,   14,   20,     ,     ,  31,
AL, 13, 2025102306, 03, FNV3,  36, 159N,  742W,  61,  992, XX,  64, NEQ,    7,    3,    2,    3,     ,     ,  31,
AL, 13, 2025102306, 03, FNV3,  42, 162N,  741W,  64,  989, XX,  34, NEQ,   94,   83,   54,   72,     ,     ,  27,
AL, 13, 2025102306, 03, FNV3,  42, 162N,  741W,  64,  989, XX,  50, NEQ,   36,   25,   16,   22,     ,     ,  27,
AL, 13, 2025102306, 03, FNV3,  42, 162N,  741W,  64,  989, XX,  64, NEQ,    9,    5,    4,    5,     ,     ,  27,
AL, 13, 2025102306, 03, FNV3,  48, 166N,  742W,  72,  984, XX,  34, NEQ,   99,   85,   55,   76,     ,     ,  25,
AL, 13, 2025102306, 03, FNV3,  48, 166N,  742W,  72,  984, XX,  50, NEQ,   42,   32,   23,   30,     ,     ,  25,
AL, 13, 2025102306, 03, FNV3,  48, 166N,  742W,  72,  984, XX,  64, NEQ,   16,   10,    9,   10,     ,     ,  25,
AL, 13, 2025102306, 03, FNV3,  54, 168N,  743W,  79,  978, XX,  34, NEQ,  106,   90,   59,   85,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3,  54, 168N,  743W,  79,  978, XX,  50, NEQ,   46,   36,   25,   35,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3,  54, 168N,  743W,  79,  978, XX,  64, NEQ,   18,   12,    9,   13,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3,  60, 170N,  746W,  83,  976, XX,  34, NEQ,  107,   88,   58,   85,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3,  60, 170N,  746W,  83,  976, XX,  50, NEQ,   47,   37,   25,   37,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3,  60, 170N,  746W,  83,  976, XX,  64, NEQ,   20,   13,   10,   14,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3,  66, 170N,  748W,  93,  965, XX,  34, NEQ,  109,   94,   70,   93,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3,  66, 170N,  748W,  93,  965, XX,  50, NEQ,   48,   39,   30,   40,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3,  66, 170N,  748W,  93,  965, XX,  64, NEQ,   25,   19,   15,   19,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3,  72, 170N,  750W,  99,  961, XX,  34, NEQ,  112,   93,   68,   96,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  72, 170N,  750W,  99,  961, XX,  50, NEQ,   53,   42,   32,   45,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  72, 170N,  750W,  99,  961, XX,  64, NEQ,   29,   23,   18,   24,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  78, 172N,  754W, 104,  958, XX,  34, NEQ,  120,   94,   66,  102,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3,  78, 172N,  754W, 104,  958, XX,  50, NEQ,   54,   42,   31,   46,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3,  78, 172N,  754W, 104,  958, XX,  64, NEQ,   29,   23,   18,   24,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3,  84, 172N,  759W, 106,  955, XX,  34, NEQ,  116,   91,   61,   98,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  84, 172N,  759W, 106,  955, XX,  50, NEQ,   53,   41,   30,   45,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  84, 172N,  759W, 106,  955, XX,  64, NEQ,   28,   23,   18,   24,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  90, 173N,  762W, 108,  952, XX,  34, NEQ,  122,  100,   73,  107,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  90, 173N,  762W, 108,  952, XX,  50, NEQ,   54,   42,   32,   47,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  90, 173N,  762W, 108,  952, XX,  64, NEQ,   30,   24,   20,   25,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  96, 173N,  767W, 104,  957, XX,  34, NEQ,  122,  100,   73,  106,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  96, 173N,  767W, 104,  957, XX,  50, NEQ,   56,   44,   33,   48,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3,  96, 173N,  767W, 104,  957, XX,  64, NEQ,   29,   24,   19,   25,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3, 102, 174N,  770W, 100,  959, XX,  34, NEQ,  114,   95,   68,   98,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 102, 174N,  770W, 100,  959, XX,  50, NEQ,   52,   42,   31,   44,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 102, 174N,  770W, 100,  959, XX,  64, NEQ,   27,   21,   17,   22,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 108, 175N,  773W, 100,  958, XX,  34, NEQ,  119,   99,   69,   99,     ,     ,  20,
AL, 13, 2025102306, 03, FNV3, 108, 175N,  773W, 100,  958, XX,  50, NEQ,   56,   45,   33,   46,     ,     ,  20,
AL, 13, 2025102306, 03, FNV3, 108, 175N,  773W, 100,  958, XX,  64, NEQ,   28,   23,   18,   24,     ,     ,  20,
AL, 13, 2025102306, 03, FNV3, 114, 177N,  775W, 101,  957, XX,  34, NEQ,  114,   98,   70,   95,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3, 114, 177N,  775W, 101,  957, XX,  50, NEQ,   50,   41,   30,   41,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3, 114, 177N,  775W, 101,  957, XX,  64, NEQ,   26,   20,   16,   21,     ,     ,  21,
AL, 13, 2025102306, 03, FNV3, 120, 180N,  777W, 101,  957, XX,  34, NEQ,  124,  110,   78,  102,     ,     ,  19,
AL, 13, 2025102306, 03, FNV3, 120, 180N,  777W, 101,  957, XX,  50, NEQ,   57,   48,   36,   47,     ,     ,  19,
AL, 13, 2025102306, 03, FNV3, 120, 180N,  777W, 101,  957, XX,  64, NEQ,   28,   24,   19,   24,     ,     ,  19,
AL, 13, 2025102306, 03, FNV3, 126, 182N,  776W, 103,  955, XX,  34, NEQ,  115,  106,   76,   95,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3, 126, 182N,  776W, 103,  955, XX,  50, NEQ,   52,   46,   34,   43,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3, 126, 182N,  776W, 103,  955, XX,  64, NEQ,   26,   23,   18,   22,     ,     ,  18,
AL, 13, 2025102306, 03, FNV3, 132, 186N,  774W, 103,  955, XX,  34, NEQ,  119,  114,   79,   96,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 132, 186N,  774W, 103,  955, XX,  50, NEQ,   57,   51,   38,   47,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 132, 186N,  774W, 103,  955, XX,  64, NEQ,   29,   25,   20,   24,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 138, 192N,  772W, 102,  955, XX,  34, NEQ,  130,  126,   89,  103,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 138, 192N,  772W, 102,  955, XX,  50, NEQ,   57,   53,   41,   46,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 138, 192N,  772W, 102,  955, XX,  64, NEQ,   30,   26,   21,   24,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 144, 197N,  768W,  98,  958, XX,  34, NEQ,  136,  131,   93,  110,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 144, 197N,  768W,  98,  958, XX,  50, NEQ,   64,   59,   44,   53,     ,     ,  17,
AL, 13, 2025102306, 03, FNV3, 144, 197N,  768W,  98,  958, XX,  64, NEQ,   31,   29,   23,   27,     ,     ,  17,
