# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102506, 03, FNV3,   0, 163N,  749W,  60,  986, XX,  34, NEQ,  100,   90,   30,   60,     ,     ,  25,
AL, 13, 2025102506, 03, FNV3,   0, 163N,  749W,  60,  986, XX,  50, NEQ,   30,   40,     ,     ,     ,     ,  25,
AL, 13, 2025102506, 03, FNV3,   6, 164N,  751W,  76,  982, XX,  34, NEQ,   95,   74,   46,   78,     ,     ,  19,
AL, 13, 2025102506, 03, FNV3,   6, 164N,  751W,  76,  982, XX,  50, NEQ,   44,   34,   22,   35,     ,     ,  19,
AL, 13, 2025102506, 03, FNV3,   6, 164N,  751W,  76,  982, XX,  64, NEQ,   20,   12,    9,   12,     ,     ,  19,
AL, 13, 2025102506, 03, FNV3,  12, 165N,  754W,  85,  975, XX,  34, NEQ,   99,   72,   44,   81,     ,     ,  17,
AL, 13, 2025102506, 03, FNV3,  12, 165N,  754W,  85,  975, XX,  50, NEQ,   44,   31,   20,   35,     ,     ,  17,
AL, 13, 2025102506, 03, FNV3,  12, 165N,  754W,  85,  975, XX,  64, NEQ,   21,   13,    9,   14,     ,     ,  17,
AL, 13, 2025102506, 03, FNV3,  18, 163N,  758W, 105,  958, XX,  34, NEQ,  102,   81,   60,   92,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  18, 163N,  758W, 105,  958, XX,  50, NEQ,   44,   33,   25,   39,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  18, 163N,  758W, 105,  958, XX,  64, NEQ,   26,   19,   15,   21,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  24, 162N,  761W, 107,  957, XX,  34, NEQ,   99,   80,   59,   88,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  24, 162N,  761W, 107,  957, XX,  50, NEQ,   47,   37,   28,   41,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  24, 162N,  761W, 107,  957, XX,  64, NEQ,   27,   21,   17,   22,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  30, 163N,  764W, 114,  950, XX,  34, NEQ,  110,   87,   62,   96,     ,     ,  12,
AL, 13, 2025102506, 03, FNV3,  30, 163N,  764W, 114,  950, XX,  50, NEQ,   51,   40,   30,   44,     ,     ,  12,
AL, 13, 2025102506, 03, FNV3,  30, 163N,  764W, 114,  950, XX,  64, NEQ,   28,   22,   18,   24,     ,     ,  12,
AL, 13, 2025102506, 03, FNV3,  36, 163N,  767W, 116,  948, XX,  34, NEQ,  110,   89,   61,   96,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  36, 163N,  767W, 116,  948, XX,  50, NEQ,   52,   39,   29,   44,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  36, 163N,  767W, 116,  948, XX,  64, NEQ,   29,   23,   18,   24,     ,     ,  14,
AL, 13, 2025102506, 03, FNV3,  42, 162N,  770W, 119,  943, XX,  34, NEQ,  126,  103,   79,  115,     ,     ,  15,
AL, 13, 2025102506, 03, FNV3,  42, 162N,  770W, 119,  943, XX,  50, NEQ,   57,   45,   36,   50,     ,     ,  15,
AL, 13, 2025102506, 03, FNV3,  42, 162N,  770W, 119,  943, XX,  64, NEQ,   32,   26,   22,   28,     ,     ,  15,
AL, 13, 2025102506, 03, FNV3,  48, 162N,  774W, 122,  941, XX,  34, NEQ,  115,   95,   73,  102,     ,     ,  13,
AL, 13, 2025102506, 03, FNV3,  48, 162N,  774W, 122,  941, XX,  50, NEQ,   54,   43,   33,   47,     ,     ,  13,
