# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102812, 03, FNV3,   0, 175N,  781W, 156,  896, XX,  34, NEQ,  170,  130,   60,   80,     ,     ,   5,
AL, 13, 2025102812, 03, FNV3,   0, 175N,  781W, 156,  896, XX,  50, NEQ,   50,   35,   30,   45,     ,     ,   5,
AL, 13, 2025102812, 03, FNV3,   0, 175N,  781W, 156,  896, XX,  64, NEQ,   25,   20,   20,   25,     ,     ,   5,
AL, 13, 2025102812, 03, FNV3,   6, 182N,  777W, 126,  936, XX,  34, NEQ,  128,  126,   82,  100,     ,     ,   8,
AL, 13, 2025102812, 03, FNV3,   6, 182N,  777W, 126,  936, XX,  50, NEQ,   62,   56,   41,   51,     ,     ,   8,
AL, 13, 2025102812, 03, FNV3,   6, 182N,  777W, 126,  936, XX,  64, NEQ,   34,   30,   24,   29,     ,     ,   8,
AL, 13, 2025102812, 03, FNV3,  12, 190N,  771W, 114,  949, XX,  34, NEQ,  127,  132,   88,  101,     ,     ,  12,
AL, 13, 2025102812, 03, FNV3,  12, 190N,  771W, 114,  949, XX,  50, NEQ,   60,   58,   43,   49,     ,     ,  12,
AL, 13, 2025102812, 03, FNV3,  12, 190N,  771W, 114,  949, XX,  64, NEQ,   36,   33,   27,   31,     ,     ,  12,
AL, 13, 2025102812, 03, FNV3,  18, 200N,  765W, 106,  953, XX,  34, NEQ,  125,  125,   85,   98,     ,     ,  13,
AL, 13, 2025102812, 03, FNV3,  18, 200N,  765W, 106,  953, XX,  50, NEQ,   64,   61,   46,   54,     ,     ,  13,
AL, 13, 2025102812, 03, FNV3,  18, 200N,  765W, 106,  953, XX,  64, NEQ,   35,   33,   27,   31,     ,     ,  13,
AL, 13, 2025102812, 03, FNV3,  24, 209N,  759W,  90,  966, XX,  34, NEQ,  131,  126,   81,   98,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  24, 209N,  759W,  90,  966, XX,  50, NEQ,   66,   61,   44,   54,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  24, 209N,  759W,  90,  966, XX,  64, NEQ,   35,   31,   25,   29,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  30, 222N,  752W,  94,  965, XX,  34, NEQ,  137,  135,   85,  104,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  30, 222N,  752W,  94,  965, XX,  50, NEQ,   69,   64,   46,   56,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  30, 222N,  752W,  94,  965, XX,  64, NEQ,   38,   34,   27,   32,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  36, 235N,  743W,  95,  963, XX,  34, NEQ,  133,  136,   89,  100,     ,     ,  19,
AL, 13, 2025102812, 03, FNV3,  36, 235N,  743W,  95,  963, XX,  50, NEQ,   65,   63,   47,   53,     ,     ,  19,
AL, 13, 2025102812, 03, FNV3,  36, 235N,  743W,  95,  963, XX,  64, NEQ,   36,   33,   26,   30,     ,     ,  19,
AL, 13, 2025102812, 03, FNV3,  42, 250N,  733W, 103,  956, XX,  34, NEQ,  145,  151,   98,  108,     ,     ,  16,
AL, 13, 2025102812, 03, FNV3,  42, 250N,  733W, 103,  956, XX,  50, NEQ,   72,   70,   52,   58,     ,     ,  16,
AL, 13, 2025102812, 03, FNV3,  42, 250N,  733W, 103,  956, XX,  64, NEQ,   39,   36,   29,   33,     ,     ,  16,
AL, 13, 2025102812, 03, FNV3,  48, 268N,  719W, 101,  956, XX,  34, NEQ,  150,  159,  105,  112,     ,     ,  18,
AL, 13, 2025102812, 03, FNV3,  48, 268N,  719W, 101,  956, XX,  50, NEQ,   76,   76,   57,   61,     ,     ,  18,
