# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102912, 03, FNV3,   0, 207N,  758W,  89,  968, XX,  34, NEQ,  160,  160,   70,   90,     ,     ,  25,
AL, 13, 2025102912, 03, FNV3,   0, 207N,  758W,  89,  968, XX,  50, NEQ,   70,   80,   35,   40,     ,     ,  25,
AL, 13, 2025102912, 03, FNV3,   0, 207N,  758W,  89,  968, XX,  64, NEQ,   30,   30,   20,   25,     ,     ,  25,
AL, 13, 2025102912, 03, FNV3,   6, 221N,  752W,  90,  968, XX,  34, NEQ,  140,  131,   81,  106,     ,     ,  16,
AL, 13, 2025102912, 03, FNV3,   6, 221N,  752W,  90,  968, XX,  50, NEQ,   72,   65,   47,   58,     ,     ,  16,
AL, 13, 2025102912, 03, FNV3,   6, 221N,  752W,  90,  968, XX,  64, NEQ,   38,   34,   27,   32,     ,     ,  16,
AL, 13, 2025102912, 03, FNV3,  12, 233N,  745W,  89,  968, XX,  34, NEQ,  138,  137,   91,  105,     ,     ,  17,
AL, 13, 2025102912, 03, FNV3,  12, 233N,  745W,  89,  968, XX,  50, NEQ,   69,   65,   48,   56,     ,     ,  17,
AL, 13, 2025102912, 03, FNV3,  12, 233N,  745W,  89,  968, XX,  64, NEQ,   36,   32,   25,   29,     ,     ,  17,
AL, 13, 2025102912, 03, FNV3,  18, 248N,  736W,  98,  960, XX,  34, NEQ,  149,  151,   99,  112,     ,     ,  18,
AL, 13, 2025102912, 03, FNV3,  18, 248N,  736W,  98,  960, XX,  50, NEQ,   76,   73,   55,   62,     ,     ,  18,
AL, 13, 2025102912, 03, FNV3,  18, 248N,  736W,  98,  960, XX,  64, NEQ,   42,   39,   31,   35,     ,     ,  18,
AL, 13, 2025102912, 03, FNV3,  24, 266N,  724W, 101,  957, XX,  34, NEQ,  147,  154,  101,  109,     ,     ,  17,
AL, 13, 2025102912, 03, FNV3,  24, 266N,  724W, 101,  957, XX,  50, NEQ,   75,   73,   55,   60,     ,     ,  17,
AL, 13, 2025102912, 03, FNV3,  24, 266N,  724W, 101,  957, XX,  64, NEQ,   40,   38,   30,   33,     ,     ,  17,
AL, 13, 2025102912, 03, FNV3,  30, 287N,  706W,  95,  959, XX,  34, NEQ,  154,  167,  113,  116,     ,     ,  21,
AL, 13, 2025102912, 03, FNV3,  30, 287N,  706W,  95,  959, XX,  50, NEQ,   80,   82,   64,   66,     ,     ,  21,
AL, 13, 2025102912, 03, FNV3,  30, 287N,  706W,  95,  959, XX,  64, NEQ,   44,   43,   35,   37,     ,     ,  21,
AL, 13, 2025102912, 03, FNV3,  36, 313N,  681W,  87,  964, XX,  34, NEQ,  165,  177,  128,  127,     ,     ,  26,
