# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102918, 03, FNV3,   0, 221N,  753W,  80,  974, XX,  34, NEQ,  160,  160,   90,  110,     ,     ,  35,
AL, 13, 2025102918, 03, FNV3,   0, 221N,  753W,  80,  974, XX,  50, NEQ,   80,  100,   35,   40,     ,     ,  35,
AL, 13, 2025102918, 03, FNV3,   0, 221N,  753W,  80,  974, XX,  64, NEQ,   45,   50,   20,   20,     ,     ,  35,
AL, 13, 2025102918, 03, FNV3,   6, 233N,  747W,  89,  967, XX,  34, NEQ,  131,  130,   84,   97,     ,     ,  20,
AL, 13, 2025102918, 03, FNV3,   6, 233N,  747W,  89,  967, XX,  50, NEQ,   67,   63,   46,   54,     ,     ,  20,
AL, 13, 2025102918, 03, FNV3,   6, 233N,  747W,  89,  967, XX,  64, NEQ,   36,   32,   25,   29,     ,     ,  20,
AL, 13, 2025102918, 03, FNV3,  12, 248N,  738W,  98,  961, XX,  34, NEQ,  159,  158,  107,  121,     ,     ,  18,
AL, 13, 2025102918, 03, FNV3,  12, 248N,  738W,  98,  961, XX,  50, NEQ,   79,   73,   55,   63,     ,     ,  18,
AL, 13, 2025102918, 03, FNV3,  12, 248N,  738W,  98,  961, XX,  64, NEQ,   43,   39,   31,   35,     ,     ,  18,
AL, 13, 2025102918, 03, FNV3,  18, 266N,  724W, 101,  958, XX,  34, NEQ,  158,  166,  110,  119,     ,     ,  17,
AL, 13, 2025102918, 03, FNV3,  18, 266N,  724W, 101,  958, XX,  50, NEQ,   82,   80,   61,   66,     ,     ,  17,
AL, 13, 2025102918, 03, FNV3,  18, 266N,  724W, 101,  958, XX,  64, NEQ,   45,   42,   34,   38,     ,     ,  17,
AL, 13, 2025102918, 03, FNV3,  24, 289N,  707W,  96,  959, XX,  34, NEQ,  165,  177,  122,  125,     ,     ,  21,
AL, 13, 2025102918, 03, FNV3,  24, 289N,  707W,  96,  959, XX,  50, NEQ,   85,   87,   68,   69,     ,     ,  21,
AL, 13, 2025102918, 03, FNV3,  24, 289N,  707W,  96,  959, XX,  64, NEQ,   44,   44,   36,   38,     ,     ,  21,
AL, 13, 2025102918, 03, FNV3,  30, 316N,  682W,  87,  963, XX,  34, NEQ,  168,  181,  130,  130,     ,     ,  28,
AL, 13, 2025102918, 03, FNV3,  30, 316N,  682W,  87,  963, XX,  50, NEQ,   87,   91,   72,   72,     ,     ,  28,
AL, 13, 2025102918, 03, FNV3,  30, 316N,  682W,  87,  963, XX,  64, NEQ,   41,   42,   33,   35,     ,     ,  28,
AL, 13, 2025102918, 03, FNV3,  36, 346N,  653W,  77,  968, XX,  34, NEQ,  192,  205,  156,  152,     ,     ,  33,
AL, 13, 2025102918, 03, FNV3,  36, 346N,  653W,  77,  968, XX,  50, NEQ,   99,  103,   83,   81,     ,     ,  33,
AL, 13, 2025102918, 03, FNV3,  36, 346N,  653W,  77,  968, XX,  64, NEQ,   40,   44,   33,   33,     ,     ,  33,
AL, 13, 2025102918, 03, FNV3,  42, 376N,  620W,  71,  970, XX,  34, NEQ,  216,  228,  180,  175,     ,     ,  46,
AL, 13, 2025102918, 03, FNV3,  42, 376N,  620W,  71,  970, XX,  50, NEQ,  108,  110,   89,   87,     ,     ,  46,
AL, 13, 2025102918, 03, FNV3,  42, 376N,  620W,  71,  970, XX,  64, NEQ,   29,   41,   23,   23,     ,     ,  46,
AL, 13, 2025102918, 03, FNV3,  48, 407N,  589W,  66,  969, XX,  34, NEQ,  257,  277,  225,  209,     ,     ,  58,
AL, 13, 2025102918, 03, FNV3,  48, 407N,  589W,  66,  969, XX,  50, NEQ,  117,  124,   98,   94,     ,     ,  58,
AL, 13, 2025102918, 03, FNV3,  48, 407N,  589W,  66,  969, XX,  64, NEQ,   15,   36,   13,   13,     ,     ,  58,
