# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025103112, 03, FNV3,   0, 375N,  621W,  76,  973, XX,  34, NEQ,  180,  240,  200,   90,     ,     ,  60,
AL, 13, 2025103112, 03, FNV3,   0, 375N,  621W,  76,  973, XX,  50, NEQ,   90,  140,   90,   30,     ,     ,  60,
AL, 13, 2025103112, 03, FNV3,   0, 375N,  621W,  76,  973, XX,  64, NEQ,   40,   90,   60,     ,     ,     ,  60,
AL, 13, 2025103112, 03, FNV3,   6, 403N,  590W,  65,  972, XX,  34, NEQ,  237,  257,  208,  193,     ,     ,  56,
AL, 13, 2025103112, 03, FNV3,   6, 403N,  590W,  65,  972, XX,  50, NEQ,  110,  116,   91,   88,     ,     ,  56,
AL, 13, 2025103112, 03, FNV3,   6, 403N,  590W,  65,  972, XX,  64, NEQ,   12,   30,   10,    9,     ,     ,  56,
AL, 13, 2025103112, 03, FNV3,  12, 435N,  556W,  64,  968, XX,  34, NEQ,  235,  260,  213,  195,     ,     ,  67,
AL, 13, 2025103112, 03, FNV3,  12, 435N,  556W,  64,  968, XX,  50, NEQ,   99,  110,   83,   79,     ,     ,  67,
AL, 13, 2025103112, 03, FNV3,  12, 435N,  556W,  64,  968, XX,  64, NEQ,    7,   30,    6,    5,     ,     ,  67,
AL, 13, 2025103112, 03, FNV3,  18, 468N,  521W,  62,  965, XX,  34, NEQ,  235,  263,  217,  195,     ,     ,  69,
AL, 13, 2025103112, 03, FNV3,  18, 468N,  521W,  62,  965, XX,  50, NEQ,   91,  106,   78,   72,     ,     ,  69,
AL, 13, 2025103112, 03, FNV3,  18, 468N,  521W,  62,  965, XX,  64, NEQ,    8,   20,    8,    6,     ,     ,  69,
AL, 13, 2025103112, 03, FNV3,  24, 498N,  485W,  58,  964, XX,  34, NEQ,  232,  253,  212,  195,     ,     ,  82,
AL, 13, 2025103112, 03, FNV3,  24, 498N,  485W,  58,  964, XX,  50, NEQ,   78,   99,   64,   60,     ,     ,  82,
AL, 13, 2025103112, 03, FNV3,  24, 498N,  485W,  58,  964, XX,  64, NEQ,    3,   13,    2,    2,     ,     ,  82,
