# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 98, 2025110100, 03, FNV3,   0,  94N, 1389E,  19, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  55,
WP, 98, 2025110100, 03, FNV3,   6,  98N, 1378E,  29, 1004, XX,  34, NEQ,    5,    3,    2,    3,     ,     ,  34,
WP, 98, 2025110100, 03, FNV3,  12, 103N, 1369E,  34, 1002, XX,  34, NEQ,   20,   15,   13,   17,     ,     ,  33,
WP, 98, 2025110100, 03, FNV3,  18, 106N, 1359E,  38, 1000, XX,  34, NEQ,   36,   29,   23,   33,     ,     ,  32,
WP, 98, 2025110100, 03, FNV3,  18, 106N, 1359E,  38, 1000, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  32,
WP, 98, 2025110100, 03, FNV3,  24, 110N, 1348E,  44,  997, XX,  34, NEQ,   53,   44,   37,   47,     ,     ,  27,
WP, 98, 2025110100, 03, FNV3,  24, 110N, 1348E,  44,  997, XX,  50, NEQ,    6,    5,    4,    5,     ,     ,  27,
WP, 98, 2025110100, 03, FNV3,  30, 113N, 1337E,  45,  995, XX,  34, NEQ,   48,   37,   34,   42,     ,     ,  24,
WP, 98, 2025110100, 03, FNV3,  30, 113N, 1337E,  45,  995, XX,  50, NEQ,    7,    5,    4,    6,     ,     ,  24,
WP, 98, 2025110100, 03, FNV3,  30, 113N, 1337E,  45,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  24,
WP, 98, 2025110100, 03, FNV3,  36, 114N, 1324E,  50,  992, XX,  34, NEQ,   66,   53,   48,   63,     ,     ,  22,
WP, 98, 2025110100, 03, FNV3,  36, 114N, 1324E,  50,  992, XX,  50, NEQ,   12,   10,    8,   10,     ,     ,  22,
WP, 98, 2025110100, 03, FNV3,  36, 114N, 1324E,  50,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
WP, 98, 2025110100, 03, FNV3,  42, 113N, 1309E,  60,  985, XX,  34, NEQ,   77,   63,   59,   75,     ,     ,  17,
WP, 98, 2025110100, 03, FNV3,  42, 113N, 1309E,  60,  985, XX,  50, NEQ,   29,   24,   20,   25,     ,     ,  17,
WP, 98, 2025110100, 03, FNV3,  42, 113N, 1309E,  60,  985, XX,  64, NEQ,    8,    6,    5,    6,     ,     ,  17,
WP, 98, 2025110100, 03, FNV3,  48, 111N, 1294E,  74,  976, XX,  34, NEQ,   95,   77,   74,   92,     ,     ,  17,
WP, 98, 2025110100, 03, FNV3,  48, 111N, 1294E,  74,  976, XX,  50, NEQ,   45,   37,   32,   39,     ,     ,  17,
WP, 98, 2025110100, 03, FNV3,  48, 111N, 1294E,  74,  976, XX,  64, NEQ,   18,   15,   13,   16,     ,     ,  17,
WP, 98, 2025110100, 03, FNV3,  54, 110N, 1280E,  94,  960, XX,  34, NEQ,   98,   84,   83,   95,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3,  54, 110N, 1280E,  94,  960, XX,  50, NEQ,   48,   41,   36,   42,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3,  54, 110N, 1280E,  94,  960, XX,  64, NEQ,   24,   22,   19,   22,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3,  60, 110N, 1267E, 102,  955, XX,  34, NEQ,  101,   84,   87,  101,     ,     ,  14,
WP, 98, 2025110100, 03, FNV3,  60, 110N, 1267E, 102,  955, XX,  50, NEQ,   51,   42,   38,   47,     ,     ,  14,
WP, 98, 2025110100, 03, FNV3,  60, 110N, 1267E, 102,  955, XX,  64, NEQ,   28,   24,   21,   25,     ,     ,  14,
WP, 98, 2025110100, 03, FNV3,  66, 111N, 1252E,  97,  959, XX,  34, NEQ,  107,   90,   87,  104,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3,  66, 111N, 1252E,  97,  959, XX,  50, NEQ,   56,   48,   41,   50,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3,  66, 111N, 1252E,  97,  959, XX,  64, NEQ,   28,   23,   20,   24,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3,  72, 113N, 1237E,  88,  966, XX,  34, NEQ,  100,   81,   80,   97,     ,     ,  11,
WP, 98, 2025110100, 03, FNV3,  72, 113N, 1237E,  88,  966, XX,  50, NEQ,   54,   45,   39,   49,     ,     ,  11,
WP, 98, 2025110100, 03, FNV3,  72, 113N, 1237E,  88,  966, XX,  64, NEQ,   26,   22,   19,   23,     ,     ,  11,
WP, 98, 2025110100, 03, FNV3,  78, 114N, 1223E,  80,  971, XX,  34, NEQ,  109,   93,   87,  102,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  78, 114N, 1223E,  80,  971, XX,  50, NEQ,   55,   46,   39,   48,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  78, 114N, 1223E,  80,  971, XX,  64, NEQ,   25,   22,   18,   22,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  84, 117N, 1211E,  76,  974, XX,  34, NEQ,  103,   84,   81,   99,     ,     ,  15,
