# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 31, 2025110200, 03, FNV3,   0, 108N, 1351E,  45, 1000, XX,  34, NEQ,   45,   40,   30,   45,     ,     ,  30,
WP, 31, 2025110200, 03, FNV3,   6, 112N, 1335E,  61,  987, XX,  34, NEQ,   69,   57,   51,   64,     ,     ,  12,
WP, 31, 2025110200, 03, FNV3,   6, 112N, 1335E,  61,  987, XX,  50, NEQ,   27,   19,   15,   19,     ,     ,  12,
WP, 31, 2025110200, 03, FNV3,   6, 112N, 1335E,  61,  987, XX,  64, NEQ,    3,    1,    1,    2,     ,     ,  12,
WP, 31, 2025110200, 03, FNV3,  12, 111N, 1320E,  69,  981, XX,  34, NEQ,   81,   66,   66,   81,     ,     ,  14,
WP, 31, 2025110200, 03, FNV3,  12, 111N, 1320E,  69,  981, XX,  50, NEQ,   36,   30,   25,   32,     ,     ,  14,
WP, 31, 2025110200, 03, FNV3,  12, 111N, 1320E,  69,  981, XX,  64, NEQ,   12,   10,    8,   11,     ,     ,  14,
WP, 31, 2025110200, 03, FNV3,  18, 109N, 1304E,  85,  970, XX,  34, NEQ,   90,   72,   72,   90,     ,     ,   9,
WP, 31, 2025110200, 03, FNV3,  18, 109N, 1304E,  85,  970, XX,  50, NEQ,   50,   42,   36,   45,     ,     ,   9,
WP, 31, 2025110200, 03, FNV3,  18, 109N, 1304E,  85,  970, XX,  64, NEQ,   24,   21,   18,   21,     ,     ,   9,
WP, 31, 2025110200, 03, FNV3,  24, 105N, 1289E,  98,  958, XX,  34, NEQ,   96,   78,   80,   98,     ,     ,  11,
WP, 31, 2025110200, 03, FNV3,  24, 105N, 1289E,  98,  958, XX,  50, NEQ,   54,   45,   41,   49,     ,     ,  11,
WP, 31, 2025110200, 03, FNV3,  24, 105N, 1289E,  98,  958, XX,  64, NEQ,   29,   25,   22,   26,     ,     ,  11,
WP, 31, 2025110200, 03, FNV3,  30, 104N, 1276E, 115,  944, XX,  34, NEQ,  102,   88,   92,  106,     ,     ,   9,
WP, 31, 2025110200, 03, FNV3,  30, 104N, 1276E, 115,  944, XX,  50, NEQ,   58,   51,   46,   55,     ,     ,   9,
WP, 31, 2025110200, 03, FNV3,  30, 104N, 1276E, 115,  944, XX,  64, NEQ,   34,   30,   26,   31,     ,     ,   9,
WP, 31, 2025110200, 03, FNV3,  36, 103N, 1263E, 118,  943, XX,  34, NEQ,  108,   91,   95,  112,     ,     ,  13,
WP, 31, 2025110200, 03, FNV3,  36, 103N, 1263E, 118,  943, XX,  50, NEQ,   63,   54,   49,   59,     ,     ,  13,
WP, 31, 2025110200, 03, FNV3,  36, 103N, 1263E, 118,  943, XX,  64, NEQ,   37,   33,   28,   34,     ,     ,  13,
WP, 31, 2025110200, 03, FNV3,  42, 105N, 1249E, 104,  954, XX,  34, NEQ,  101,   83,   85,  102,     ,     ,  10,
WP, 31, 2025110200, 03, FNV3,  42, 105N, 1249E, 104,  954, XX,  50, NEQ,   58,   49,   44,   54,     ,     ,  10,
WP, 31, 2025110200, 03, FNV3,  42, 105N, 1249E, 104,  954, XX,  64, NEQ,   33,   29,   25,   30,     ,     ,  10,
WP, 31, 2025110200, 03, FNV3,  48, 106N, 1235E,  85,  968, XX,  34, NEQ,  100,   81,   81,   97,     ,     ,  15,
WP, 31, 2025110200, 03, FNV3,  48, 106N, 1235E,  85,  968, XX,  50, NEQ,   54,   45,   39,   49,     ,     ,  15,
WP, 31, 2025110200, 03, FNV3,  48, 106N, 1235E,  85,  968, XX,  64, NEQ,   25,   21,   18,   21,     ,     ,  15,
WP, 31, 2025110200, 03, FNV3,  54, 108N, 1223E,  70,  979, XX,  34, NEQ,  100,   84,   78,   92,     ,     ,  15,
WP, 31, 2025110200, 03, FNV3,  54, 108N, 1223E,  70,  979, XX,  50, NEQ,   46,   40,   34,   41,     ,     ,  15,
WP, 31, 2025110200, 03, FNV3,  54, 108N, 1223E,  70,  979, XX,  64, NEQ,   17,   14,   12,   14,     ,     ,  15,
WP, 31, 2025110200, 03, FNV3,  60, 111N, 1211E,  70,  979, XX,  34, NEQ,   99,   82,   79,   94,     ,     ,  18,
WP, 31, 2025110200, 03, FNV3,  60, 111N, 1211E,  70,  979, XX,  50, NEQ,   47,   40,   33,   40,     ,     ,  18,
WP, 31, 2025110200, 03, FNV3,  60, 111N, 1211E,  70,  979, XX,  64, NEQ,   15,   12,   11,   13,     ,     ,  18,
WP, 31, 2025110200, 03, FNV3,  66, 114N, 1199E,  72,  979, XX,  34, NEQ,  102,   86,   81,   96,     ,     ,  16,
WP, 31, 2025110200, 03, FNV3,  66, 114N, 1199E,  72,  979, XX,  50, NEQ,   46,   40,   34,   40,     ,     ,  16,
WP, 31, 2025110200, 03, FNV3,  66, 114N, 1199E,  72,  979, XX,  64, NEQ,   18,   15,   12,   15,     ,     ,  16,
WP, 31, 2025110200, 03, FNV3,  72, 117N, 1186E,  77,  975, XX,  34, NEQ,  101,   82,   79,   97,     ,     ,  15,
