# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 31, 2025110318, 03, FNV3,   0, 111N, 1244E,  80,  987, XX,  34, NEQ,  110,   80,   90,   95,     ,     ,  10,
WP, 31, 2025110318, 03, FNV3,   6, 107N, 1233E,  69,  981, XX,  34, NEQ,   89,   72,   65,   81,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,   6, 107N, 1233E,  69,  981, XX,  50, NEQ,   42,   34,   28,   36,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,   6, 107N, 1233E,  69,  981, XX,  64, NEQ,   13,    8,    7,    9,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  12, 109N, 1222E,  59,  987, XX,  34, NEQ,   99,   84,   76,   88,     ,     ,  16,
WP, 31, 2025110318, 03, FNV3,  12, 109N, 1222E,  59,  987, XX,  50, NEQ,   33,   27,   23,   28,     ,     ,  16,
WP, 31, 2025110318, 03, FNV3,  12, 109N, 1222E,  59,  987, XX,  64, NEQ,    6,    5,    4,    6,     ,     ,  16,
WP, 31, 2025110318, 03, FNV3,  18, 112N, 1211E,  59,  988, XX,  34, NEQ,   89,   74,   68,   82,     ,     ,  22,
WP, 31, 2025110318, 03, FNV3,  18, 112N, 1211E,  59,  988, XX,  50, NEQ,   28,   21,   17,   23,     ,     ,  22,
WP, 31, 2025110318, 03, FNV3,  18, 112N, 1211E,  59,  988, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  22,
WP, 31, 2025110318, 03, FNV3,  24, 115N, 1198E,  65,  984, XX,  34, NEQ,   92,   78,   74,   88,     ,     ,  15,
WP, 31, 2025110318, 03, FNV3,  24, 115N, 1198E,  65,  984, XX,  50, NEQ,   39,   32,   27,   33,     ,     ,  15,
WP, 31, 2025110318, 03, FNV3,  24, 115N, 1198E,  65,  984, XX,  64, NEQ,    9,    6,    5,    7,     ,     ,  15,
WP, 31, 2025110318, 03, FNV3,  30, 118N, 1185E,  70,  980, XX,  34, NEQ,   90,   73,   69,   85,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  30, 118N, 1185E,  70,  980, XX,  50, NEQ,   44,   37,   30,   37,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  30, 118N, 1185E,  70,  980, XX,  64, NEQ,   16,   13,   11,   13,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  36, 120N, 1172E,  74,  976, XX,  34, NEQ,  100,   84,   77,   92,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  36, 120N, 1172E,  74,  976, XX,  50, NEQ,   48,   41,   33,   40,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  36, 120N, 1172E,  74,  976, XX,  64, NEQ,   18,   15,   12,   15,     ,     ,  14,
WP, 31, 2025110318, 03, FNV3,  42, 124N, 1157E,  80,  973, XX,  34, NEQ,  112,   90,   82,  103,     ,     ,  15,
WP, 31, 2025110318, 03, FNV3,  42, 124N, 1157E,  80,  973, XX,  50, NEQ,   55,   46,   37,   48,     ,     ,  15,
WP, 31, 2025110318, 03, FNV3,  42, 124N, 1157E,  80,  973, XX,  64, NEQ,   25,   19,   16,   20,     ,     ,  15,
WP, 31, 2025110318, 03, FNV3,  48, 126N, 1141E,  91,  963, XX,  34, NEQ,  122,  102,   94,  114,     ,     ,  12,
WP, 31, 2025110318, 03, FNV3,  48, 126N, 1141E,  91,  963, XX,  50, NEQ,   65,   55,   46,   57,     ,     ,  12,
WP, 31, 2025110318, 03, FNV3,  48, 126N, 1141E,  91,  963, XX,  64, NEQ,   33,   28,   23,   28,     ,     ,  12,
WP, 31, 2025110318, 03, FNV3,  54, 128N, 1125E,  97,  959, XX,  34, NEQ,  138,  115,  104,  132,     ,     ,  13,
WP, 31, 2025110318, 03, FNV3,  54, 128N, 1125E,  97,  959, XX,  50, NEQ,   74,   62,   52,   65,     ,     ,  13,
WP, 31, 2025110318, 03, FNV3,  54, 128N, 1125E,  97,  959, XX,  64, NEQ,   38,   32,   27,   32,     ,     ,  13,
WP, 31, 2025110318, 03, FNV3,  60, 131N, 1111E,  95,  960, XX,  34, NEQ,  135,  113,  109,  131,     ,     ,  17,
WP, 31, 2025110318, 03, FNV3,  60, 131N, 1111E,  95,  960, XX,  50, NEQ,   76,   66,   57,   69,     ,     ,  17,
WP, 31, 2025110318, 03, FNV3,  60, 131N, 1111E,  95,  960, XX,  64, NEQ,   38,   34,   29,   34,     ,     ,  17,
WP, 31, 2025110318, 03, FNV3,  66, 136N, 1097E,  84,  969, XX,  34, NEQ,  129,  107,  102,  123,     ,     ,  19,
WP, 31, 2025110318, 03, FNV3,  66, 136N, 1097E,  84,  969, XX,  50, NEQ,   70,   60,   52,   63,     ,     ,  19,
WP, 31, 2025110318, 03, FNV3,  66, 136N, 1097E,  84,  969, XX,  64, NEQ,   34,   30,   25,   30,     ,     ,  19,
WP, 31, 2025110318, 03, FNV3,  72, 142N, 1082E,  63,  982, XX,  34, NEQ,   93,   83,   72,   82,     ,     ,  23,
WP, 31, 2025110318, 03, FNV3,  72, 142N, 1082E,  63,  982, XX,  50, NEQ,   38,   32,   28,   31,     ,     ,  23,
WP, 31, 2025110318, 03, FNV3,  72, 142N, 1082E,  63,  982, XX,  64, NEQ,   13,   12,    9,   10,     ,     ,  23,
WP, 31, 2025110318, 03, FNV3,  78, 148N, 1068E,  42,  994, XX,  34, NEQ,   70,   64,   54,   60,     ,     ,  30,
WP, 31, 2025110318, 03, FNV3,  78, 148N, 1068E,  42,  994, XX,  50, NEQ,   15,   13,   11,   12,     ,     ,  30,
WP, 31, 2025110318, 03, FNV3,  84, 154N, 1056E,  29, 1001, XX,  34, NEQ,   14,   11,   10,   10,     ,     ,  34,
WP, 31, 2025110318, 03, FNV3,  90, 160N, 1046E,  21, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
WP, 31, 2025110318, 03, FNV3,  96, 166N, 1035E,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
WP, 31, 2025110318, 03, FNV3, 102, 170N, 1024E,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  53,
WP, 90, 2025110318, 03, FNV3,   0,  92N, 1450E,  19, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  90,
WP, 90, 2025110318, 03, FNV3,   6,  93N, 1441E,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  59,
WP, 90, 2025110318, 03, FNV3,  12,  94N, 1432E,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  65,
WP, 90, 2025110318, 03, FNV3,  18,  90N, 1435E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  55,
WP, 90, 2025110318, 03, FNV3,  24,  86N, 1439E,  21, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  53,
WP, 90, 2025110318, 03, FNV3,  30,  86N, 1438E,  25, 1002, XX,  34, NEQ,    3,    3,    2,    3,     ,     ,  55,
WP, 90, 2025110318, 03, FNV3,  36,  87N, 1433E,  26, 1001, XX,  34, NEQ,    2,    1,    0,    0,     ,     ,  56,
WP, 90, 2025110318, 03, FNV3,  42,  89N, 1429E,  30,  999, XX,  34, NEQ,   14,    4,    3,    4,     ,     ,  54,
WP, 90, 2025110318, 03, FNV3,  48,  94N, 1423E,  31,  998, XX,  34, NEQ,   13,    6,    5,    5,     ,     ,  52,
WP, 90, 2025110318, 03, FNV3,  54,  99N, 1418E,  36,  996, XX,  34, NEQ,   33,   22,   15,   20,     ,     ,  50,
WP, 90, 2025110318, 03, FNV3,  54,  99N, 1418E,  36,  996, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  50,
WP, 90, 2025110318, 03, FNV3,  60, 105N, 1410E,  43,  992, XX,  34, NEQ,   69,   57,   46,   53,     ,     ,  40,
WP, 90, 2025110318, 03, FNV3,  60, 105N, 1410E,  43,  992, XX,  50, NEQ,    5,    5,    4,    4,     ,     ,  40,
WP, 90, 2025110318, 03, FNV3,  60, 105N, 1410E,  43,  992, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  40,
WP, 90, 2025110318, 03, FNV3,  66, 111N, 1402E,  49,  990, XX,  34, NEQ,   85,   72,   59,   75,     ,     ,  39,
WP, 90, 2025110318, 03, FNV3,  66, 111N, 1402E,  49,  990, XX,  50, NEQ,   21,   17,   13,   16,     ,     ,  39,
WP, 90, 2025110318, 03, FNV3,  66, 111N, 1402E,  49,  990, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  39,
WP, 90, 2025110318, 03, FNV3,  72, 115N, 1393E,  59,  984, XX,  34, NEQ,  113,   95,   80,   99,     ,     ,  29,
WP, 90, 2025110318, 03, FNV3,  72, 115N, 1393E,  59,  984, XX,  50, NEQ,   41,   31,   24,   30,     ,     ,  29,
WP, 90, 2025110318, 03, FNV3,  72, 115N, 1393E,  59,  984, XX,  64, NEQ,    9,    6,    5,    7,     ,     ,  29,
WP, 90, 2025110318, 03, FNV3,  78, 117N, 1382E,  70,  977, XX,  34, NEQ,  141,  117,  101,  127,     ,     ,  22,
WP, 90, 2025110318, 03, FNV3,  78, 117N, 1382E,  70,  977, XX,  50, NEQ,   68,   59,   49,   58,     ,     ,  22,
WP, 90, 2025110318, 03, FNV3,  78, 117N, 1382E,  70,  977, XX,  64, NEQ,   22,   19,   16,   19,     ,     ,  22,
WP, 90, 2025110318, 03, FNV3,  84, 121N, 1371E,  89,  962, XX,  34, NEQ,  150,  123,  106,  137,     ,     ,  18,
WP, 90, 2025110318, 03, FNV3,  84, 121N, 1371E,  89,  962, XX,  50, NEQ,   76,   65,   54,   67,     ,     ,  18,
WP, 90, 2025110318, 03, FNV3,  84, 121N, 1371E,  89,  962, XX,  64, NEQ,   35,   30,   25,   30,     ,     ,  18,
