# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 31, 2025110418, 03, FNV3,   0, 109N, 1199E,  70,  980, XX,  34, NEQ,  105,   80,  100,  100,     ,     ,  15,
WP, 31, 2025110418, 03, FNV3,   6, 114N, 1190E,  86,  969, XX,  34, NEQ,   88,   75,   72,   84,     ,     ,  11,
WP, 31, 2025110418, 03, FNV3,   6, 114N, 1190E,  86,  969, XX,  50, NEQ,   43,   36,   30,   37,     ,     ,  11,
WP, 31, 2025110418, 03, FNV3,   6, 114N, 1190E,  86,  969, XX,  64, NEQ,   21,   17,   14,   18,     ,     ,  11,
WP, 31, 2025110418, 03, FNV3,  12, 119N, 1177E,  93,  963, XX,  34, NEQ,  103,   87,   81,   95,     ,     ,   8,
WP, 31, 2025110418, 03, FNV3,  12, 119N, 1177E,  93,  963, XX,  50, NEQ,   54,   47,   40,   48,     ,     ,   8,
WP, 31, 2025110418, 03, FNV3,  12, 119N, 1177E,  93,  963, XX,  64, NEQ,   29,   26,   21,   26,     ,     ,   8,
WP, 31, 2025110418, 03, FNV3,  18, 123N, 1162E, 103,  955, XX,  34, NEQ,  113,   93,   87,  106,     ,     ,  11,
WP, 31, 2025110418, 03, FNV3,  18, 123N, 1162E, 103,  955, XX,  50, NEQ,   58,   49,   41,   52,     ,     ,  11,
WP, 31, 2025110418, 03, FNV3,  18, 123N, 1162E, 103,  955, XX,  64, NEQ,   31,   27,   22,   27,     ,     ,  11,
WP, 31, 2025110418, 03, FNV3,  24, 128N, 1145E, 117,  943, XX,  34, NEQ,  126,  106,   97,  118,     ,     ,   7,
WP, 31, 2025110418, 03, FNV3,  24, 128N, 1145E, 117,  943, XX,  50, NEQ,   67,   57,   48,   60,     ,     ,   7,
WP, 31, 2025110418, 03, FNV3,  24, 128N, 1145E, 117,  943, XX,  64, NEQ,   37,   32,   27,   33,     ,     ,   7,
WP, 31, 2025110418, 03, FNV3,  30, 130N, 1128E, 122,  937, XX,  34, NEQ,  135,  112,  105,  130,     ,     ,   9,
WP, 31, 2025110418, 03, FNV3,  30, 130N, 1128E, 122,  937, XX,  50, NEQ,   73,   62,   54,   66,     ,     ,   9,
WP, 31, 2025110418, 03, FNV3,  30, 130N, 1128E, 122,  937, XX,  64, NEQ,   40,   36,   30,   36,     ,     ,   9,
WP, 31, 2025110418, 03, FNV3,  36, 134N, 1113E, 108,  950, XX,  34, NEQ,  138,  116,  110,  134,     ,     ,  13,
WP, 31, 2025110418, 03, FNV3,  36, 134N, 1113E, 108,  950, XX,  50, NEQ,   79,   68,   59,   72,     ,     ,  13,
WP, 31, 2025110418, 03, FNV3,  36, 134N, 1113E, 108,  950, XX,  64, NEQ,   42,   37,   32,   38,     ,     ,  13,
WP, 31, 2025110418, 03, FNV3,  42, 139N, 1099E,  94,  961, XX,  34, NEQ,  127,  107,  106,  125,     ,     ,  17,
WP, 31, 2025110418, 03, FNV3,  42, 139N, 1099E,  94,  961, XX,  50, NEQ,   75,   64,   56,   68,     ,     ,  17,
WP, 31, 2025110418, 03, FNV3,  42, 139N, 1099E,  94,  961, XX,  64, NEQ,   38,   33,   28,   34,     ,     ,  17,
WP, 31, 2025110418, 03, FNV3,  48, 147N, 1084E,  69,  977, XX,  34, NEQ,  109,   98,   85,   94,     ,     ,  21,
WP, 31, 2025110418, 03, FNV3,  48, 147N, 1084E,  69,  977, XX,  50, NEQ,   47,   42,   35,   40,     ,     ,  21,
WP, 31, 2025110418, 03, FNV3,  48, 147N, 1084E,  69,  977, XX,  64, NEQ,   18,   15,   13,   15,     ,     ,  21,
WP, 31, 2025110418, 03, FNV3,  54, 153N, 1070E,  45,  994, XX,  34, NEQ,   66,   59,   49,   55,     ,     ,  28,
WP, 31, 2025110418, 03, FNV3,  54, 153N, 1070E,  45,  994, XX,  50, NEQ,   15,   13,   10,   12,     ,     ,  28,
