# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 32, 2025111012, 03, FNV3,   0, 185N, 1185E,  70,  969, XX,  34, NEQ,  215,  240,  240,  260,     ,     ,  15,
WP, 32, 2025111012, 03, FNV3,   6, 186N, 1184E,  77,  970, XX,  34, NEQ,  186,  171,  156,  168,     ,     ,  24,
WP, 32, 2025111012, 03, FNV3,   6, 186N, 1184E,  77,  970, XX,  50, NEQ,  103,   98,   84,   91,     ,     ,  24,
WP, 32, 2025111012, 03, FNV3,   6, 186N, 1184E,  77,  970, XX,  64, NEQ,   44,   39,   33,   36,     ,     ,  24,
WP, 32, 2025111012, 03, FNV3,  12, 193N, 1183E,  74,  974, XX,  34, NEQ,  190,  175,  158,  171,     ,     ,  25,
WP, 32, 2025111012, 03, FNV3,  12, 193N, 1183E,  74,  974, XX,  50, NEQ,  106,  100,   86,   93,     ,     ,  25,
WP, 32, 2025111012, 03, FNV3,  12, 193N, 1183E,  74,  974, XX,  64, NEQ,   43,   39,   34,   36,     ,     ,  25,
WP, 32, 2025111012, 03, FNV3,  18, 200N, 1183E,  69,  977, XX,  34, NEQ,  170,  161,  143,  151,     ,     ,  24,
WP, 32, 2025111012, 03, FNV3,  18, 200N, 1183E,  69,  977, XX,  50, NEQ,   93,   89,   74,   80,     ,     ,  24,
WP, 32, 2025111012, 03, FNV3,  18, 200N, 1183E,  69,  977, XX,  64, NEQ,   31,   29,   25,   26,     ,     ,  24,
WP, 32, 2025111012, 03, FNV3,  24, 206N, 1185E,  61,  983, XX,  34, NEQ,  191,  187,  161,  167,     ,     ,  34,
WP, 32, 2025111012, 03, FNV3,  24, 206N, 1185E,  61,  983, XX,  50, NEQ,   86,   83,   67,   70,     ,     ,  34,
WP, 32, 2025111012, 03, FNV3,  24, 206N, 1185E,  61,  983, XX,  64, NEQ,   11,    8,    8,    7,     ,     ,  34,
WP, 32, 2025111012, 03, FNV3,  30, 211N, 1187E,  54,  987, XX,  34, NEQ,  162,  154,  129,  140,     ,     ,  37,
WP, 32, 2025111012, 03, FNV3,  30, 211N, 1187E,  54,  987, XX,  50, NEQ,   51,   44,   36,   38,     ,     ,  37,
WP, 32, 2025111012, 03, FNV3,  30, 211N, 1187E,  54,  987, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  37,
WP, 32, 2025111012, 03, FNV3,  36, 215N, 1190E,  47,  993, XX,  34, NEQ,  133,  130,  107,  114,     ,     ,  41,
WP, 32, 2025111012, 03, FNV3,  36, 215N, 1190E,  47,  993, XX,  50, NEQ,   13,   11,    9,   11,     ,     ,  41,
WP, 32, 2025111012, 03, FNV3,  36, 215N, 1190E,  47,  993, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  41,
WP, 32, 2025111012, 03, FNV3,  42, 219N, 1195E,  42,  996, XX,  34, NEQ,  109,  104,   84,   89,     ,     ,  43,
WP, 32, 2025111012, 03, FNV3,  42, 219N, 1195E,  42,  996, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  43,
WP, 32, 2025111012, 03, FNV3,  42, 219N, 1195E,  42,  996, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  43,
WP, 32, 2025111012, 03, FNV3,  48, 226N, 1204E,  36,  999, XX,  34, NEQ,   46,   48,   35,   39,     ,     ,  38,
WP, 32, 2025111012, 03, FNV3,  54, 237N, 1215E,  32, 1001, XX,  34, NEQ,   20,   19,   15,   17,     ,     ,  39,
WP, 32, 2025111012, 03, FNV3,  60, 248N, 1229E,  29, 1002, XX,  34, NEQ,   21,   20,   18,   17,     ,     ,  47,
WP, 32, 2025111012, 03, FNV3,  66, 252N, 1244E,  31, 1002, XX,  34, NEQ,   23,   20,   15,   18,     ,     ,  49,
WP, 32, 2025111012, 03, FNV3,  72, 254N, 1261E,  30, 1003, XX,  34, NEQ,   25,   19,   15,   17,     ,     ,  50,
WP, 32, 2025111012, 03, FNV3,  78, 253N, 1275E,  27, 1004, XX,  34, NEQ,   16,   13,   11,   11,     ,     ,  53,
