# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025111906, 03, FNV3,   0,  97S, 1326E,  54,  987, XX,  34, NEQ,   45,   30,   30,   45,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,   6,  95S, 1328E,  59,  987, XX,  34, NEQ,   61,   55,   54,   58,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,   6,  95S, 1328E,  59,  987, XX,  50, NEQ,   19,   15,   13,   14,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,   6,  95S, 1328E,  59,  987, XX,  64, NEQ,    4,    2,    1,    2,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  12,  96S, 1330E,  62,  984, XX,  34, NEQ,   65,   61,   58,   60,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  12,  96S, 1330E,  62,  984, XX,  50, NEQ,   24,   23,   19,   20,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  12,  96S, 1330E,  62,  984, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  18,  98S, 1332E,  63,  984, XX,  34, NEQ,   69,   67,   62,   63,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  18,  98S, 1332E,  63,  984, XX,  50, NEQ,   28,   23,   20,   21,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  18,  98S, 1332E,  63,  984, XX,  64, NEQ,    7,    6,    5,    5,     ,     ,  17,
IO, 05, 2025111906, 03, FNV3,  24, 100S, 1333E,  66,  981, XX,  34, NEQ,   60,   61,   59,   52,     ,     ,  12,
IO, 05, 2025111906, 03, FNV3,  24, 100S, 1333E,  66,  981, XX,  50, NEQ,   27,   25,   22,   21,     ,     ,  12,
IO, 05, 2025111906, 03, FNV3,  24, 100S, 1333E,  66,  981, XX,  64, NEQ,    8,    8,    7,    7,     ,     ,  12,
IO, 05, 2025111906, 03, FNV3,  30, 102S, 1332E,  63,  984, XX,  34, NEQ,   58,   61,   59,   53,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  30, 102S, 1332E,  63,  984, XX,  50, NEQ,   22,   23,   21,   19,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  30, 102S, 1332E,  63,  984, XX,  64, NEQ,    7,    7,    6,    5,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  36, 105S, 1331E,  62,  985, XX,  34, NEQ,   53,   59,   55,   46,     ,     ,  18,
IO, 05, 2025111906, 03, FNV3,  36, 105S, 1331E,  62,  985, XX,  50, NEQ,   18,   19,   15,   14,     ,     ,  18,
IO, 05, 2025111906, 03, FNV3,  36, 105S, 1331E,  62,  985, XX,  64, NEQ,    5,    6,    5,    4,     ,     ,  18,
IO, 05, 2025111906, 03, FNV3,  42, 109S, 1329E,  68,  980, XX,  34, NEQ,   54,   62,   56,   47,     ,     ,  14,
IO, 05, 2025111906, 03, FNV3,  42, 109S, 1329E,  68,  980, XX,  50, NEQ,   18,   18,   16,   15,     ,     ,  14,
IO, 05, 2025111906, 03, FNV3,  42, 109S, 1329E,  68,  980, XX,  64, NEQ,    7,    6,    6,    5,     ,     ,  14,
IO, 05, 2025111906, 03, FNV3,  48, 113S, 1327E,  69,  980, XX,  34, NEQ,   54,   66,   60,   46,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  48, 113S, 1327E,  69,  980, XX,  50, NEQ,   21,   23,   20,   16,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  48, 113S, 1327E,  69,  980, XX,  64, NEQ,    8,    7,    7,    6,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  54, 117S, 1325E,  68,  980, XX,  34, NEQ,   45,   54,   47,   38,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  54, 117S, 1325E,  68,  980, XX,  50, NEQ,   16,   17,   15,   12,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  54, 117S, 1325E,  68,  980, XX,  64, NEQ,    5,    5,    5,    4,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  60, 121S, 1322E,  66,  981, XX,  34, NEQ,   48,   59,   52,   40,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  60, 121S, 1322E,  66,  981, XX,  50, NEQ,   18,   21,   19,   15,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  60, 121S, 1322E,  66,  981, XX,  64, NEQ,    7,    7,    6,    5,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  66, 124S, 1318E,  61,  984, XX,  34, NEQ,   43,   52,   43,   36,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  66, 124S, 1318E,  61,  984, XX,  50, NEQ,   14,   16,   13,   11,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  66, 124S, 1318E,  61,  984, XX,  64, NEQ,    5,    5,    4,    4,     ,     ,  15,
IO, 05, 2025111906, 03, FNV3,  72, 127S, 1314E,  56,  987, XX,  34, NEQ,   39,   48,   41,   31,     ,     ,  16,
IO, 05, 2025111906, 03, FNV3,  72, 127S, 1314E,  56,  987, XX,  50, NEQ,   11,   14,   11,   10,     ,     ,  16,
IO, 05, 2025111906, 03, FNV3,  72, 127S, 1314E,  56,  987, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  16,
IO, 05, 2025111906, 03, FNV3,  78, 129S, 1310E,  48,  992, XX,  34, NEQ,   28,   33,   27,   22,     ,     ,  22,
IO, 05, 2025111906, 03, FNV3,  78, 129S, 1310E,  48,  992, XX,  50, NEQ,    6,    7,    6,    5,     ,     ,  22,
IO, 05, 2025111906, 03, FNV3,  78, 129S, 1310E,  48,  992, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  22,
IO, 05, 2025111906, 03, FNV3,  84, 132S, 1306E,  46,  993, XX,  34, NEQ,   27,   32,   27,   21,     ,     ,  24,
IO, 05, 2025111906, 03, FNV3,  84, 132S, 1306E,  46,  993, XX,  50, NEQ,    7,    8,    7,    6,     ,     ,  24,
IO, 05, 2025111906, 03, FNV3,  84, 132S, 1306E,  46,  993, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  24,
IO, 05, 2025111906, 03, FNV3,  90, 133S, 1301E,  43,  994, XX,  34, NEQ,   21,   25,   22,   18,     ,     ,  23,
IO, 05, 2025111906, 03, FNV3,  90, 133S, 1301E,  43,  994, XX,  50, NEQ,    5,    5,    6,    4,     ,     ,  23,
IO, 05, 2025111906, 03, FNV3,  90, 133S, 1301E,  43,  994, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  23,
IO, 05, 2025111906, 03, FNV3,  96, 136S, 1296E,  39,  996, XX,  34, NEQ,   22,   27,   23,   17,     ,     ,  28,
