# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025112100, 03, FNV3,   0, 103S, 1325E,  64,  980, XX,  34, NEQ,   60,   50,   50,   70,     ,     ,  15,
IO, 05, 2025112100, 03, FNV3,   6, 107S, 1323E,  73,  978, XX,  34, NEQ,   48,   53,   52,   43,     ,     ,   7,
IO, 05, 2025112100, 03, FNV3,   6, 107S, 1323E,  73,  978, XX,  50, NEQ,   20,   21,   19,   17,     ,     ,   7,
IO, 05, 2025112100, 03, FNV3,   6, 107S, 1323E,  73,  978, XX,  64, NEQ,    8,    9,    8,    7,     ,     ,   7,
IO, 05, 2025112100, 03, FNV3,  12, 110S, 1320E,  76,  976, XX,  34, NEQ,   44,   53,   54,   41,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  12, 110S, 1320E,  76,  976, XX,  50, NEQ,   19,   19,   18,   15,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  12, 110S, 1320E,  76,  976, XX,  64, NEQ,    9,    8,    7,    6,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  18, 113S, 1318E,  77,  975, XX,  34, NEQ,   54,   67,   65,   48,     ,     ,  12,
IO, 05, 2025112100, 03, FNV3,  18, 113S, 1318E,  77,  975, XX,  50, NEQ,   24,   27,   25,   20,     ,     ,  12,
IO, 05, 2025112100, 03, FNV3,  18, 113S, 1318E,  77,  975, XX,  64, NEQ,   12,   12,   12,   10,     ,     ,  12,
IO, 05, 2025112100, 03, FNV3,  24, 116S, 1315E,  81,  973, XX,  34, NEQ,   44,   57,   57,   42,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  24, 116S, 1315E,  81,  973, XX,  50, NEQ,   21,   23,   22,   18,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  24, 116S, 1315E,  81,  973, XX,  64, NEQ,   12,   12,   10,   10,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  30, 120S, 1310E,  80,  972, XX,  34, NEQ,   46,   60,   54,   37,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  30, 120S, 1310E,  80,  972, XX,  50, NEQ,   17,   21,   19,   14,     ,     ,  11,
IO, 05, 2025112100, 03, FNV3,  30, 120S, 1310E,  80,  972, XX,  64, NEQ,   10,   11,    9,    8,     ,     ,  11,
