# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 04, 2025112618, 03, FNV3,   0,  36N,  999E,  29, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  25,
IO, 96, 2025112618, 03, FNV3,   0,  62N,  814E,  29, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  50,
IO, 96, 2025112618, 03, FNV3,   6,  65N,  816E,  32, 1002, XX,  34, NEQ,    7,    4,    5,    6,     ,     ,  42,
IO, 96, 2025112618, 03, FNV3,  12,  67N,  816E,  32, 1002, XX,  34, NEQ,   18,   13,   11,   11,     ,     ,  46,
IO, 96, 2025112618, 03, FNV3,  18,  70N,  814E,  35, 1000, XX,  34, NEQ,   19,   17,   13,   16,     ,     ,  39,
IO, 96, 2025112618, 03, FNV3,  18,  70N,  814E,  35, 1000, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  39,
IO, 96, 2025112618, 03, FNV3,  24,  72N,  812E,  37,  999, XX,  34, NEQ,   33,   30,   27,   27,     ,     ,  42,
IO, 96, 2025112618, 03, FNV3,  24,  72N,  812E,  37,  999, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  42,
IO, 96, 2025112618, 03, FNV3,  30,  73N,  812E,  39,  998, XX,  34, NEQ,   53,   52,   41,   45,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3,  30,  73N,  812E,  39,  998, XX,  50, NEQ,    2,    4,    2,    2,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3,  36,  76N,  810E,  36, 1000, XX,  34, NEQ,   39,   34,   27,   30,     ,     ,  40,
IO, 96, 2025112618, 03, FNV3,  36,  76N,  810E,  36, 1000, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  40,
IO, 96, 2025112618, 03, FNV3,  42,  79N,  810E,  39,  998, XX,  34, NEQ,   53,   49,   38,   43,     ,     ,  39,
IO, 96, 2025112618, 03, FNV3,  42,  79N,  810E,  39,  998, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  39,
IO, 96, 2025112618, 03, FNV3,  48,  82N,  809E,  39,  999, XX,  34, NEQ,   55,   48,   38,   44,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3,  48,  82N,  809E,  39,  999, XX,  50, NEQ,    2,    1,    2,    1,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3,  54,  87N,  809E,  38,  999, XX,  34, NEQ,   37,   30,   23,   29,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3,  54,  87N,  809E,  38,  999, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  38,
IO, 96, 2025112618, 03, FNV3,  60,  92N,  807E,  39,  999, XX,  34, NEQ,   43,   35,   28,   33,     ,     ,  36,
IO, 96, 2025112618, 03, FNV3,  60,  92N,  807E,  39,  999, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  36,
IO, 96, 2025112618, 03, FNV3,  66,  97N,  805E,  41,  998, XX,  34, NEQ,   40,   37,   27,   35,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  66,  97N,  805E,  41,  998, XX,  50, NEQ,    5,    4,    3,    3,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  66,  97N,  805E,  41,  998, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  72, 102N,  804E,  41,  997, XX,  34, NEQ,   45,   38,   30,   36,     ,     ,  31,
IO, 96, 2025112618, 03, FNV3,  72, 102N,  804E,  41,  997, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  31,
IO, 96, 2025112618, 03, FNV3,  72, 102N,  804E,  41,  997, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  31,
IO, 96, 2025112618, 03, FNV3,  78, 108N,  803E,  40,  998, XX,  34, NEQ,   31,   27,   21,   26,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  78, 108N,  803E,  40,  998, XX,  50, NEQ,    6,    5,    4,    4,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  78, 108N,  803E,  40,  998, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  84, 114N,  800E,  40,  998, XX,  34, NEQ,   35,   30,   23,   29,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  84, 114N,  800E,  40,  998, XX,  50, NEQ,    8,    6,    5,    6,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  84, 114N,  800E,  40,  998, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  90, 120N,  799E,  38,  998, XX,  34, NEQ,   31,   26,   20,   25,     ,     ,  28,
IO, 96, 2025112618, 03, FNV3,  90, 120N,  799E,  38,  998, XX,  50, NEQ,    9,    7,    5,    6,     ,     ,  28,
IO, 96, 2025112618, 03, FNV3,  90, 120N,  799E,  38,  998, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  28,
IO, 96, 2025112618, 03, FNV3,  96, 129N,  802E,  39,  999, XX,  34, NEQ,   31,   26,   20,   25,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  96, 129N,  802E,  39,  999, XX,  50, NEQ,    8,    7,    5,    6,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3,  96, 129N,  802E,  39,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
IO, 96, 2025112618, 03, FNV3, 102, 136N,  804E,  38,  998, XX,  34, NEQ,   27,   24,   19,   21,     ,     ,  33,
IO, 96, 2025112618, 03, FNV3, 102, 136N,  804E,  38,  998, XX,  50, NEQ,    7,    7,    5,    6,     ,     ,  33,
