# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 04, 2025112700, 03, FNV3,   0,  36N, 1004E,  25, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  25,
IO, 05, 2025112700, 03, FNV3,   0,  66N,  812E,  35, 1003, XX,  34, NEQ,  150,  130,  170,  150,     ,     ,  50,
IO, 05, 2025112700, 03, FNV3,   6,  68N,  815E,  34, 1001, XX,  34, NEQ,   23,   14,   10,   13,     ,     ,  41,
IO, 05, 2025112700, 03, FNV3,  12,  69N,  813E,  32, 1000, XX,  34, NEQ,   17,   14,   10,   11,     ,     ,  37,
IO, 05, 2025112700, 03, FNV3,  18,  71N,  812E,  32, 1001, XX,  34, NEQ,   16,   13,   11,   12,     ,     ,  36,
IO, 05, 2025112700, 03, FNV3,  24,  73N,  812E,  35, 1000, XX,  34, NEQ,   26,   18,   14,   15,     ,     ,  41,
IO, 05, 2025112700, 03, FNV3,  30,  74N,  811E,  33, 1001, XX,  34, NEQ,   17,   14,   11,   14,     ,     ,  38,
IO, 05, 2025112700, 03, FNV3,  36,  78N,  810E,  34, 1000, XX,  34, NEQ,   28,   24,   20,   23,     ,     ,  37,
IO, 05, 2025112700, 03, FNV3,  42,  82N,  809E,  36, 1000, XX,  34, NEQ,   39,   36,   27,   30,     ,     ,  41,
IO, 05, 2025112700, 03, FNV3,  48,  87N,  808E,  38,  999, XX,  34, NEQ,   38,   31,   25,   28,     ,     ,  34,
IO, 05, 2025112700, 03, FNV3,  48,  87N,  808E,  38,  999, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  34,
IO, 05, 2025112700, 03, FNV3,  54,  93N,  806E,  37, 1001, XX,  34, NEQ,   40,   32,   24,   30,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  54,  93N,  806E,  37, 1001, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  60,  98N,  804E,  39,  998, XX,  34, NEQ,   37,   32,   25,   31,     ,     ,  31,
IO, 05, 2025112700, 03, FNV3,  60,  98N,  804E,  39,  998, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  31,
IO, 05, 2025112700, 03, FNV3,  66, 104N,  801E,  39,  999, XX,  34, NEQ,   37,   26,   20,   26,     ,     ,  33,
IO, 05, 2025112700, 03, FNV3,  66, 104N,  801E,  39,  999, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  33,
IO, 05, 2025112700, 03, FNV3,  72, 109N,  800E,  38,  999, XX,  34, NEQ,   29,   25,   21,   25,     ,     ,  30,
IO, 05, 2025112700, 03, FNV3,  72, 109N,  800E,  38,  999, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  30,
IO, 05, 2025112700, 03, FNV3,  72, 109N,  800E,  38,  999, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  30,
IO, 05, 2025112700, 03, FNV3,  78, 115N,  796E,  36, 1000, XX,  34, NEQ,   25,   20,   15,   20,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  78, 115N,  796E,  36, 1000, XX,  50, NEQ,    5,    3,    2,    3,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  78, 115N,  796E,  36, 1000, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  84, 121N,  797E,  35,  999, XX,  34, NEQ,   20,   16,   13,   16,     ,     ,  33,
IO, 05, 2025112700, 03, FNV3,  84, 121N,  797E,  35,  999, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  33,
IO, 05, 2025112700, 03, FNV3,  84, 121N,  797E,  35,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  33,
IO, 05, 2025112700, 03, FNV3,  90, 127N,  797E,  33, 1002, XX,  34, NEQ,   12,   10,    7,    9,     ,     ,  32,
IO, 05, 2025112700, 03, FNV3,  90, 127N,  797E,  33, 1002, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  32,
IO, 05, 2025112700, 03, FNV3,  90, 127N,  797E,  33, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
IO, 05, 2025112700, 03, FNV3,  96, 133N,  800E,  30, 1002, XX,  34, NEQ,   15,   13,   10,   13,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  96, 133N,  800E,  30, 1002, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3,  96, 133N,  800E,  30, 1002, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  35,
IO, 05, 2025112700, 03, FNV3, 102, 138N,  802E,  30, 1004, XX,  34, NEQ,   15,   10,    7,   10,     ,     ,  38,
IO, 05, 2025112700, 03, FNV3, 102, 138N,  802E,  30, 1004, XX,  50, NEQ,    3,    3,    2,    3,     ,     ,  38,
IO, 05, 2025112700, 03, FNV3, 108, 142N,  807E,  31, 1003, XX,  34, NEQ,   16,   15,   12,   13,     ,     ,  36,
IO, 05, 2025112700, 03, FNV3, 108, 142N,  807E,  31, 1003, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  36,
IO, 05, 2025112700, 03, FNV3, 108, 142N,  807E,  31, 1003, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  36,
IO, 05, 2025112700, 03, FNV3, 114, 143N,  810E,  31, 1004, XX,  34, NEQ,   16,   15,   11,   15,     ,     ,  30,
IO, 05, 2025112700, 03, FNV3, 114, 143N,  810E,  31, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  30,
IO, 05, 2025112700, 03, FNV3, 114, 143N,  810E,  31, 1004, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  30,
IO, 05, 2025112700, 03, FNV3, 120, 143N,  813E,  26, 1004, XX,  34, NEQ,   10,    9,    7,    8,     ,     ,  31,
IO, 05, 2025112700, 03, FNV3, 120, 143N,  813E,  26, 1004, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  31,
IO, 05, 2025112700, 03, FNV3, 120, 143N,  813E,  26, 1004, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
