# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025112818, 03, FNV3,   0,  90N,  808E,  35, 1004, XX,  34, NEQ,  115,   90,   85,   95,     ,     ,  60,
IO, 05, 2025112818, 03, FNV3,   6,  88N,  807E,  31, 1002, XX,  34, NEQ,    6,    5,    3,    3,     ,     ,  43,
IO, 05, 2025112818, 03, FNV3,  12,  93N,  806E,  30, 1003, XX,  34, NEQ,    9,    6,    5,    6,     ,     ,  43,
IO, 05, 2025112818, 03, FNV3,  18,  98N,  806E,  30, 1002, XX,  34, NEQ,    6,    5,    3,    4,     ,     ,  41,
IO, 05, 2025112818, 03, FNV3,  24, 103N,  806E,  33, 1002, XX,  34, NEQ,   21,   17,   14,   15,     ,     ,  44,
IO, 05, 2025112818, 03, FNV3,  30, 108N,  806E,  32, 1001, XX,  34, NEQ,   11,    8,    5,    5,     ,     ,  43,
IO, 05, 2025112818, 03, FNV3,  36, 115N,  806E,  31, 1002, XX,  34, NEQ,   12,    9,    7,    8,     ,     ,  43,
IO, 05, 2025112818, 03, FNV3,  42, 120N,  806E,  31, 1002, XX,  34, NEQ,    7,    3,    2,    3,     ,     ,  38,
IO, 05, 2025112818, 03, FNV3,  48, 127N,  807E,  31, 1003, XX,  34, NEQ,    8,    7,    5,    6,     ,     ,  35,
IO, 05, 2025112818, 03, FNV3,  54, 133N,  808E,  32, 1002, XX,  34, NEQ,   17,   13,   11,   12,     ,     ,  35,
IO, 05, 2025112818, 03, FNV3,  60, 137N,  811E,  32, 1003, XX,  34, NEQ,   19,   17,   11,   13,     ,     ,  35,
IO, 05, 2025112818, 03, FNV3,  66, 140N,  812E,  32, 1002, XX,  34, NEQ,   12,   12,    8,    8,     ,     ,  33,
IO, 05, 2025112818, 03, FNV3,  72, 139N,  815E,  29, 1004, XX,  34, NEQ,    7,    6,    5,    6,     ,     ,  38,
IO, 05, 2025112818, 03, FNV3,  72, 139N,  815E,  29, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  38,
IO, 05, 2025112818, 03, FNV3,  78, 139N,  817E,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  33,
IO, 05, 2025112818, 03, FNV3,  84, 138N,  817E,  24, 1006, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  40,
IO, 05, 2025112818, 03, FNV3,  90, 138N,  817E,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
IO, 05, 2025112818, 03, FNV3,  96, 135N,  817E,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
IO, 05, 2025112818, 03, FNV3, 102, 135N,  814E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
IO, 05, 2025112818, 03, FNV3, 108, 135N,  813E,  22, 1007, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  35,
IO, 05, 2025112818, 03, FNV3, 114, 132N,  811E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  32,
IO, 05, 2025112818, 03, FNV3, 120, 131N,  808E,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  30,
WP, 33, 2025112818, 03, FNV3,   0, 133N, 1124E,  51,  993, XX,  34, NEQ,   55,     ,  150,  155,     ,     ,  25,
WP, 33, 2025112818, 03, FNV3,   6, 132N, 1124E,  54,  992, XX,  34, NEQ,   68,   57,   44,   58,     ,     ,  16,
WP, 33, 2025112818, 03, FNV3,   6, 132N, 1124E,  54,  992, XX,  50, NEQ,   20,   15,   11,   14,     ,     ,  16,
WP, 33, 2025112818, 03, FNV3,   6, 132N, 1124E,  54,  992, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  16,
WP, 33, 2025112818, 03, FNV3,  12, 135N, 1122E,  57,  990, XX,  34, NEQ,   74,   63,   49,   63,     ,     ,  16,
WP, 33, 2025112818, 03, FNV3,  12, 135N, 1122E,  57,  990, XX,  50, NEQ,   22,   18,   12,   16,     ,     ,  16,
WP, 33, 2025112818, 03, FNV3,  12, 135N, 1122E,  57,  990, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  16,
WP, 33, 2025112818, 03, FNV3,  18, 139N, 1122E,  61,  988, XX,  34, NEQ,   74,   67,   53,   64,     ,     ,  15,
WP, 33, 2025112818, 03, FNV3,  18, 139N, 1122E,  61,  988, XX,  50, NEQ,   29,   25,   18,   23,     ,     ,  15,
WP, 33, 2025112818, 03, FNV3,  18, 139N, 1122E,  61,  988, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  15,
WP, 33, 2025112818, 03, FNV3,  24, 141N, 1122E,  67,  983, XX,  34, NEQ,   72,   68,   57,   62,     ,     ,  15,
WP, 33, 2025112818, 03, FNV3,  24, 141N, 1122E,  67,  983, XX,  50, NEQ,   32,   29,   23,   27,     ,     ,  15,
