# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025112906, 03, FNV3,   0,  99N,  808E,  35, 1003, XX,  34, NEQ,  120,  100,   90,  110,     ,     ,  60,
IO, 05, 2025112906, 03, FNV3,   6,  99N,  808E,  29, 1001, XX,  34, NEQ,    6,    5,    5,    5,     ,     ,  42,
IO, 05, 2025112906, 03, FNV3,  12, 103N,  806E,  31, 1002, XX,  34, NEQ,    9,    6,    5,    6,     ,     ,  48,
IO, 05, 2025112906, 03, FNV3,  18, 108N,  807E,  30, 1002, XX,  34, NEQ,    5,    1,    1,    2,     ,     ,  42,
IO, 05, 2025112906, 03, FNV3,  24, 113N,  808E,  31, 1002, XX,  34, NEQ,    8,    7,    5,    6,     ,     ,  39,
IO, 05, 2025112906, 03, FNV3,  30, 119N,  808E,  31, 1002, XX,  34, NEQ,    7,    6,    3,    4,     ,     ,  36,
IO, 05, 2025112906, 03, FNV3,  36, 126N,  809E,  32, 1003, XX,  34, NEQ,   16,   12,    9,   12,     ,     ,  39,
IO, 05, 2025112906, 03, FNV3,  42, 132N,  811E,  34, 1002, XX,  34, NEQ,   21,   16,   11,   16,     ,     ,  38,
IO, 05, 2025112906, 03, FNV3,  42, 132N,  811E,  34, 1002, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  38,
IO, 05, 2025112906, 03, FNV3,  48, 137N,  813E,  35, 1002, XX,  34, NEQ,   24,   22,   16,   18,     ,     ,  41,
IO, 05, 2025112906, 03, FNV3,  48, 137N,  813E,  35, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  41,
IO, 05, 2025112906, 03, FNV3,  54, 138N,  816E,  33, 1002, XX,  34, NEQ,   17,   15,   11,   12,     ,     ,  35,
IO, 05, 2025112906, 03, FNV3,  54, 138N,  816E,  33, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  35,
IO, 05, 2025112906, 03, FNV3,  60, 139N,  819E,  29, 1004, XX,  34, NEQ,    9,    8,    6,    7,     ,     ,  37,
IO, 05, 2025112906, 03, FNV3,  60, 139N,  819E,  29, 1004, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  37,
IO, 05, 2025112906, 03, FNV3,  66, 139N,  820E,  28, 1004, XX,  34, NEQ,    6,    5,    4,    4,     ,     ,  37,
IO, 05, 2025112906, 03, FNV3,  72, 139N,  821E,  25, 1005, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  39,
IO, 05, 2025112906, 03, FNV3,  78, 137N,  821E,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
IO, 05, 2025112906, 03, FNV3,  84, 137N,  820E,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
IO, 05, 2025112906, 03, FNV3,  90, 137N,  818E,  23, 1006, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  37,
IO, 05, 2025112906, 03, FNV3,  96, 137N,  816E,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  36,
IO, 05, 2025112906, 03, FNV3, 102, 139N,  815E,  23, 1007, XX,  34, NEQ,    0,    0,    0,    1,     ,     ,  37,
IO, 05, 2025112906, 03, FNV3, 108, 136N,  812E,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
IO, 05, 2025112906, 03, FNV3, 114, 137N,  812E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
WP, 33, 2025112906, 03, FNV3,   0, 133N, 1120E,  45,  996, XX,  34, NEQ,   60,   60,  110,  140,     ,     ,  25,
WP, 33, 2025112906, 03, FNV3,   6, 136N, 1122E,  47,  996, XX,  34, NEQ,   59,   53,   41,   49,     ,     ,  22,
WP, 33, 2025112906, 03, FNV3,   6, 136N, 1122E,  47,  996, XX,  50, NEQ,    5,    5,    3,    4,     ,     ,  22,
WP, 33, 2025112906, 03, FNV3,  12, 138N, 1123E,  53,  993, XX,  34, NEQ,   61,   56,   44,   50,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  12, 138N, 1123E,  53,  993, XX,  50, NEQ,   16,   14,   10,   11,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  12, 138N, 1123E,  53,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  18, 140N, 1123E,  60,  987, XX,  34, NEQ,   60,   59,   51,   54,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  18, 140N, 1123E,  60,  987, XX,  50, NEQ,   25,   22,   17,   19,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  18, 140N, 1123E,  60,  987, XX,  64, NEQ,    4,    3,    3,    3,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  24, 142N, 1124E,  59,  988, XX,  34, NEQ,   62,   61,   52,   53,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  24, 142N, 1124E,  59,  988, XX,  50, NEQ,   25,   22,   16,   19,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  24, 142N, 1124E,  59,  988, XX,  64, NEQ,    5,    3,    3,    3,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  30, 143N, 1125E,  57,  989, XX,  34, NEQ,   57,   57,   51,   53,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  30, 143N, 1125E,  57,  989, XX,  50, NEQ,   19,   18,   14,   15,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  30, 143N, 1125E,  57,  989, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  15,
WP, 33, 2025112906, 03, FNV3,  36, 144N, 1125E,  52,  992, XX,  34, NEQ,   61,   56,   49,   55,     ,     ,  21,
WP, 33, 2025112906, 03, FNV3,  36, 144N, 1125E,  52,  992, XX,  50, NEQ,   15,   12,    9,   11,     ,     ,  21,
WP, 33, 2025112906, 03, FNV3,  36, 144N, 1125E,  52,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  21,
WP, 33, 2025112906, 03, FNV3,  42, 146N, 1124E,  45,  997, XX,  34, NEQ,   47,   43,   36,   42,     ,     ,  22,
WP, 33, 2025112906, 03, FNV3,  42, 146N, 1124E,  45,  997, XX,  50, NEQ,    7,    4,    3,    4,     ,     ,  22,
WP, 33, 2025112906, 03, FNV3,  48, 148N, 1122E,  37, 1000, XX,  34, NEQ,   40,   35,   29,   34,     ,     ,  35,
WP, 33, 2025112906, 03, FNV3,  48, 148N, 1122E,  37, 1000, XX,  50, NEQ,    2,    1,    0,    1,     ,     ,  35,
WP, 33, 2025112906, 03, FNV3,  54, 149N, 1122E,  32, 1002, XX,  34, NEQ,   17,   15,   12,   14,     ,     ,  37,
WP, 33, 2025112906, 03, FNV3,  54, 149N, 1122E,  32, 1002, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  37,
WP, 33, 2025112906, 03, FNV3,  60, 149N, 1122E,  29, 1004, XX,  34, NEQ,    7,    7,    5,    6,     ,     ,  40,
WP, 33, 2025112906, 03, FNV3,  66, 150N, 1122E,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
WP, 33, 2025112906, 03, FNV3,  72, 150N, 1123E,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
WP, 33, 2025112906, 03, FNV3,  78, 150N, 1125E,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
WP, 33, 2025112906, 03, FNV3,  84, 147N, 1124E,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
WP, 33, 2025112906, 03, FNV3,  90, 142N, 1122E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
WP, 33, 2025112906, 03, FNV3,  96, 136N, 1118E,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
WP, 33, 2025112906, 03, FNV3, 102, 128N, 1113E,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  41,
WP, 33, 2025112906, 03, FNV3, 108, 122N, 1104E,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  36,
WP, 33, 2025112906, 03, FNV3, 114, 116N, 1096E,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
WP, 34, 2025112906, 03, FNV3,   0,  48N, 1068E,  29, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  20,
