# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025123006, 03, FNV3,   0, 144S,  770E, 119,  950, XX,  34, NEQ,   35,   55,   35,   30,     ,     ,   5,
IO, 09, 2025123006, 03, FNV3,   6, 145S,  760E,  89,  969, XX,  34, NEQ,   34,   52,   56,   34,     ,     ,   8,
IO, 09, 2025123006, 03, FNV3,   6, 145S,  760E,  89,  969, XX,  50, NEQ,   22,   26,   26,   21,     ,     ,   8,
IO, 09, 2025123006, 03, FNV3,   6, 145S,  760E,  89,  969, XX,  64, NEQ,   17,   18,   16,   15,     ,     ,   8,
IO, 09, 2025123006, 03, FNV3,  12, 147S,  747E,  82,  974, XX,  34, NEQ,   42,   55,   60,   42,     ,     ,   9,
IO, 09, 2025123006, 03, FNV3,  12, 147S,  747E,  82,  974, XX,  50, NEQ,   26,   30,   29,   24,     ,     ,   9,
IO, 09, 2025123006, 03, FNV3,  12, 147S,  747E,  82,  974, XX,  64, NEQ,   17,   18,   15,   15,     ,     ,   9,
IO, 09, 2025123006, 03, FNV3,  18, 150S,  737E,  77,  978, XX,  34, NEQ,   39,   58,   59,   39,     ,     ,   7,
IO, 09, 2025123006, 03, FNV3,  18, 150S,  737E,  77,  978, XX,  50, NEQ,   23,   27,   26,   21,     ,     ,   7,
IO, 09, 2025123006, 03, FNV3,  18, 150S,  737E,  77,  978, XX,  64, NEQ,   12,   13,   11,   11,     ,     ,   7,
IO, 09, 2025123006, 03, FNV3,  24, 155S,  725E,  73,  982, XX,  34, NEQ,   44,   57,   60,   42,     ,     ,  10,
IO, 09, 2025123006, 03, FNV3,  24, 155S,  725E,  73,  982, XX,  50, NEQ,   23,   27,   24,   20,     ,     ,  10,
IO, 09, 2025123006, 03, FNV3,  24, 155S,  725E,  73,  982, XX,  64, NEQ,   11,   12,   10,    9,     ,     ,  10,
IO, 09, 2025123006, 03, FNV3,  30, 159S,  715E,  68,  983, XX,  34, NEQ,   47,   61,   57,   42,     ,     ,  10,
IO, 09, 2025123006, 03, FNV3,  30, 159S,  715E,  68,  983, XX,  50, NEQ,   21,   25,   22,   18,     ,     ,  10,
IO, 09, 2025123006, 03, FNV3,  30, 159S,  715E,  68,  983, XX,  64, NEQ,   10,   11,    9,    9,     ,     ,  10,
IO, 09, 2025123006, 03, FNV3,  36, 163S,  705E,  60,  989, XX,  34, NEQ,   44,   56,   52,   41,     ,     ,  15,
IO, 09, 2025123006, 03, FNV3,  36, 163S,  705E,  60,  989, XX,  50, NEQ,   17,   20,   18,   15,     ,     ,  15,
IO, 09, 2025123006, 03, FNV3,  36, 163S,  705E,  60,  989, XX,  64, NEQ,    7,    8,    7,    6,     ,     ,  15,
IO, 09, 2025123006, 03, FNV3,  42, 165S,  699E,  54,  991, XX,  34, NEQ,   41,   50,   48,   38,     ,     ,  17,
IO, 09, 2025123006, 03, FNV3,  42, 165S,  699E,  54,  991, XX,  50, NEQ,   11,   13,   11,    9,     ,     ,  17,
IO, 09, 2025123006, 03, FNV3,  42, 165S,  699E,  54,  991, XX,  64, NEQ,    3,    4,    4,    3,     ,     ,  17,
IO, 09, 2025123006, 03, FNV3,  48, 166S,  693E,  46,  994, XX,  34, NEQ,   42,   46,   44,   39,     ,     ,  22,
