# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 09, 2025123106, 03, FNV3,   0, 153S,  720E,  99,  958, XX,  34, NEQ,   45,   60,   55,   45,     ,     ,   5,
IO, 09, 2025123106, 03, FNV3,   6, 158S,  709E,  87,  972, XX,  34, NEQ,   46,   65,   68,   45,     ,     ,  10,
IO, 09, 2025123106, 03, FNV3,   6, 158S,  709E,  87,  972, XX,  50, NEQ,   30,   35,   33,   28,     ,     ,  10,
IO, 09, 2025123106, 03, FNV3,   6, 158S,  709E,  87,  972, XX,  64, NEQ,   20,   22,   19,   19,     ,     ,  10,
IO, 09, 2025123106, 03, FNV3,  12, 162S,  700E,  82,  976, XX,  34, NEQ,   48,   68,   71,   48,     ,     ,  12,
IO, 09, 2025123106, 03, FNV3,  12, 162S,  700E,  82,  976, XX,  50, NEQ,   30,   36,   34,   28,     ,     ,  12,
IO, 09, 2025123106, 03, FNV3,  12, 162S,  700E,  82,  976, XX,  64, NEQ,   19,   20,   18,   17,     ,     ,  12,
IO, 09, 2025123106, 03, FNV3,  18, 164S,  692E,  73,  981, XX,  34, NEQ,   45,   64,   69,   47,     ,     ,  14,
IO, 09, 2025123106, 03, FNV3,  18, 164S,  692E,  73,  981, XX,  50, NEQ,   27,   33,   31,   24,     ,     ,  14,
IO, 09, 2025123106, 03, FNV3,  18, 164S,  692E,  73,  981, XX,  64, NEQ,   13,   15,   13,   12,     ,     ,  14,
IO, 09, 2025123106, 03, FNV3,  24, 165S,  687E,  61,  987, XX,  34, NEQ,   47,   55,   59,   48,     ,     ,  15,
IO, 09, 2025123106, 03, FNV3,  24, 165S,  687E,  61,  987, XX,  50, NEQ,   18,   20,   18,   15,     ,     ,  15,
IO, 09, 2025123106, 03, FNV3,  24, 165S,  687E,  61,  987, XX,  64, NEQ,    5,    5,    5,    4,     ,     ,  15,
IO, 09, 2025123106, 03, FNV3,  30, 164S,  682E,  50,  993, XX,  34, NEQ,   48,   54,   54,   48,     ,     ,  19,
IO, 09, 2025123106, 03, FNV3,  30, 164S,  682E,  50,  993, XX,  50, NEQ,    8,    8,    8,    7,     ,     ,  19,
IO, 09, 2025123106, 03, FNV3,  30, 164S,  682E,  50,  993, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  19,
IO, 09, 2025123106, 03, FNV3,  36, 162S,  677E,  45,  995, XX,  34, NEQ,   42,   45,   45,   42,     ,     ,  21,
IO, 09, 2025123106, 03, FNV3,  36, 162S,  677E,  45,  995, XX,  50, NEQ,    5,    6,    4,    4,     ,     ,  21,
IO, 09, 2025123106, 03, FNV3,  36, 162S,  677E,  45,  995, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  21,
IO, 09, 2025123106, 03, FNV3,  42, 159S,  673E,  42,  997, XX,  34, NEQ,   34,   37,   35,   32,     ,     ,  26,
IO, 09, 2025123106, 03, FNV3,  42, 159S,  673E,  42,  997, XX,  50, NEQ,    4,    5,    4,    4,     ,     ,  26,
IO, 09, 2025123106, 03, FNV3,  48, 157S,  669E,  35, 1000, XX,  34, NEQ,   23,   23,   22,   21,     ,     ,  31,
IO, 09, 2025123106, 03, FNV3,  48, 157S,  669E,  35, 1000, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  31,
IO, 09, 2025123106, 03, FNV3,  54, 155S,  665E,  33, 1001, XX,  34, NEQ,   15,   15,   15,   15,     ,     ,  34,
IO, 09, 2025123106, 03, FNV3,  60, 152S,  659E,  33, 1001, XX,  34, NEQ,   13,   12,   12,   14,     ,     ,  32,
IO, 09, 2025123106, 03, FNV3,  66, 152S,  652E,  33, 1001, XX,  34, NEQ,   17,   18,   16,   16,     ,     ,  36,
IO, 09, 2025123106, 03, FNV3,  72, 153S,  644E,  30, 1002, XX,  34, NEQ,    8,   10,    9,    8,     ,     ,  31,
IO, 09, 2025123106, 03, FNV3,  72, 153S,  644E,  30, 1002, XX,  50, NEQ,    1,    1,    1,    0,     ,     ,  31,
IO, 09, 2025123106, 03, FNV3,  78, 153S,  635E,  31, 1002, XX,  34, NEQ,    9,   11,   10,    8,     ,     ,  37,
IO, 09, 2025123106, 03, FNV3,  78, 153S,  635E,  31, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  37,
IO, 09, 2025123106, 03, FNV3,  84, 154S,  624E,  31, 1002, XX,  34, NEQ,   11,   13,   11,   10,     ,     ,  34,
IO, 09, 2025123106, 03, FNV3,  84, 154S,  624E,  31, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  34,
IO, 09, 2025123106, 03, FNV3,  90, 156S,  613E,  32, 1001, XX,  34, NEQ,   13,   14,   11,   10,     ,     ,  32,
IO, 09, 2025123106, 03, FNV3,  96, 157S,  602E,  31, 1002, XX,  34, NEQ,   12,   13,   11,   10,     ,     ,  31,
IO, 09, 2025123106, 03, FNV3, 102, 159S,  591E,  34, 1000, XX,  34, NEQ,   13,   15,   13,   11,     ,     ,  29,
IO, 09, 2025123106, 03, FNV3, 102, 159S,  591E,  34, 1000, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  29,
IO, 09, 2025123106, 03, FNV3, 108, 161S,  580E,  35, 1000, XX,  34, NEQ,   22,   25,   21,   19,     ,     ,  34,
IO, 09, 2025123106, 03, FNV3, 108, 161S,  580E,  35, 1000, XX,  50, NEQ,    3,    3,    3,    2,     ,     ,  34,
IO, 09, 2025123106, 03, FNV3, 114, 163S,  570E,  38,  998, XX,  34, NEQ,   21,   25,   23,   19,     ,     ,  28,
IO, 09, 2025123106, 03, FNV3, 114, 163S,  570E,  38,  998, XX,  50, NEQ,    5,    6,    5,    4,     ,     ,  28,
IO, 09, 2025123106, 03, FNV3, 114, 163S,  570E,  38,  998, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  28,
IO, 09, 2025123106, 03, FNV3, 120, 165S,  559E,  38,  999, XX,  34, NEQ,   22,   26,   23,   19,     ,     ,  26,
IO, 09, 2025123106, 03, FNV3, 120, 165S,  559E,  38,  999, XX,  50, NEQ,    4,    5,    5,    3,     ,     ,  26,
IO, 09, 2025123106, 03, FNV3, 120, 165S,  559E,  38,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  26,
IO, 09, 2025123106, 03, FNV3, 126, 167S,  549E,  40,  997, XX,  34, NEQ,   22,   28,   26,   20,     ,     ,  32,
IO, 09, 2025123106, 03, FNV3, 126, 167S,  549E,  40,  997, XX,  50, NEQ,    6,    7,    7,    5,     ,     ,  32,
IO, 09, 2025123106, 03, FNV3, 126, 167S,  549E,  40,  997, XX,  64, NEQ,    4,    4,    4,    3,     ,     ,  32,
IO, 09, 2025123106, 03, FNV3, 132, 169S,  539E,  42,  997, XX,  34, NEQ,   25,   30,   30,   24,     ,     ,  30,
IO, 09, 2025123106, 03, FNV3, 132, 169S,  539E,  42,  997, XX,  50, NEQ,    9,   10,    9,    8,     ,     ,  30,
IO, 09, 2025123106, 03, FNV3, 132, 169S,  539E,  42,  997, XX,  64, NEQ,    3,    3,    2,    2,     ,     ,  30,
IO, 09, 2025123106, 03, FNV3, 138, 173S,  529E,  41,  998, XX,  34, NEQ,   27,   33,   29,   24,     ,     ,  29,
