# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072800, 03, FNV3,   0, 109N, 1478W,  35, 1005, XX,  34, NEQ,   30,    0,    0,   30,     ,     ,  20,
CP, 01, 2025072800, 03, FNV3,   6, 110N, 1487W,  40, 1002, XX,  34, NEQ,   17,   12,    8,   14,     ,     ,  33,
CP, 01, 2025072800, 03, FNV3,   6, 110N, 1487W,  40, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  33,
CP, 01, 2025072800, 03, FNV3,  12, 109N, 1495W,  45, 1000, XX,  34, NEQ,   23,   18,   12,   19,     ,     ,  29,
CP, 01, 2025072800, 03, FNV3,  12, 109N, 1495W,  45, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  29,
CP, 01, 2025072800, 03, FNV3,  12, 109N, 1495W,  45, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  29,
CP, 01, 2025072800, 03, FNV3,  18, 110N, 1505W,  50,  997, XX,  34, NEQ,   34,   26,   18,   29,     ,     ,  26,
CP, 01, 2025072800, 03, FNV3,  18, 110N, 1505W,  50,  997, XX,  50, NEQ,    7,    6,    4,    6,     ,     ,  26,
CP, 01, 2025072800, 03, FNV3,  18, 110N, 1505W,  50,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  26,
CP, 01, 2025072800, 03, FNV3,  24, 109N, 1516W,  55,  994, XX,  34, NEQ,   38,   29,   20,   32,     ,     ,  23,
CP, 01, 2025072800, 03, FNV3,  24, 109N, 1516W,  55,  994, XX,  50, NEQ,   10,    8,    6,    8,     ,     ,  23,
CP, 01, 2025072800, 03, FNV3,  24, 109N, 1516W,  55,  994, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  23,
CP, 01, 2025072800, 03, FNV3,  30, 110N, 1527W,  62,  990, XX,  34, NEQ,   43,   33,   22,   37,     ,     ,  22,
CP, 01, 2025072800, 03, FNV3,  30, 110N, 1527W,  62,  990, XX,  50, NEQ,   15,   11,    8,   12,     ,     ,  22,
CP, 01, 2025072800, 03, FNV3,  30, 110N, 1527W,  62,  990, XX,  64, NEQ,    4,    3,    3,    4,     ,     ,  22,
CP, 01, 2025072800, 03, FNV3,  36, 109N, 1540W,  72,  984, XX,  34, NEQ,   48,   36,   25,   41,     ,     ,  18,
CP, 01, 2025072800, 03, FNV3,  36, 109N, 1540W,  72,  984, XX,  50, NEQ,   20,   16,   12,   17,     ,     ,  18,
CP, 01, 2025072800, 03, FNV3,  36, 109N, 1540W,  72,  984, XX,  64, NEQ,    8,    6,    5,    7,     ,     ,  18,
CP, 01, 2025072800, 03, FNV3,  42, 109N, 1553W,  74,  982, XX,  34, NEQ,   53,   39,   28,   46,     ,     ,  19,
CP, 01, 2025072800, 03, FNV3,  42, 109N, 1553W,  74,  982, XX,  50, NEQ,   21,   16,   12,   18,     ,     ,  19,
CP, 01, 2025072800, 03, FNV3,  42, 109N, 1553W,  74,  982, XX,  64, NEQ,    8,    7,    5,    7,     ,     ,  19,
CP, 01, 2025072800, 03, FNV3,  48, 109N, 1566W,  72,  983, XX,  34, NEQ,   49,   37,   26,   43,     ,     ,  19,
CP, 01, 2025072800, 03, FNV3,  48, 109N, 1566W,  72,  983, XX,  50, NEQ,   18,   14,   10,   16,     ,     ,  19,
CP, 01, 2025072800, 03, FNV3,  48, 109N, 1566W,  72,  983, XX,  64, NEQ,    7,    5,    4,    6,     ,     ,  19,
CP, 01, 2025072800, 03, FNV3,  54, 109N, 1581W,  66,  987, XX,  34, NEQ,   55,   42,   30,   48,     ,     ,  24,
CP, 01, 2025072800, 03, FNV3,  54, 109N, 1581W,  66,  987, XX,  50, NEQ,   19,   15,   11,   16,     ,     ,  24,
CP, 01, 2025072800, 03, FNV3,  54, 109N, 1581W,  66,  987, XX,  64, NEQ,    6,    4,    3,    5,     ,     ,  24,
CP, 01, 2025072800, 03, FNV3,  60, 109N, 1599W,  59,  992, XX,  34, NEQ,   49,   36,   24,   42,     ,     ,  25,
CP, 01, 2025072800, 03, FNV3,  60, 109N, 1599W,  59,  992, XX,  50, NEQ,   15,   11,    8,   12,     ,     ,  25,
CP, 01, 2025072800, 03, FNV3,  60, 109N, 1599W,  59,  992, XX,  64, NEQ,    5,    3,    3,    4,     ,     ,  25,
CP, 01, 2025072800, 03, FNV3,  66, 110N, 1618W,  49,  997, XX,  34, NEQ,   46,   34,   23,   38,     ,     ,  31,
CP, 01, 2025072800, 03, FNV3,  66, 110N, 1618W,  49,  997, XX,  50, NEQ,   10,    7,    5,    8,     ,     ,  31,
CP, 01, 2025072800, 03, FNV3,  66, 110N, 1618W,  49,  997, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  31,
CP, 01, 2025072800, 03, FNV3,  72, 111N, 1639W,  44, 1000, XX,  34, NEQ,   28,   20,   12,   23,     ,     ,  33,
CP, 01, 2025072800, 03, FNV3,  72, 111N, 1639W,  44, 1000, XX,  50, NEQ,    5,    3,    2,    4,     ,     ,  33,
