# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2025072906, 03, FNV3,   0, 108N, 1526W,  95,  970, XX,  34, NEQ,   60,   50,   50,   60,     ,     ,  15,
CP, 01, 2025072906, 03, FNV3,   0, 108N, 1526W,  95,  970, XX,  50, NEQ,   30,   25,   25,   30,     ,     ,  15,
CP, 01, 2025072906, 03, FNV3,   0, 108N, 1526W,  95,  970, XX,  64, NEQ,   15,    0,   15,     ,     ,     ,  15,
CP, 01, 2025072906, 03, FNV3,   6, 107N, 1538W,  64,  989, XX,  34, NEQ,   41,   31,   22,   35,     ,     ,  21,
CP, 01, 2025072906, 03, FNV3,   6, 107N, 1538W,  64,  989, XX,  50, NEQ,   16,   12,    9,   13,     ,     ,  21,
CP, 01, 2025072906, 03, FNV3,   6, 107N, 1538W,  64,  989, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  21,
CP, 01, 2025072906, 03, FNV3,  12, 108N, 1548W,  68,  986, XX,  34, NEQ,   50,   37,   27,   43,     ,     ,  18,
CP, 01, 2025072906, 03, FNV3,  12, 108N, 1548W,  68,  986, XX,  50, NEQ,   20,   16,   11,   17,     ,     ,  18,
CP, 01, 2025072906, 03, FNV3,  12, 108N, 1548W,  68,  986, XX,  64, NEQ,    7,    6,    4,    6,     ,     ,  18,
CP, 01, 2025072906, 03, FNV3,  18, 107N, 1563W,  72,  984, XX,  34, NEQ,   54,   40,   27,   46,     ,     ,  19,
CP, 01, 2025072906, 03, FNV3,  18, 107N, 1563W,  72,  984, XX,  50, NEQ,   21,   16,   12,   18,     ,     ,  19,
CP, 01, 2025072906, 03, FNV3,  18, 107N, 1563W,  72,  984, XX,  64, NEQ,    7,    6,    4,    6,     ,     ,  19,
CP, 01, 2025072906, 03, FNV3,  24, 108N, 1577W,  68,  986, XX,  34, NEQ,   53,   39,   27,   45,     ,     ,  19,
CP, 01, 2025072906, 03, FNV3,  24, 108N, 1577W,  68,  986, XX,  50, NEQ,   18,   14,   10,   15,     ,     ,  19,
CP, 01, 2025072906, 03, FNV3,  24, 108N, 1577W,  68,  986, XX,  64, NEQ,    6,    4,    3,    5,     ,     ,  19,
CP, 01, 2025072906, 03, FNV3,  30, 108N, 1593W,  63,  990, XX,  34, NEQ,   53,   37,   24,   44,     ,     ,  22,
CP, 01, 2025072906, 03, FNV3,  30, 108N, 1593W,  63,  990, XX,  50, NEQ,   17,   13,    9,   14,     ,     ,  22,
CP, 01, 2025072906, 03, FNV3,  30, 108N, 1593W,  63,  990, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  22,
CP, 01, 2025072906, 03, FNV3,  36, 109N, 1612W,  52,  996, XX,  34, NEQ,   51,   39,   27,   42,     ,     ,  30,
CP, 01, 2025072906, 03, FNV3,  36, 109N, 1612W,  52,  996, XX,  50, NEQ,   11,    8,    6,    9,     ,     ,  30,
CP, 01, 2025072906, 03, FNV3,  36, 109N, 1612W,  52,  996, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  30,
CP, 01, 2025072906, 03, FNV3,  42, 111N, 1633W,  44, 1001, XX,  34, NEQ,   38,   28,   18,   30,     ,     ,  34,
CP, 01, 2025072906, 03, FNV3,  42, 111N, 1633W,  44, 1001, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  34,
CP, 01, 2025072906, 03, FNV3,  48, 114N, 1653W,  38, 1003, XX,  34, NEQ,   20,   13,    8,   15,     ,     ,  39,
CP, 01, 2025072906, 03, FNV3,  54, 115N, 1674W,  38, 1004, XX,  34, NEQ,   18,   12,    7,   13,     ,     ,  38,
CP, 01, 2025072906, 03, FNV3,  54, 115N, 1674W,  38, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  38,
