# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2025080500, 03, FNV3,   0, 366N,  660W,  41, 1002, XX,  34, NEQ,   70,   80,    0,    0,     ,     ,  50,
AL, 04, 2025080500, 03, FNV3,   6, 372N,  647W,  40, 1005, XX,  34, NEQ,   29,   26,   18,   22,     ,     ,  43,
AL, 04, 2025080500, 03, FNV3,   6, 372N,  647W,  40, 1005, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  43,
AL, 04, 2025080500, 03, FNV3,  12, 377N,  634W,  40, 1006, XX,  34, NEQ,   44,   40,   27,   34,     ,     ,  51,
AL, 04, 2025080500, 03, FNV3,  12, 377N,  634W,  40, 1006, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  51,
AL, 04, 2025080500, 03, FNV3,  18, 384N,  622W,  40, 1006, XX,  34, NEQ,   41,   37,   24,   31,     ,     ,  47,
AL, 04, 2025080500, 03, FNV3,  18, 384N,  622W,  40, 1006, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  47,
AL, 04, 2025080500, 03, FNV3,  24, 389N,  608W,  41, 1006, XX,  34, NEQ,   42,   38,   26,   32,     ,     ,  43,
AL, 04, 2025080500, 03, FNV3,  24, 389N,  608W,  41, 1006, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  43,
AL, 04, 2025080500, 03, FNV3,  30, 395N,  593W,  40, 1006, XX,  34, NEQ,   45,   42,   30,   35,     ,     ,  48,
AL, 04, 2025080500, 03, FNV3,  30, 395N,  593W,  40, 1006, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  48,
AL, 04, 2025080500, 03, FNV3,  36, 400N,  573W,  43, 1006, XX,  34, NEQ,   40,   39,   27,   32,     ,     ,  45,
AL, 04, 2025080500, 03, FNV3,  36, 400N,  573W,  43, 1006, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  45,
AL, 04, 2025080500, 03, FNV3,  42, 404N,  553W,  43, 1005, XX,  34, NEQ,   59,   56,   40,   47,     ,     ,  49,
AL, 04, 2025080500, 03, FNV3,  42, 404N,  553W,  43, 1005, XX,  50, NEQ,    5,    5,    3,    4,     ,     ,  49,
AL, 04, 2025080500, 03, FNV3,  48, 409N,  530W,  45, 1003, XX,  34, NEQ,   75,   72,   53,   61,     ,     ,  48,
AL, 04, 2025080500, 03, FNV3,  48, 409N,  530W,  45, 1003, XX,  50, NEQ,    7,    6,    4,    5,     ,     ,  48,
AL, 04, 2025080500, 03, FNV3,  54, 414N,  507W,  44, 1003, XX,  34, NEQ,   83,   81,   62,   68,     ,     ,  56,
AL, 04, 2025080500, 03, FNV3,  54, 414N,  507W,  44, 1003, XX,  50, NEQ,   10,    9,    7,    8,     ,     ,  56,
AL, 04, 2025080500, 03, FNV3,  60, 421N,  481W,  46, 1001, XX,  34, NEQ,   74,   70,   52,   60,     ,     ,  54,
AL, 04, 2025080500, 03, FNV3,  60, 421N,  481W,  46, 1001, XX,  50, NEQ,    9,    9,    6,    7,     ,     ,  54,
AL, 04, 2025080500, 03, FNV3,  66, 432N,  454W,  44, 1001, XX,  34, NEQ,   70,   67,   50,   56,     ,     ,  61,
AL, 04, 2025080500, 03, FNV3,  66, 432N,  454W,  44, 1001, XX,  50, NEQ,    7,    7,    5,    5,     ,     ,  61,
AL, 04, 2025080500, 03, FNV3,  72, 440N,  431W,  46, 1000, XX,  34, NEQ,   74,   71,   55,   60,     ,     ,  65,
AL, 04, 2025080500, 03, FNV3,  72, 440N,  431W,  46, 1000, XX,  50, NEQ,    7,    6,    5,    6,     ,     ,  65,
AL, 04, 2025080500, 03, FNV3,  78, 451N,  409W,  43,  997, XX,  34, NEQ,   39,   39,   30,   31,     ,     ,  62,
AL, 04, 2025080500, 03, FNV3,  78, 451N,  409W,  43,  997, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  62,
EP, 08, 2025080500, 03, FNV3,   0, 152N, 1212W,  45, 1001, XX,  34, NEQ,   70,   50,   50,   70,     ,     ,  50,
EP, 08, 2025080500, 03, FNV3,   6, 159N, 1223W,  51,  999, XX,  34, NEQ,   50,   39,   28,   41,     ,     ,  25,
EP, 08, 2025080500, 03, FNV3,   6, 159N, 1223W,  51,  999, XX,  50, NEQ,   10,    8,    5,    7,     ,     ,  25,
