# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081200, 03, FNV3,   0, 175N,  313W,  41, 1004, XX,  34, NEQ,   20,    0,    0,   30,     ,     ,  20,
AL, 05, 2025081200, 03, FNV3,   6, 174N,  331W,  34, 1006, XX,  34, NEQ,   12,    8,    5,    9,     ,     ,  35,
AL, 05, 2025081200, 03, FNV3,   6, 174N,  331W,  34, 1006, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  35,
AL, 05, 2025081200, 03, FNV3,  12, 172N,  352W,  36, 1005, XX,  34, NEQ,   14,    9,    6,   11,     ,     ,  35,
AL, 05, 2025081200, 03, FNV3,  12, 172N,  352W,  36, 1005, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  35,
AL, 05, 2025081200, 03, FNV3,  18, 169N,  371W,  34, 1005, XX,  34, NEQ,   13,    9,    6,   10,     ,     ,  39,
AL, 05, 2025081200, 03, FNV3,  18, 169N,  371W,  34, 1005, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  39,
AL, 05, 2025081200, 03, FNV3,  24, 166N,  389W,  35, 1005, XX,  34, NEQ,   10,    6,    4,    8,     ,     ,  42,
AL, 05, 2025081200, 03, FNV3,  30, 164N,  405W,  37, 1004, XX,  34, NEQ,   19,   13,    9,   15,     ,     ,  39,
AL, 05, 2025081200, 03, FNV3,  36, 163N,  421W,  39, 1004, XX,  34, NEQ,   24,   17,   12,   20,     ,     ,  35,
AL, 05, 2025081200, 03, FNV3,  36, 163N,  421W,  39, 1004, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  35,
AL, 05, 2025081200, 03, FNV3,  42, 163N,  437W,  42, 1002, XX,  34, NEQ,   24,   17,   11,   19,     ,     ,  33,
AL, 05, 2025081200, 03, FNV3,  42, 163N,  437W,  42, 1002, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  33,
AL, 05, 2025081200, 03, FNV3,  48, 164N,  453W,  43, 1002, XX,  34, NEQ,   29,   21,   14,   23,     ,     ,  36,
AL, 05, 2025081200, 03, FNV3,  48, 164N,  453W,  43, 1002, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  36,
AL, 05, 2025081200, 03, FNV3,  54, 165N,  468W,  45, 1001, XX,  34, NEQ,   31,   23,   15,   25,     ,     ,  32,
AL, 05, 2025081200, 03, FNV3,  54, 165N,  468W,  45, 1001, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  32,
AL, 05, 2025081200, 03, FNV3,  60, 168N,  486W,  50, 1000, XX,  34, NEQ,   35,   26,   15,   28,     ,     ,  31,
