# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081606, 03, FNV3,   0, 196N,  604W,  89,  970, XX,  34, NEQ,  110,   50,   40,  100,     ,     ,  15,
AL, 05, 2025081606, 03, FNV3,   0, 196N,  604W,  89,  970, XX,  50, NEQ,   40,   30,   20,   40,     ,     ,  15,
AL, 05, 2025081606, 03, FNV3,   0, 196N,  604W,  89,  970, XX,  64, NEQ,   10,   10,   20,     ,     ,     ,  15,
AL, 05, 2025081606, 03, FNV3,   6, 199N,  619W,  83,  977, XX,  34, NEQ,  103,   82,   55,   86,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,   6, 199N,  619W,  83,  977, XX,  50, NEQ,   47,   38,   28,   40,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,   6, 199N,  619W,  83,  977, XX,  64, NEQ,   20,   17,   13,   17,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  12, 202N,  632W,  93,  969, XX,  34, NEQ,  114,   93,   63,   95,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  12, 202N,  632W,  93,  969, XX,  50, NEQ,   53,   43,   33,   45,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  12, 202N,  632W,  93,  969, XX,  64, NEQ,   25,   21,   17,   21,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  18, 204N,  644W,  99,  963, XX,  34, NEQ,  125,  105,   75,  106,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  18, 204N,  644W,  99,  963, XX,  50, NEQ,   58,   49,   38,   50,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  18, 204N,  644W,  99,  963, XX,  64, NEQ,   29,   26,   21,   25,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  24, 208N,  655W, 101,  959, XX,  34, NEQ,  124,  104,   75,  104,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  24, 208N,  655W, 101,  959, XX,  50, NEQ,   57,   48,   37,   49,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  24, 208N,  655W, 101,  959, XX,  64, NEQ,   28,   24,   19,   24,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  30, 212N,  664W, 108,  953, XX,  34, NEQ,  127,  107,   76,  107,     ,     ,  19,
AL, 05, 2025081606, 03, FNV3,  30, 212N,  664W, 108,  953, XX,  50, NEQ,   60,   51,   39,   52,     ,     ,  19,
AL, 05, 2025081606, 03, FNV3,  30, 212N,  664W, 108,  953, XX,  64, NEQ,   30,   26,   21,   26,     ,     ,  19,
AL, 05, 2025081606, 03, FNV3,  36, 218N,  673W, 109,  951, XX,  34, NEQ,  133,  116,   83,  112,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  36, 218N,  673W, 109,  951, XX,  50, NEQ,   64,   55,   43,   55,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  36, 218N,  673W, 109,  951, XX,  64, NEQ,   33,   29,   24,   28,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  42, 224N,  680W, 113,  947, XX,  34, NEQ,  145,  130,   98,  123,     ,     ,  19,
AL, 05, 2025081606, 03, FNV3,  42, 224N,  680W, 113,  947, XX,  50, NEQ,   67,   59,   47,   58,     ,     ,  19,
AL, 05, 2025081606, 03, FNV3,  42, 224N,  680W, 113,  947, XX,  64, NEQ,   35,   32,   26,   31,     ,     ,  19,
AL, 05, 2025081606, 03, FNV3,  48, 230N,  685W, 107,  951, XX,  34, NEQ,  140,  126,   94,  118,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  48, 230N,  685W, 107,  951, XX,  50, NEQ,   68,   60,   48,   58,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  48, 230N,  685W, 107,  951, XX,  64, NEQ,   35,   31,   26,   30,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  54, 236N,  690W, 105,  952, XX,  34, NEQ,  143,  130,   97,  120,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  54, 236N,  690W, 105,  952, XX,  50, NEQ,   70,   63,   51,   60,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  54, 236N,  690W, 105,  952, XX,  64, NEQ,   36,   33,   27,   31,     ,     ,  21,
AL, 05, 2025081606, 03, FNV3,  60, 243N,  693W, 104,  953, XX,  34, NEQ,  147,  136,  100,  123,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  60, 243N,  693W, 104,  953, XX,  50, NEQ,   73,   66,   53,   62,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  60, 243N,  693W, 104,  953, XX,  64, NEQ,   37,   34,   28,   32,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  66, 250N,  696W, 105,  952, XX,  34, NEQ,  154,  144,  110,  130,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  66, 250N,  696W, 105,  952, XX,  50, NEQ,   75,   70,   57,   66,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  66, 250N,  696W, 105,  952, XX,  64, NEQ,   41,   38,   32,   35,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  72, 257N,  697W, 102,  953, XX,  34, NEQ,  157,  148,  114,  133,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  72, 257N,  697W, 102,  953, XX,  50, NEQ,   76,   70,   57,   65,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  72, 257N,  697W, 102,  953, XX,  64, NEQ,   40,   38,   31,   35,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  78, 265N,  699W, 102,  952, XX,  34, NEQ,  158,  149,  112,  132,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  78, 265N,  699W, 102,  952, XX,  50, NEQ,   80,   74,   60,   69,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  78, 265N,  699W, 102,  952, XX,  64, NEQ,   42,   39,   33,   36,     ,     ,  22,
AL, 05, 2025081606, 03, FNV3,  84, 273N,  701W, 101,  953, XX,  34, NEQ,  167,  159,  121,  141,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  84, 273N,  701W, 101,  953, XX,  50, NEQ,   86,   80,   66,   74,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  84, 273N,  701W, 101,  953, XX,  64, NEQ,   46,   43,   36,   40,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  90, 282N,  702W, 103,  949, XX,  34, NEQ,  176,  168,  129,  149,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  90, 282N,  702W, 103,  949, XX,  50, NEQ,   90,   85,   70,   78,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  90, 282N,  702W, 103,  949, XX,  64, NEQ,   49,   47,   39,   43,     ,     ,  23,
AL, 05, 2025081606, 03, FNV3,  96, 292N,  703W, 100,  951, XX,  34, NEQ,  190,  182,  142,  161,     ,     ,  28,
AL, 05, 2025081606, 03, FNV3,  96, 292N,  703W, 100,  951, XX,  50, NEQ,   90,   85,   71,   78,     ,     ,  28,
AL, 05, 2025081606, 03, FNV3,  96, 292N,  703W, 100,  951, XX,  64, NEQ,   50,   47,   40,   43,     ,     ,  28,
AL, 05, 2025081606, 03, FNV3, 102, 302N,  702W,  98,  952, XX,  34, NEQ,  185,  180,  138,  156,     ,     ,  27,
AL, 05, 2025081606, 03, FNV3, 102, 302N,  702W,  98,  952, XX,  50, NEQ,   97,   93,   78,   85,     ,     ,  27,
AL, 05, 2025081606, 03, FNV3, 102, 302N,  702W,  98,  952, XX,  64, NEQ,   53,   51,   43,   47,     ,     ,  27,
AL, 05, 2025081606, 03, FNV3, 108, 314N,  700W,  94,  953, XX,  34, NEQ,  201,  197,  153,  169,     ,     ,  29,
AL, 05, 2025081606, 03, FNV3, 108, 314N,  700W,  94,  953, XX,  50, NEQ,  106,  103,   87,   93,     ,     ,  29,
AL, 05, 2025081606, 03, FNV3, 108, 314N,  700W,  94,  953, XX,  64, NEQ,   58,   56,   47,   50,     ,     ,  29,
AL, 05, 2025081606, 03, FNV3, 114, 326N,  694W,  90,  956, XX,  34, NEQ,  206,  206,  163,  174,     ,     ,  31,
AL, 05, 2025081606, 03, FNV3, 114, 326N,  694W,  90,  956, XX,  50, NEQ,  113,  113,   96,   99,     ,     ,  31,
AL, 05, 2025081606, 03, FNV3, 114, 326N,  694W,  90,  956, XX,  64, NEQ,   63,   62,   53,   55,     ,     ,  31,
AL, 05, 2025081606, 03, FNV3, 120, 338N,  685W,  87,  957, XX,  34, NEQ,  216,  220,  177,  183,     ,     ,  34,
AL, 05, 2025081606, 03, FNV3, 120, 338N,  685W,  87,  957, XX,  50, NEQ,  113,  114,   98,  100,     ,     ,  34,
AL, 05, 2025081606, 03, FNV3, 120, 338N,  685W,  87,  957, XX,  64, NEQ,   62,   62,   52,   54,     ,     ,  34,
AL, 05, 2025081606, 03, FNV3, 126, 352N,  668W,  85,  959, XX,  34, NEQ,  223,  233,  188,  190,     ,     ,  37,
AL, 05, 2025081606, 03, FNV3, 126, 352N,  668W,  85,  959, XX,  50, NEQ,  123,  127,  109,  108,     ,     ,  37,
AL, 05, 2025081606, 03, FNV3, 126, 352N,  668W,  85,  959, XX,  64, NEQ,   63,   64,   54,   55,     ,     ,  37,
AL, 05, 2025081606, 03, FNV3, 132, 365N,  648W,  84,  959, XX,  34, NEQ,  226,  240,  196,  192,     ,     ,  38,
AL, 05, 2025081606, 03, FNV3, 132, 365N,  648W,  84,  959, XX,  50, NEQ,  123,  129,  110,  107,     ,     ,  38,
AL, 05, 2025081606, 03, FNV3, 132, 365N,  648W,  84,  959, XX,  64, NEQ,   58,   61,   52,   52,     ,     ,  38,
AL, 05, 2025081606, 03, FNV3, 138, 381N,  619W,  82,  960, XX,  34, NEQ,  245,  262,  218,  213,     ,     ,  43,
AL, 05, 2025081606, 03, FNV3, 138, 381N,  619W,  82,  960, XX,  50, NEQ,  135,  143,  124,  119,     ,     ,  43,
AL, 05, 2025081606, 03, FNV3, 138, 381N,  619W,  82,  960, XX,  64, NEQ,   64,   67,   58,   57,     ,     ,  43,
AL, 05, 2025081606, 03, FNV3, 144, 399N,  587W,  82,  958, XX,  34, NEQ,  257,  273,  229,  223,     ,     ,  47,
AL, 05, 2025081606, 03, FNV3, 144, 399N,  587W,  82,  958, XX,  50, NEQ,  138,  146,  126,  121,     ,     ,  47,
AL, 05, 2025081606, 03, FNV3, 144, 399N,  587W,  82,  958, XX,  64, NEQ,   61,   64,   55,   54,     ,     ,  47,
AL, 05, 2025081606, 03, FNV3, 150, 420N,  550W,  78,  959, XX,  34, NEQ,  255,  271,  230,  224,     ,     ,  54,
AL, 05, 2025081606, 03, FNV3, 150, 420N,  550W,  78,  959, XX,  50, NEQ,  136,  143,  123,  118,     ,     ,  54,
AL, 05, 2025081606, 03, FNV3, 150, 420N,  550W,  78,  959, XX,  64, NEQ,   51,   55,   47,   46,     ,     ,  54,
AL, 05, 2025081606, 03, FNV3, 156, 442N,  517W,  74,  959, XX,  34, NEQ,  269,  282,  242,  235,     ,     ,  64,
AL, 05, 2025081606, 03, FNV3, 156, 442N,  517W,  74,  959, XX,  50, NEQ,  140,  147,  125,  121,     ,     ,  64,
AL, 05, 2025081606, 03, FNV3, 156, 442N,  517W,  74,  959, XX,  64, NEQ,   48,   51,   44,   43,     ,     ,  64,
AL, 05, 2025081606, 03, FNV3, 162, 463N,  487W,  67,  961, XX,  34, NEQ,  268,  280,  243,  236,     ,     ,  75,
AL, 05, 2025081606, 03, FNV3, 162, 463N,  487W,  67,  961, XX,  50, NEQ,  126,  131,  111,  109,     ,     ,  75,
AL, 05, 2025081606, 03, FNV3, 162, 463N,  487W,  67,  961, XX,  64, NEQ,   33,   36,   31,   30,     ,     ,  75,
AL, 05, 2025081606, 03, FNV3, 168, 482N,  461W,  63,  961, XX,  34, NEQ,  259,  274,  240,  230,     ,     ,  87,
AL, 05, 2025081606, 03, FNV3, 168, 482N,  461W,  63,  961, XX,  50, NEQ,  104,  109,   90,   88,     ,     ,  87,
AL, 05, 2025081606, 03, FNV3, 168, 482N,  461W,  63,  961, XX,  64, NEQ,   16,   18,   15,   14,     ,     ,  87,
AL, 05, 2025081606, 03, FNV3, 174, 499N,  436W,  58,  962, XX,  34, NEQ,  267,  280,  246,  237,     ,     ,  93,
AL, 05, 2025081606, 03, FNV3, 174, 499N,  436W,  58,  962, XX,  50, NEQ,   96,  100,   83,   82,     ,     ,  93,
AL, 05, 2025081606, 03, FNV3, 174, 499N,  436W,  58,  962, XX,  64, NEQ,   14,   15,   13,   12,     ,     ,  93,
AL, 05, 2025081606, 03, FNV3, 180, 515N,  412W,  56,  963, XX,  34, NEQ,  281,  294,  257,  250,     ,     ,  96,
AL, 05, 2025081606, 03, FNV3, 180, 515N,  412W,  56,  963, XX,  50, NEQ,  103,  107,   90,   89,     ,     ,  96,
AL, 05, 2025081606, 03, FNV3, 180, 515N,  412W,  56,  963, XX,  64, NEQ,   18,   20,   17,   16,     ,     ,  96,
AL, 05, 2025081606, 03, FNV3, 186, 529N,  389W,  49,  968, XX,  34, NEQ,  233,  242,  212,  206,     ,     ,  91,
AL, 05, 2025081606, 03, FNV3, 186, 529N,  389W,  49,  968, XX,  50, NEQ,   56,   58,   48,   48,     ,     ,  91,
AL, 05, 2025081606, 03, FNV3, 186, 529N,  389W,  49,  968, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  91,
AL, 05, 2025081606, 03, FNV3, 192, 540N,  367W,  46,  971, XX,  34, NEQ,  191,  198,  173,  169,     ,     ,  97,
AL, 05, 2025081606, 03, FNV3, 192, 540N,  367W,  46,  971, XX,  50, NEQ,   39,   40,   33,   33,     ,     ,  97,
AL, 05, 2025081606, 03, FNV3, 192, 540N,  367W,  46,  971, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  97,
AL, 05, 2025081606, 03, FNV3, 198, 550N,  346W,  43,  974, XX,  34, NEQ,  146,  151,  133,  129,     ,     ,  93,
AL, 05, 2025081606, 03, FNV3, 198, 550N,  346W,  43,  974, XX,  50, NEQ,   21,   21,   18,   18,     ,     ,  93,
AL, 05, 2025081606, 03, FNV3, 204, 557N,  328W,  42,  977, XX,  34, NEQ,  119,  124,  108,  104,     ,     ,  88,
AL, 05, 2025081606, 03, FNV3, 204, 557N,  328W,  42,  977, XX,  50, NEQ,   14,   14,   12,   12,     ,     ,  88,
AL, 05, 2025081606, 03, FNV3, 210, 561N,  309W,  40,  978, XX,  34, NEQ,  131,  135,  118,  114,     ,     ,  90,
AL, 05, 2025081606, 03, FNV3, 210, 561N,  309W,  40,  978, XX,  50, NEQ,   11,   12,   10,   10,     ,     ,  90,
AL, 05, 2025081606, 03, FNV3, 216, 569N,  290W,  39,  980, XX,  34, NEQ,  104,  107,   96,   92,     ,     ,  76,
AL, 05, 2025081606, 03, FNV3, 216, 569N,  290W,  39,  980, XX,  50, NEQ,   10,   10,    9,    9,     ,     ,  76,
AL, 05, 2025081606, 03, FNV3, 222, 571N,  270W,  38,  983, XX,  34, NEQ,   91,   93,   83,   80,     ,     ,  75,
AL, 05, 2025081606, 03, FNV3, 222, 571N,  270W,  38,  983, XX,  50, NEQ,    7,    7,    6,    6,     ,     ,  75,
AL, 05, 2025081606, 03, FNV3, 228, 573N,  258W,  37,  985, XX,  34, NEQ,   55,   57,   51,   49,     ,     ,  68,
AL, 05, 2025081606, 03, FNV3, 228, 573N,  258W,  37,  985, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  68,
AL, 05, 2025081606, 03, FNV3, 234, 574N,  237W,  35,  986, XX,  34, NEQ,   54,   55,   49,   48,     ,     ,  76,
AL, 05, 2025081606, 03, FNV3, 234, 574N,  237W,  35,  986, XX,  50, NEQ,    3,    3,    3,    3,     ,     ,  76,
AL, 05, 2025081606, 03, FNV3, 240, 572N,  223W,  35,  987, XX,  34, NEQ,   55,   56,   51,   49,     ,     ,  72,
AL, 05, 2025081606, 03, FNV3, 240, 572N,  223W,  35,  987, XX,  50, NEQ,    3,    3,    3,    3,     ,     ,  72,
AL, 05, 2025081606, 03, FNV3, 246, 574N,  210W,  35,  988, XX,  34, NEQ,   57,   58,   51,   51,     ,     ,  66,
AL, 05, 2025081606, 03, FNV3, 246, 574N,  210W,  35,  988, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  66,
