# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025081806, 03, FNV3,   0, 225N,  699W, 115,  945, XX,  34, NEQ,  200,  200,  120,  170,     ,     ,  30,
AL, 05, 2025081806, 03, FNV3,   0, 225N,  699W, 115,  945, XX,  50, NEQ,  110,  110,   60,   70,     ,     ,  30,
AL, 05, 2025081806, 03, FNV3,   0, 225N,  699W, 115,  945, XX,  64, NEQ,   60,   40,   40,     ,     ,     ,  30,
AL, 05, 2025081806, 03, FNV3,   6, 229N,  705W, 114,  946, XX,  34, NEQ,  152,  133,  100,  132,     ,     ,  20,
AL, 05, 2025081806, 03, FNV3,   6, 229N,  705W, 114,  946, XX,  50, NEQ,   76,   67,   54,   67,     ,     ,  20,
AL, 05, 2025081806, 03, FNV3,   6, 229N,  705W, 114,  946, XX,  64, NEQ,   41,   37,   31,   36,     ,     ,  20,
AL, 05, 2025081806, 03, FNV3,  12, 234N,  709W, 109,  950, XX,  34, NEQ,  149,  135,  100,  127,     ,     ,  22,
AL, 05, 2025081806, 03, FNV3,  12, 234N,  709W, 109,  950, XX,  50, NEQ,   75,   66,   54,   64,     ,     ,  22,
AL, 05, 2025081806, 03, FNV3,  12, 234N,  709W, 109,  950, XX,  64, NEQ,   39,   35,   29,   34,     ,     ,  22,
AL, 05, 2025081806, 03, FNV3,  18, 241N,  712W, 105,  952, XX,  34, NEQ,  159,  146,  111,  135,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  18, 241N,  712W, 105,  952, XX,  50, NEQ,   75,   67,   55,   65,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  18, 241N,  712W, 105,  952, XX,  64, NEQ,   40,   36,   30,   35,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  24, 248N,  716W, 105,  952, XX,  34, NEQ,  157,  144,  107,  132,     ,     ,  22,
AL, 05, 2025081806, 03, FNV3,  24, 248N,  716W, 105,  952, XX,  50, NEQ,   75,   68,   54,   65,     ,     ,  22,
AL, 05, 2025081806, 03, FNV3,  24, 248N,  716W, 105,  952, XX,  64, NEQ,   40,   37,   30,   35,     ,     ,  22,
AL, 05, 2025081806, 03, FNV3,  30, 257N,  719W, 101,  954, XX,  34, NEQ,  160,  146,  106,  132,     ,     ,  25,
AL, 05, 2025081806, 03, FNV3,  30, 257N,  719W, 101,  954, XX,  50, NEQ,   80,   72,   58,   68,     ,     ,  25,
AL, 05, 2025081806, 03, FNV3,  30, 257N,  719W, 101,  954, XX,  64, NEQ,   42,   39,   32,   36,     ,     ,  25,
AL, 05, 2025081806, 03, FNV3,  36, 266N,  724W, 100,  954, XX,  34, NEQ,  166,  153,  113,  138,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  36, 266N,  724W, 100,  954, XX,  50, NEQ,   84,   77,   62,   73,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  36, 266N,  724W, 100,  954, XX,  64, NEQ,   45,   42,   34,   39,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  42, 276N,  726W, 101,  952, XX,  34, NEQ,  174,  162,  123,  146,     ,     ,  23,
AL, 05, 2025081806, 03, FNV3,  42, 276N,  726W, 101,  952, XX,  50, NEQ,   88,   81,   67,   76,     ,     ,  23,
AL, 05, 2025081806, 03, FNV3,  42, 276N,  726W, 101,  952, XX,  64, NEQ,   48,   45,   37,   42,     ,     ,  23,
AL, 05, 2025081806, 03, FNV3,  48, 286N,  729W, 102,  950, XX,  34, NEQ,  182,  171,  132,  153,     ,     ,  27,
AL, 05, 2025081806, 03, FNV3,  48, 286N,  729W, 102,  950, XX,  50, NEQ,   87,   81,   66,   75,     ,     ,  27,
AL, 05, 2025081806, 03, FNV3,  48, 286N,  729W, 102,  950, XX,  64, NEQ,   47,   44,   37,   41,     ,     ,  27,
AL, 05, 2025081806, 03, FNV3,  54, 297N,  730W, 101,  950, XX,  34, NEQ,  174,  167,  126,  144,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  54, 297N,  730W, 101,  950, XX,  50, NEQ,   89,   84,   68,   76,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  54, 297N,  730W, 101,  950, XX,  64, NEQ,   46,   44,   36,   40,     ,     ,  24,
AL, 05, 2025081806, 03, FNV3,  60, 309N,  729W,  99,  950, XX,  34, NEQ,  191,  186,  142,  159,     ,     ,  27,
AL, 05, 2025081806, 03, FNV3,  60, 309N,  729W,  99,  950, XX,  50, NEQ,   99,   96,   79,   86,     ,     ,  27,
AL, 05, 2025081806, 03, FNV3,  60, 309N,  729W,  99,  950, XX,  64, NEQ,   53,   51,   43,   46,     ,     ,  27,
AL, 05, 2025081806, 03, FNV3,  66, 321N,  724W,  95,  952, XX,  34, NEQ,  192,  192,  149,  160,     ,     ,  26,
AL, 05, 2025081806, 03, FNV3,  66, 321N,  724W,  95,  952, XX,  50, NEQ,  102,  100,   85,   88,     ,     ,  26,
AL, 05, 2025081806, 03, FNV3,  66, 321N,  724W,  95,  952, XX,  64, NEQ,   56,   55,   46,   49,     ,     ,  26,
AL, 05, 2025081806, 03, FNV3,  72, 333N,  716W,  92,  955, XX,  34, NEQ,  206,  210,  167,  173,     ,     ,  32,
AL, 05, 2025081806, 03, FNV3,  72, 333N,  716W,  92,  955, XX,  50, NEQ,  102,  102,   86,   88,     ,     ,  32,
AL, 05, 2025081806, 03, FNV3,  72, 333N,  716W,  92,  955, XX,  64, NEQ,   55,   55,   46,   48,     ,     ,  32,
AL, 05, 2025081806, 03, FNV3,  78, 345N,  702W,  90,  955, XX,  34, NEQ,  213,  221,  177,  181,     ,     ,  31,
AL, 05, 2025081806, 03, FNV3,  78, 345N,  702W,  90,  955, XX,  50, NEQ,  118,  121,  104,  104,     ,     ,  31,
AL, 05, 2025081806, 03, FNV3,  78, 345N,  702W,  90,  955, XX,  64, NEQ,   63,   64,   55,   56,     ,     ,  31,
AL, 05, 2025081806, 03, FNV3,  84, 356N,  685W,  86,  958, XX,  34, NEQ,  224,  236,  192,  192,     ,     ,  36,
AL, 05, 2025081806, 03, FNV3,  84, 356N,  685W,  86,  958, XX,  50, NEQ,  124,  129,  111,  109,     ,     ,  36,
AL, 05, 2025081806, 03, FNV3,  84, 356N,  685W,  86,  958, XX,  64, NEQ,   64,   65,   56,   56,     ,     ,  36,
AL, 05, 2025081806, 03, FNV3,  90, 366N,  662W,  84,  959, XX,  34, NEQ,  246,  260,  218,  215,     ,     ,  41,
AL, 05, 2025081806, 03, FNV3,  90, 366N,  662W,  84,  959, XX,  50, NEQ,  137,  145,  127,  122,     ,     ,  41,
AL, 05, 2025081806, 03, FNV3,  90, 366N,  662W,  84,  959, XX,  64, NEQ,   70,   72,   62,   62,     ,     ,  41,
AL, 05, 2025081806, 03, FNV3,  96, 378N,  638W,  82,  960, XX,  34, NEQ,  260,  273,  230,  227,     ,     ,  43,
AL, 05, 2025081806, 03, FNV3,  96, 378N,  638W,  82,  960, XX,  50, NEQ,  140,  147,  128,  123,     ,     ,  43,
AL, 05, 2025081806, 03, FNV3,  96, 378N,  638W,  82,  960, XX,  64, NEQ,   64,   67,   58,   57,     ,     ,  43,
AL, 05, 2025081806, 03, FNV3, 102, 391N,  608W,  82,  960, XX,  34, NEQ,  266,  281,  239,  235,     ,     ,  46,
AL, 05, 2025081806, 03, FNV3, 102, 391N,  608W,  82,  960, XX,  50, NEQ,  147,  156,  136,  131,     ,     ,  46,
