# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2025082012, 03, FNV3,   0, 296N,  737W,  89,  948, XX,  34, NEQ,  220,  230,  130,  160,     ,     ,  25,
AL, 05, 2025082012, 03, FNV3,   0, 296N,  737W,  89,  948, XX,  50, NEQ,  140,  140,   70,   90,     ,     ,  25,
AL, 05, 2025082012, 03, FNV3,   0, 296N,  737W,  89,  948, XX,  64, NEQ,   70,   40,   50,     ,     ,     ,  25,
AL, 05, 2025082012, 03, FNV3,   6, 305N,  736W, 100,  949, XX,  34, NEQ,  189,  183,  140,  160,     ,     ,  27,
AL, 05, 2025082012, 03, FNV3,   6, 305N,  736W, 100,  949, XX,  50, NEQ,   97,   92,   77,   84,     ,     ,  27,
AL, 05, 2025082012, 03, FNV3,   6, 305N,  736W, 100,  949, XX,  64, NEQ,   51,   49,   41,   45,     ,     ,  27,
AL, 05, 2025082012, 03, FNV3,  12, 319N,  733W,  98,  949, XX,  34, NEQ,  193,  191,  149,  162,     ,     ,  28,
AL, 05, 2025082012, 03, FNV3,  12, 319N,  733W,  98,  949, XX,  50, NEQ,  101,   98,   82,   87,     ,     ,  28,
AL, 05, 2025082012, 03, FNV3,  12, 319N,  733W,  98,  949, XX,  64, NEQ,   53,   52,   44,   47,     ,     ,  28,
AL, 05, 2025082012, 03, FNV3,  18, 333N,  728W,  93,  952, XX,  34, NEQ,  208,  209,  166,  175,     ,     ,  31,
AL, 05, 2025082012, 03, FNV3,  18, 333N,  728W,  93,  952, XX,  50, NEQ,  103,  103,   86,   90,     ,     ,  31,
AL, 05, 2025082012, 03, FNV3,  18, 333N,  728W,  93,  952, XX,  64, NEQ,   55,   55,   46,   48,     ,     ,  31,
AL, 05, 2025082012, 03, FNV3,  24, 346N,  717W,  90,  955, XX,  34, NEQ,  213,  219,  174,  180,     ,     ,  30,
AL, 05, 2025082012, 03, FNV3,  24, 346N,  717W,  90,  955, XX,  50, NEQ,  116,  119,  101,  102,     ,     ,  30,
AL, 05, 2025082012, 03, FNV3,  24, 346N,  717W,  90,  955, XX,  64, NEQ,   62,   62,   53,   54,     ,     ,  30,
AL, 05, 2025082012, 03, FNV3,  30, 357N,  703W,  85,  958, XX,  34, NEQ,  219,  228,  186,  187,     ,     ,  34,
AL, 05, 2025082012, 03, FNV3,  30, 357N,  703W,  85,  958, XX,  50, NEQ,  120,  124,  107,  106,     ,     ,  34,
AL, 05, 2025082012, 03, FNV3,  30, 357N,  703W,  85,  958, XX,  64, NEQ,   62,   63,   54,   55,     ,     ,  34,
AL, 05, 2025082012, 03, FNV3,  36, 367N,  683W,  83,  960, XX,  34, NEQ,  230,  243,  202,  199,     ,     ,  39,
AL, 05, 2025082012, 03, FNV3,  36, 367N,  683W,  83,  960, XX,  50, NEQ,  126,  132,  114,  111,     ,     ,  39,
AL, 05, 2025082012, 03, FNV3,  36, 367N,  683W,  83,  960, XX,  64, NEQ,   61,   63,   54,   54,     ,     ,  39,
AL, 05, 2025082012, 03, FNV3,  42, 377N,  663W,  81,  961, XX,  34, NEQ,  248,  259,  218,  216,     ,     ,  42,
AL, 05, 2025082012, 03, FNV3,  42, 377N,  663W,  81,  961, XX,  50, NEQ,  134,  140,  122,  119,     ,     ,  42,
AL, 05, 2025082012, 03, FNV3,  42, 377N,  663W,  81,  961, XX,  64, NEQ,   64,   66,   57,   57,     ,     ,  42,
AL, 05, 2025082012, 03, FNV3,  48, 387N,  639W,  79,  962, XX,  34, NEQ,  254,  268,  229,  225,     ,     ,  47,
AL, 05, 2025082012, 03, FNV3,  48, 387N,  639W,  79,  962, XX,  50, NEQ,  140,  148,  130,  125,     ,     ,  47,
AL, 05, 2025082012, 03, FNV3,  48, 387N,  639W,  79,  962, XX,  64, NEQ,   63,   66,   57,   56,     ,     ,  47,
AL, 05, 2025082012, 03, FNV3,  54, 395N,  612W,  78,  963, XX,  34, NEQ,  267,  282,  244,  237,     ,     ,  54,
AL, 05, 2025082012, 03, FNV3,  54, 395N,  612W,  78,  963, XX,  50, NEQ,  145,  153,  135,  129,     ,     ,  54,
AL, 05, 2025082012, 03, FNV3,  54, 395N,  612W,  78,  963, XX,  64, NEQ,   61,   65,   57,   56,     ,     ,  54,
