# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2025082412, 03, FNV3,   0, 304N,  602W,  35, 1010, XX,  34, NEQ,    0,   90,    0,    0,     ,     ,  80,
AL, 06, 2025082412, 03, FNV3,   6, 313N,  601W,  43, 1005, XX,  34, NEQ,   35,   29,   17,   26,     ,     ,  37,
AL, 06, 2025082412, 03, FNV3,   6, 313N,  601W,  43, 1005, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  37,
AL, 06, 2025082412, 03, FNV3,  12, 320N,  596W,  44, 1005, XX,  34, NEQ,   29,   26,   14,   20,     ,     ,  35,
AL, 06, 2025082412, 03, FNV3,  12, 320N,  596W,  44, 1005, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  35,
AL, 06, 2025082412, 03, FNV3,  18, 329N,  590W,  47, 1003, XX,  34, NEQ,   39,   36,   24,   29,     ,     ,  32,
AL, 06, 2025082412, 03, FNV3,  18, 329N,  590W,  47, 1003, XX,  50, NEQ,    4,    4,    2,    3,     ,     ,  32,
AL, 06, 2025082412, 03, FNV3,  24, 337N,  582W,  51, 1001, XX,  34, NEQ,   44,   41,   26,   33,     ,     ,  26,
AL, 06, 2025082412, 03, FNV3,  24, 337N,  582W,  51, 1001, XX,  50, NEQ,    9,    8,    5,    6,     ,     ,  26,
AL, 06, 2025082412, 03, FNV3,  24, 337N,  582W,  51, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  26,
AL, 06, 2025082412, 03, FNV3,  30, 346N,  575W,  53, 1000, XX,  34, NEQ,   42,   41,   25,   31,     ,     ,  24,
AL, 06, 2025082412, 03, FNV3,  30, 346N,  575W,  53, 1000, XX,  50, NEQ,   10,    8,    6,    7,     ,     ,  24,
