# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090100, 03, FNV3,   0, 145N, 1242W,  41, 1004, XX,  34, NEQ,   40,   30,    0,   30,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,   6, 146N, 1252W,  42, 1002, XX,  34, NEQ,   21,   15,    9,   17,     ,     ,  30,
EP, 11, 2025090100, 03, FNV3,   6, 146N, 1252W,  42, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  30,
EP, 11, 2025090100, 03, FNV3,  12, 145N, 1260W,  50,  998, XX,  34, NEQ,   27,   21,   14,   22,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  12, 145N, 1260W,  50,  998, XX,  50, NEQ,    6,    5,    3,    5,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  12, 145N, 1260W,  50,  998, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  18, 143N, 1267W,  53,  997, XX,  34, NEQ,   30,   23,   16,   25,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3,  18, 143N, 1267W,  53,  997, XX,  50, NEQ,    9,    7,    5,    7,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3,  18, 143N, 1267W,  53,  997, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3,  24, 143N, 1274W,  58,  993, XX,  34, NEQ,   33,   27,   19,   28,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,  24, 143N, 1274W,  58,  993, XX,  50, NEQ,   11,    8,    6,    8,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,  24, 143N, 1274W,  58,  993, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,  30, 142N, 1280W,  62,  991, XX,  34, NEQ,   35,   28,   21,   31,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,  30, 142N, 1280W,  62,  991, XX,  50, NEQ,   14,   11,    8,   12,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,  30, 142N, 1280W,  62,  991, XX,  64, NEQ,    4,    3,    3,    4,     ,     ,  20,
EP, 11, 2025090100, 03, FNV3,  36, 141N, 1287W,  70,  985, XX,  34, NEQ,   37,   30,   23,   32,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3,  36, 141N, 1287W,  70,  985, XX,  50, NEQ,   16,   13,   10,   14,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3,  36, 141N, 1287W,  70,  985, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3,  42, 140N, 1293W,  75,  983, XX,  34, NEQ,   40,   33,   26,   36,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  42, 140N, 1293W,  75,  983, XX,  50, NEQ,   18,   15,   12,   16,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  42, 140N, 1293W,  75,  983, XX,  64, NEQ,    8,    7,    6,    7,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  48, 140N, 1299W,  77,  981, XX,  34, NEQ,   45,   38,   31,   40,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  48, 140N, 1299W,  77,  981, XX,  50, NEQ,   20,   16,   13,   17,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  48, 140N, 1299W,  77,  981, XX,  64, NEQ,    9,    8,    7,    8,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  54, 139N, 1306W,  75,  982, XX,  34, NEQ,   45,   38,   31,   42,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  54, 139N, 1306W,  75,  982, XX,  50, NEQ,   22,   18,   15,   19,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  54, 139N, 1306W,  75,  982, XX,  64, NEQ,   10,    8,    7,    9,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  60, 138N, 1313W,  76,  981, XX,  34, NEQ,   44,   37,   30,   40,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  60, 138N, 1313W,  76,  981, XX,  50, NEQ,   21,   17,   14,   18,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  60, 138N, 1313W,  76,  981, XX,  64, NEQ,   10,    8,    7,    9,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  66, 138N, 1320W,  80,  979, XX,  34, NEQ,   49,   41,   34,   45,     ,     ,  16,
EP, 11, 2025090100, 03, FNV3,  66, 138N, 1320W,  80,  979, XX,  50, NEQ,   23,   19,   16,   21,     ,     ,  16,
EP, 11, 2025090100, 03, FNV3,  66, 138N, 1320W,  80,  979, XX,  64, NEQ,   11,   10,    8,   10,     ,     ,  16,
EP, 11, 2025090100, 03, FNV3,  72, 138N, 1326W,  75,  982, XX,  34, NEQ,   51,   43,   36,   46,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3,  72, 138N, 1326W,  75,  982, XX,  50, NEQ,   23,   19,   16,   20,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3,  72, 138N, 1326W,  75,  982, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  18,
EP, 11, 2025090100, 03, FNV3,  78, 138N, 1334W,  72,  984, XX,  34, NEQ,   48,   40,   34,   44,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  78, 138N, 1334W,  72,  984, XX,  50, NEQ,   22,   19,   16,   20,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  78, 138N, 1334W,  72,  984, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  17,
EP, 11, 2025090100, 03, FNV3,  84, 138N, 1342W,  69,  986, XX,  34, NEQ,   45,   37,   28,   39,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  84, 138N, 1342W,  69,  986, XX,  50, NEQ,   20,   17,   13,   18,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  84, 138N, 1342W,  69,  986, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  90, 138N, 1350W,  70,  985, XX,  34, NEQ,   47,   39,   31,   42,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  90, 138N, 1350W,  70,  985, XX,  50, NEQ,   21,   17,   14,   19,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  90, 138N, 1350W,  70,  985, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  19,
EP, 11, 2025090100, 03, FNV3,  96, 139N, 1359W,  66,  987, XX,  34, NEQ,   46,   38,   30,   40,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  96, 139N, 1359W,  66,  987, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3,  96, 139N, 1359W,  66,  987, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 102, 139N, 1368W,  62,  990, XX,  34, NEQ,   45,   38,   29,   40,     ,     ,  26,
EP, 11, 2025090100, 03, FNV3, 102, 139N, 1368W,  62,  990, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  26,
EP, 11, 2025090100, 03, FNV3, 102, 139N, 1368W,  62,  990, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  26,
EP, 11, 2025090100, 03, FNV3, 108, 140N, 1376W,  61,  991, XX,  34, NEQ,   44,   37,   28,   38,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 108, 140N, 1376W,  61,  991, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 108, 140N, 1376W,  61,  991, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 114, 141N, 1386W,  62,  990, XX,  34, NEQ,   45,   37,   28,   39,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 114, 141N, 1386W,  62,  990, XX,  50, NEQ,   17,   14,   11,   15,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 114, 141N, 1386W,  62,  990, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  22,
EP, 11, 2025090100, 03, FNV3, 120, 144N, 1394W,  63,  989, XX,  34, NEQ,   45,   38,   29,   39,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 120, 144N, 1394W,  63,  989, XX,  50, NEQ,   17,   14,   11,   14,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 120, 144N, 1394W,  63,  989, XX,  64, NEQ,    7,    6,    5,    6,     ,     ,  24,
EP, 11, 2025090100, 03, FNV3, 126, 147N, 1403W,  66,  987, XX,  34, NEQ,   44,   36,   27,   38,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 126, 147N, 1403W,  66,  987, XX,  50, NEQ,   19,   16,   13,   17,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 126, 147N, 1403W,  66,  987, XX,  64, NEQ,    9,    7,    6,    8,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 132, 149N, 1412W,  69,  985, XX,  34, NEQ,   46,   38,   28,   40,     ,     ,  23,
EP, 11, 2025090100, 03, FNV3, 132, 149N, 1412W,  69,  985, XX,  50, NEQ,   21,   18,   14,   19,     ,     ,  23,
