# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090212, 03, FNV3,   0, 138N, 1281W,  76,  987, XX,  34, NEQ,   50,   40,   40,   50,     ,     ,  10,
EP, 11, 2025090212, 03, FNV3,   0, 138N, 1281W,  76,  987, XX,  50, NEQ,   25,   25,   15,   25,     ,     ,  10,
EP, 11, 2025090212, 03, FNV3,   0, 138N, 1281W,  76,  987, XX,  64, NEQ,   15,    0,   15,     ,     ,     ,  10,
EP, 11, 2025090212, 03, FNV3,   6, 137N, 1284W,  80,  979, XX,  34, NEQ,   46,   39,   31,   41,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,   6, 137N, 1284W,  80,  979, XX,  50, NEQ,   21,   18,   14,   19,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,   6, 137N, 1284W,  80,  979, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  12, 138N, 1291W,  85,  975, XX,  34, NEQ,   53,   47,   37,   47,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  12, 138N, 1291W,  85,  975, XX,  50, NEQ,   23,   19,   16,   20,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  12, 138N, 1291W,  85,  975, XX,  64, NEQ,   12,   10,    9,   11,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  18, 138N, 1298W,  84,  976, XX,  34, NEQ,   52,   44,   36,   48,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3,  18, 138N, 1298W,  84,  976, XX,  50, NEQ,   25,   21,   17,   22,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3,  18, 138N, 1298W,  84,  976, XX,  64, NEQ,   13,   11,    9,   11,     ,     ,  15,
EP, 11, 2025090212, 03, FNV3,  24, 138N, 1305W,  85,  975, XX,  34, NEQ,   54,   45,   36,   48,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  24, 138N, 1305W,  85,  975, XX,  50, NEQ,   26,   21,   18,   23,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  24, 138N, 1305W,  85,  975, XX,  64, NEQ,   13,   11,   10,   12,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  30, 138N, 1313W,  85,  976, XX,  34, NEQ,   56,   46,   38,   51,     ,     ,  14,
EP, 11, 2025090212, 03, FNV3,  30, 138N, 1313W,  85,  976, XX,  50, NEQ,   27,   23,   19,   25,     ,     ,  14,
EP, 11, 2025090212, 03, FNV3,  30, 138N, 1313W,  85,  976, XX,  64, NEQ,   14,   12,   10,   13,     ,     ,  14,
EP, 11, 2025090212, 03, FNV3,  36, 138N, 1321W,  84,  976, XX,  34, NEQ,   60,   52,   43,   54,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  36, 138N, 1321W,  84,  976, XX,  50, NEQ,   27,   23,   19,   24,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  36, 138N, 1321W,  84,  976, XX,  64, NEQ,   14,   12,   10,   12,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  42, 139N, 1330W,  85,  976, XX,  34, NEQ,   61,   51,   42,   56,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  42, 139N, 1330W,  85,  976, XX,  50, NEQ,   30,   25,   21,   27,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  42, 139N, 1330W,  85,  976, XX,  64, NEQ,   16,   14,   11,   14,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  48, 140N, 1339W,  84,  977, XX,  34, NEQ,   60,   50,   40,   53,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  48, 140N, 1339W,  84,  977, XX,  50, NEQ,   29,   24,   20,   26,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  48, 140N, 1339W,  84,  977, XX,  64, NEQ,   15,   13,   10,   13,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  54, 140N, 1349W,  84,  977, XX,  34, NEQ,   59,   48,   39,   53,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  54, 140N, 1349W,  84,  977, XX,  50, NEQ,   28,   23,   19,   24,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  54, 140N, 1349W,  84,  977, XX,  64, NEQ,   14,   12,   10,   12,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  60, 142N, 1358W,  81,  978, XX,  34, NEQ,   62,   52,   41,   55,     ,     ,  20,
EP, 11, 2025090212, 03, FNV3,  60, 142N, 1358W,  81,  978, XX,  50, NEQ,   28,   23,   18,   24,     ,     ,  20,
EP, 11, 2025090212, 03, FNV3,  60, 142N, 1358W,  81,  978, XX,  64, NEQ,   13,   11,    9,   12,     ,     ,  20,
EP, 11, 2025090212, 03, FNV3,  66, 143N, 1369W,  79,  980, XX,  34, NEQ,   61,   50,   39,   54,     ,     ,  19,
EP, 11, 2025090212, 03, FNV3,  66, 143N, 1369W,  79,  980, XX,  50, NEQ,   27,   22,   18,   24,     ,     ,  19,
EP, 11, 2025090212, 03, FNV3,  66, 143N, 1369W,  79,  980, XX,  64, NEQ,   13,   11,    9,   11,     ,     ,  19,
EP, 11, 2025090212, 03, FNV3,  72, 144N, 1378W,  80,  979, XX,  34, NEQ,   61,   51,   40,   53,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  72, 144N, 1378W,  80,  979, XX,  50, NEQ,   28,   23,   18,   24,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  72, 144N, 1378W,  80,  979, XX,  64, NEQ,   13,   11,    9,   11,     ,     ,  16,
EP, 11, 2025090212, 03, FNV3,  78, 146N, 1388W,  81,  979, XX,  34, NEQ,   62,   50,   39,   55,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3,  78, 146N, 1388W,  81,  979, XX,  50, NEQ,   28,   23,   19,   25,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3,  78, 146N, 1388W,  81,  979, XX,  64, NEQ,   13,   11,    9,   12,     ,     ,  18,
EP, 11, 2025090212, 03, FNV3,  84, 149N, 1396W,  86,  974, XX,  34, NEQ,   69,   59,   46,   60,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  84, 149N, 1396W,  86,  974, XX,  50, NEQ,   30,   25,   20,   26,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  84, 149N, 1396W,  86,  974, XX,  64, NEQ,   15,   13,   11,   14,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  90, 152N, 1406W,  87,  974, XX,  34, NEQ,   65,   54,   41,   57,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  90, 152N, 1406W,  87,  974, XX,  50, NEQ,   31,   26,   21,   27,     ,     ,  17,
EP, 11, 2025090212, 03, FNV3,  90, 152N, 1406W,  87,  974, XX,  64, NEQ,   16,   14,   11,   14,     ,     ,  17,
