# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090700, 03, FNV3,   0, 163N, 1419W, 115,  948, XX,  34, NEQ,   60,   60,   50,   50,     ,     ,  10,
EP, 11, 2025090700, 03, FNV3,   0, 163N, 1419W, 115,  948, XX,  50, NEQ,   40,   30,   20,   30,     ,     ,  10,
EP, 11, 2025090700, 03, FNV3,   0, 163N, 1419W, 115,  948, XX,  64, NEQ,   20,   10,   15,     ,     ,     ,  10,
EP, 11, 2025090700, 03, FNV3,   6, 168N, 1429W,  89,  973, XX,  34, NEQ,   62,   50,   38,   55,     ,     ,  16,
EP, 11, 2025090700, 03, FNV3,   6, 168N, 1429W,  89,  973, XX,  50, NEQ,   30,   24,   20,   27,     ,     ,  16,
EP, 11, 2025090700, 03, FNV3,   6, 168N, 1429W,  89,  973, XX,  64, NEQ,   17,   14,   12,   15,     ,     ,  16,
EP, 11, 2025090700, 03, FNV3,  12, 173N, 1440W,  88,  974, XX,  34, NEQ,   64,   52,   39,   55,     ,     ,  17,
EP, 11, 2025090700, 03, FNV3,  12, 173N, 1440W,  88,  974, XX,  50, NEQ,   31,   26,   20,   28,     ,     ,  17,
EP, 11, 2025090700, 03, FNV3,  12, 173N, 1440W,  88,  974, XX,  64, NEQ,   17,   15,   12,   15,     ,     ,  17,
EP, 11, 2025090700, 03, FNV3,  18, 179N, 1450W,  85,  976, XX,  34, NEQ,   65,   52,   39,   57,     ,     ,  16,
EP, 11, 2025090700, 03, FNV3,  18, 179N, 1450W,  85,  976, XX,  50, NEQ,   33,   26,   21,   29,     ,     ,  16,
EP, 11, 2025090700, 03, FNV3,  18, 179N, 1450W,  85,  976, XX,  64, NEQ,   17,   14,   12,   15,     ,     ,  16,
EP, 11, 2025090700, 03, FNV3,  24, 186N, 1460W,  81,  979, XX,  34, NEQ,   66,   52,   38,   56,     ,     ,  17,
EP, 11, 2025090700, 03, FNV3,  24, 186N, 1460W,  81,  979, XX,  50, NEQ,   32,   26,   20,   28,     ,     ,  17,
EP, 11, 2025090700, 03, FNV3,  24, 186N, 1460W,  81,  979, XX,  64, NEQ,   16,   14,   11,   14,     ,     ,  17,
EP, 11, 2025090700, 03, FNV3,  30, 193N, 1471W,  76,  983, XX,  34, NEQ,   70,   55,   39,   60,     ,     ,  19,
