# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 95, 2025091106, 03, FNV3,   0, 144N,  983W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 95, 2025091106, 03, FNV3,   6, 150N,  988W,  37, 1003, XX,  34, NEQ,   14,   12,    8,   11,     ,     ,  38,
EP, 95, 2025091106, 03, FNV3,   6, 150N,  988W,  37, 1003, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  38,
EP, 95, 2025091106, 03, FNV3,  12, 154N,  994W,  39, 1003, XX,  34, NEQ,   21,   17,   11,   17,     ,     ,  31,
EP, 95, 2025091106, 03, FNV3,  12, 154N,  994W,  39, 1003, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  31,
EP, 95, 2025091106, 03, FNV3,  18, 159N, 1002W,  43, 1001, XX,  34, NEQ,   26,   22,   16,   21,     ,     ,  28,
EP, 95, 2025091106, 03, FNV3,  18, 159N, 1002W,  43, 1001, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  28,
EP, 95, 2025091106, 03, FNV3,  24, 163N, 1012W,  44, 1000, XX,  34, NEQ,   24,   20,   14,   20,     ,     ,  27,
EP, 95, 2025091106, 03, FNV3,  24, 163N, 1012W,  44, 1000, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  27,
EP, 95, 2025091106, 03, FNV3,  24, 163N, 1012W,  44, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  27,
EP, 95, 2025091106, 03, FNV3,  30, 165N, 1023W,  46,  999, XX,  34, NEQ,   28,   23,   16,   23,     ,     ,  26,
EP, 95, 2025091106, 03, FNV3,  30, 165N, 1023W,  46,  999, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  26,
EP, 95, 2025091106, 03, FNV3,  30, 165N, 1023W,  46,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  26,
EP, 95, 2025091106, 03, FNV3,  36, 168N, 1034W,  49,  998, XX,  34, NEQ,   30,   25,   17,   25,     ,     ,  22,
EP, 95, 2025091106, 03, FNV3,  36, 168N, 1034W,  49,  998, XX,  50, NEQ,    9,    7,    5,    7,     ,     ,  22,
EP, 95, 2025091106, 03, FNV3,  36, 168N, 1034W,  49,  998, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  22,
EP, 95, 2025091106, 03, FNV3,  42, 171N, 1046W,  51,  996, XX,  34, NEQ,   35,   30,   22,   29,     ,     ,  23,
EP, 95, 2025091106, 03, FNV3,  42, 171N, 1046W,  51,  996, XX,  50, NEQ,   10,    8,    6,    8,     ,     ,  23,
EP, 95, 2025091106, 03, FNV3,  42, 171N, 1046W,  51,  996, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  23,
EP, 95, 2025091106, 03, FNV3,  48, 173N, 1057W,  45,  999, XX,  34, NEQ,   28,   23,   16,   23,     ,     ,  29,
EP, 95, 2025091106, 03, FNV3,  48, 173N, 1057W,  45,  999, XX,  50, NEQ,    7,    6,    4,    5,     ,     ,  29,
EP, 95, 2025091106, 03, FNV3,  48, 173N, 1057W,  45,  999, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  29,
EP, 95, 2025091106, 03, FNV3,  54, 175N, 1066W,  48,  997, XX,  34, NEQ,   27,   23,   15,   21,     ,     ,  28,
EP, 95, 2025091106, 03, FNV3,  54, 175N, 1066W,  48,  997, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  28,
EP, 95, 2025091106, 03, FNV3,  54, 175N, 1066W,  48,  997, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  28,
