# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025091818, 03, FNV3,   0, 205N,  522W,  45, 1004, XX,  34, NEQ,  250,  150,    0,  120,     ,     , 150,
AL, 07, 2025091818, 03, FNV3,   6, 213N,  531W,  41, 1004, XX,  34, NEQ,   50,   41,   29,   39,     ,     ,  51,
AL, 07, 2025091818, 03, FNV3,   6, 213N,  531W,  41, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  51,
AL, 07, 2025091818, 03, FNV3,  12, 217N,  541W,  44, 1003, XX,  34, NEQ,   59,   48,   30,   45,     ,     ,  50,
AL, 07, 2025091818, 03, FNV3,  12, 217N,  541W,  44, 1003, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  50,
AL, 07, 2025091818, 03, FNV3,  18, 221N,  551W,  42, 1004, XX,  34, NEQ,   55,   45,   30,   42,     ,     ,  52,
AL, 07, 2025091818, 03, FNV3,  18, 221N,  551W,  42, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  52,
AL, 07, 2025091818, 03, FNV3,  24, 226N,  561W,  43, 1004, XX,  34, NEQ,   54,   44,   28,   40,     ,     ,  46,
AL, 07, 2025091818, 03, FNV3,  24, 226N,  561W,  43, 1004, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  46,
AL, 07, 2025091818, 03, FNV3,  30, 232N,  570W,  45, 1004, XX,  34, NEQ,   49,   40,   24,   36,     ,     ,  48,
AL, 07, 2025091818, 03, FNV3,  30, 232N,  570W,  45, 1004, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  48,
AL, 07, 2025091818, 03, FNV3,  36, 239N,  577W,  47, 1002, XX,  34, NEQ,   57,   46,   28,   42,     ,     ,  42,
AL, 07, 2025091818, 03, FNV3,  36, 239N,  577W,  47, 1002, XX,  50, NEQ,    6,    5,    3,    4,     ,     ,  42,
AL, 07, 2025091818, 03, FNV3,  42, 246N,  585W,  48, 1002, XX,  34, NEQ,   56,   45,   26,   41,     ,     ,  37,
AL, 07, 2025091818, 03, FNV3,  42, 246N,  585W,  48, 1002, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  37,
AL, 07, 2025091818, 03, FNV3,  48, 255N,  590W,  53,  999, XX,  34, NEQ,   65,   53,   31,   48,     ,     ,  35,
AL, 07, 2025091818, 03, FNV3,  48, 255N,  590W,  53,  999, XX,  50, NEQ,   11,    8,    5,    8,     ,     ,  35,
AL, 07, 2025091818, 03, FNV3,  48, 255N,  590W,  53,  999, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  35,
AL, 07, 2025091818, 03, FNV3,  54, 263N,  596W,  57,  997, XX,  34, NEQ,   63,   53,   31,   47,     ,     ,  32,
AL, 07, 2025091818, 03, FNV3,  54, 263N,  596W,  57,  997, XX,  50, NEQ,   15,   12,    8,   11,     ,     ,  32,
AL, 07, 2025091818, 03, FNV3,  54, 263N,  596W,  57,  997, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  32,
AL, 07, 2025091818, 03, FNV3,  60, 272N,  601W,  60,  994, XX,  34, NEQ,   69,   58,   34,   52,     ,     ,  28,
