# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025091912, 03, FNV3,   0, 217N,  551W,  45, 1004, XX,  34, NEQ,  130,  100,    0,   70,     ,     , 130,
AL, 07, 2025091912, 03, FNV3,   6, 225N,  560W,  47, 1002, XX,  34, NEQ,   48,   38,   21,   34,     ,     ,  43,
AL, 07, 2025091912, 03, FNV3,   6, 225N,  560W,  47, 1002, XX,  50, NEQ,    5,    4,    2,    3,     ,     ,  43,
AL, 07, 2025091912, 03, FNV3,  12, 232N,  569W,  49, 1002, XX,  34, NEQ,   65,   53,   32,   49,     ,     ,  39,
AL, 07, 2025091912, 03, FNV3,  12, 232N,  569W,  49, 1002, XX,  50, NEQ,    8,    6,    3,    5,     ,     ,  39,
AL, 07, 2025091912, 03, FNV3,  18, 238N,  577W,  50, 1001, XX,  34, NEQ,   73,   60,   38,   55,     ,     ,  41,
AL, 07, 2025091912, 03, FNV3,  18, 238N,  577W,  50, 1001, XX,  50, NEQ,    8,    6,    3,    5,     ,     ,  41,
AL, 07, 2025091912, 03, FNV3,  24, 245N,  584W,  51, 1001, XX,  34, NEQ,   64,   53,   32,   49,     ,     ,  35,
AL, 07, 2025091912, 03, FNV3,  24, 245N,  584W,  51, 1001, XX,  50, NEQ,   12,   10,    6,    9,     ,     ,  35,
AL, 07, 2025091912, 03, FNV3,  24, 245N,  584W,  51, 1001, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  35,
AL, 07, 2025091912, 03, FNV3,  30, 252N,  589W,  56,  998, XX,  34, NEQ,   64,   53,   30,   47,     ,     ,  31,
AL, 07, 2025091912, 03, FNV3,  30, 252N,  589W,  56,  998, XX,  50, NEQ,   15,   12,    7,   11,     ,     ,  31,
AL, 07, 2025091912, 03, FNV3,  30, 252N,  589W,  56,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
AL, 07, 2025091912, 03, FNV3,  36, 260N,  593W,  59,  996, XX,  34, NEQ,   69,   57,   33,   51,     ,     ,  29,
AL, 07, 2025091912, 03, FNV3,  36, 260N,  593W,  59,  996, XX,  50, NEQ,   19,   15,   10,   14,     ,     ,  29,
AL, 07, 2025091912, 03, FNV3,  36, 260N,  593W,  59,  996, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  29,
AL, 07, 2025091912, 03, FNV3,  42, 268N,  599W,  62,  993, XX,  34, NEQ,   69,   56,   33,   51,     ,     ,  26,
AL, 07, 2025091912, 03, FNV3,  42, 268N,  599W,  62,  993, XX,  50, NEQ,   20,   15,   10,   15,     ,     ,  26,
AL, 07, 2025091912, 03, FNV3,  42, 268N,  599W,  62,  993, XX,  64, NEQ,    3,    2,    2,    3,     ,     ,  26,
AL, 07, 2025091912, 03, FNV3,  48, 276N,  605W,  66,  990, XX,  34, NEQ,   72,   60,   36,   56,     ,     ,  24,
AL, 07, 2025091912, 03, FNV3,  48, 276N,  605W,  66,  990, XX,  50, NEQ,   25,   20,   14,   19,     ,     ,  24,
AL, 07, 2025091912, 03, FNV3,  48, 276N,  605W,  66,  990, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  24,
AL, 07, 2025091912, 03, FNV3,  54, 284N,  610W,  71,  987, XX,  34, NEQ,   74,   61,   36,   56,     ,     ,  21,
AL, 07, 2025091912, 03, FNV3,  54, 284N,  610W,  71,  987, XX,  50, NEQ,   29,   23,   16,   23,     ,     ,  21,
AL, 07, 2025091912, 03, FNV3,  54, 284N,  610W,  71,  987, XX,  64, NEQ,    9,    7,    5,    7,     ,     ,  21,
AL, 07, 2025091912, 03, FNV3,  60, 293N,  614W,  71,  986, XX,  34, NEQ,   77,   66,   41,   60,     ,     ,  21,
AL, 07, 2025091912, 03, FNV3,  60, 293N,  614W,  71,  986, XX,  50, NEQ,   30,   25,   18,   24,     ,     ,  21,
AL, 07, 2025091912, 03, FNV3,  60, 293N,  614W,  71,  986, XX,  64, NEQ,   10,    8,    6,    8,     ,     ,  21,
AL, 07, 2025091912, 03, FNV3,  66, 302N,  616W,  75,  983, XX,  34, NEQ,   75,   65,   41,   58,     ,     ,  22,
AL, 07, 2025091912, 03, FNV3,  66, 302N,  616W,  75,  983, XX,  50, NEQ,   27,   22,   15,   21,     ,     ,  22,
AL, 07, 2025091912, 03, FNV3,  66, 302N,  616W,  75,  983, XX,  64, NEQ,   10,    8,    6,    8,     ,     ,  22,
AL, 07, 2025091912, 03, FNV3,  72, 312N,  614W,  79,  979, XX,  34, NEQ,   74,   67,   41,   56,     ,     ,  20,
AL, 07, 2025091912, 03, FNV3,  72, 312N,  614W,  79,  979, XX,  50, NEQ,   33,   28,   20,   26,     ,     ,  20,
AL, 07, 2025091912, 03, FNV3,  72, 312N,  614W,  79,  979, XX,  64, NEQ,   13,   12,    9,   11,     ,     ,  20,
