# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025092018, 03, FNV3,   0, 252N,  587W,  54,  996, XX,  34, NEQ,  120,  110,   30,   50,     ,     ,   5,
AL, 07, 2025092018, 03, FNV3,   0, 252N,  587W,  54,  996, XX,  50, NEQ,   10,    0,    0,   10,     ,     ,   5,
AL, 07, 2025092018, 03, FNV3,   6, 258N,  598W,  49, 1002, XX,  34, NEQ,   60,   51,   31,   45,     ,     ,  44,
AL, 07, 2025092018, 03, FNV3,   6, 258N,  598W,  49, 1002, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  44,
AL, 07, 2025092018, 03, FNV3,  12, 265N,  603W,  49, 1001, XX,  34, NEQ,   67,   58,   38,   51,     ,     ,  40,
AL, 07, 2025092018, 03, FNV3,  12, 265N,  603W,  49, 1001, XX,  50, NEQ,    8,    6,    4,    6,     ,     ,  40,
AL, 07, 2025092018, 03, FNV3,  18, 272N,  610W,  51, 1000, XX,  34, NEQ,   66,   55,   34,   50,     ,     ,  37,
AL, 07, 2025092018, 03, FNV3,  18, 272N,  610W,  51, 1000, XX,  50, NEQ,   12,   10,    6,    9,     ,     ,  37,
AL, 07, 2025092018, 03, FNV3,  18, 272N,  610W,  51, 1000, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  37,
AL, 07, 2025092018, 03, FNV3,  24, 279N,  615W,  53,  999, XX,  34, NEQ,   63,   53,   31,   46,     ,     ,  35,
AL, 07, 2025092018, 03, FNV3,  24, 279N,  615W,  53,  999, XX,  50, NEQ,   11,    9,    6,    8,     ,     ,  35,
AL, 07, 2025092018, 03, FNV3,  24, 279N,  615W,  53,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  35,
AL, 07, 2025092018, 03, FNV3,  30, 287N,  621W,  54,  998, XX,  34, NEQ,   69,   60,   37,   53,     ,     ,  32,
AL, 07, 2025092018, 03, FNV3,  30, 287N,  621W,  54,  998, XX,  50, NEQ,   13,   10,    6,    9,     ,     ,  32,
AL, 07, 2025092018, 03, FNV3,  30, 287N,  621W,  54,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  32,
AL, 07, 2025092018, 03, FNV3,  36, 295N,  624W,  57,  995, XX,  34, NEQ,   70,   59,   37,   54,     ,     ,  28,
AL, 07, 2025092018, 03, FNV3,  36, 295N,  624W,  57,  995, XX,  50, NEQ,   19,   15,   10,   14,     ,     ,  28,
AL, 07, 2025092018, 03, FNV3,  36, 295N,  624W,  57,  995, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  28,
AL, 07, 2025092018, 03, FNV3,  42, 303N,  625W,  59,  994, XX,  34, NEQ,   64,   56,   33,   48,     ,     ,  28,
AL, 07, 2025092018, 03, FNV3,  42, 303N,  625W,  59,  994, XX,  50, NEQ,   18,   15,   10,   13,     ,     ,  28,
AL, 07, 2025092018, 03, FNV3,  42, 303N,  625W,  59,  994, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  28,
AL, 07, 2025092018, 03, FNV3,  48, 312N,  621W,  66,  988, XX,  34, NEQ,   67,   61,   37,   50,     ,     ,  24,
AL, 07, 2025092018, 03, FNV3,  48, 312N,  621W,  66,  988, XX,  50, NEQ,   24,   21,   15,   19,     ,     ,  24,
AL, 07, 2025092018, 03, FNV3,  48, 312N,  621W,  66,  988, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  24,
AL, 07, 2025092018, 03, FNV3,  54, 321N,  613W,  70,  986, XX,  34, NEQ,   66,   62,   39,   50,     ,     ,  24,
AL, 07, 2025092018, 03, FNV3,  54, 321N,  613W,  70,  986, XX,  50, NEQ,   26,   23,   17,   21,     ,     ,  24,
AL, 07, 2025092018, 03, FNV3,  54, 321N,  613W,  70,  986, XX,  64, NEQ,    9,    8,    6,    8,     ,     ,  24,
AL, 07, 2025092018, 03, FNV3,  60, 330N,  603W,  70,  985, XX,  34, NEQ,   72,   69,   45,   54,     ,     ,  23,
