# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025092318, 03, FNV3,   0, 343N,  574W, 115,  952, XX,  34, NEQ,  100,  120,  100,   60,     ,     ,  10,
AL, 07, 2025092318, 03, FNV3,   0, 343N,  574W, 115,  952, XX,  50, NEQ,   50,   80,   50,   40,     ,     ,  10,
AL, 07, 2025092318, 03, FNV3,   0, 343N,  574W, 115,  952, XX,  64, NEQ,   40,   30,   30,     ,     ,     ,  10,
AL, 07, 2025092318, 03, FNV3,   6, 347N,  554W,  86,  973, XX,  34, NEQ,   75,   79,   56,   61,     ,     ,  19,
AL, 07, 2025092318, 03, FNV3,   6, 347N,  554W,  86,  973, XX,  50, NEQ,   37,   36,   29,   31,     ,     ,  19,
AL, 07, 2025092318, 03, FNV3,   6, 347N,  554W,  86,  973, XX,  64, NEQ,   19,   18,   15,   16,     ,     ,  19,
AL, 07, 2025092318, 03, FNV3,  12, 353N,  530W,  83,  975, XX,  34, NEQ,   75,   79,   56,   59,     ,     ,  18,
AL, 07, 2025092318, 03, FNV3,  12, 353N,  530W,  83,  975, XX,  50, NEQ,   35,   34,   27,   29,     ,     ,  18,
AL, 07, 2025092318, 03, FNV3,  12, 353N,  530W,  83,  975, XX,  64, NEQ,   17,   16,   13,   15,     ,     ,  18,
AL, 07, 2025092318, 03, FNV3,  18, 357N,  502W,  78,  979, XX,  34, NEQ,   73,   77,   57,   58,     ,     ,  22,
AL, 07, 2025092318, 03, FNV3,  18, 357N,  502W,  78,  979, XX,  50, NEQ,   36,   35,   28,   30,     ,     ,  22,
AL, 07, 2025092318, 03, FNV3,  18, 357N,  502W,  78,  979, XX,  64, NEQ,   16,   16,   13,   14,     ,     ,  22,
AL, 07, 2025092318, 03, FNV3,  24, 359N,  472W,  69,  983, XX,  34, NEQ,   80,   85,   63,   64,     ,     ,  28,
AL, 07, 2025092318, 03, FNV3,  24, 359N,  472W,  69,  983, XX,  50, NEQ,   37,   37,   30,   31,     ,     ,  28,
AL, 07, 2025092318, 03, FNV3,  24, 359N,  472W,  69,  983, XX,  64, NEQ,   14,   14,   11,   12,     ,     ,  28,
AL, 07, 2025092318, 03, FNV3,  30, 360N,  438W,  64,  987, XX,  34, NEQ,   82,   86,   65,   66,     ,     ,  27,
AL, 07, 2025092318, 03, FNV3,  30, 360N,  438W,  64,  987, XX,  50, NEQ,   35,   34,   27,   28,     ,     ,  27,
AL, 07, 2025092318, 03, FNV3,  30, 360N,  438W,  64,  987, XX,  64, NEQ,    9,    9,    7,    7,     ,     ,  27,
AL, 07, 2025092318, 03, FNV3,  36, 363N,  406W,  59,  989, XX,  34, NEQ,   86,   92,   71,   70,     ,     ,  31,
AL, 07, 2025092318, 03, FNV3,  36, 363N,  406W,  59,  989, XX,  50, NEQ,   32,   31,   24,   25,     ,     ,  31,
AL, 07, 2025092318, 03, FNV3,  36, 363N,  406W,  59,  989, XX,  64, NEQ,    7,    7,    6,    6,     ,     ,  31,
AL, 07, 2025092318, 03, FNV3,  42, 367N,  372W,  55,  990, XX,  34, NEQ,   78,   82,   63,   63,     ,     ,  39,
AL, 07, 2025092318, 03, FNV3,  42, 367N,  372W,  55,  990, XX,  50, NEQ,   24,   24,   19,   19,     ,     ,  39,
AL, 07, 2025092318, 03, FNV3,  42, 367N,  372W,  55,  990, XX,  64, NEQ,    3,    3,    2,    2,     ,     ,  39,
AL, 07, 2025092318, 03, FNV3,  48, 375N,  341W,  53,  990, XX,  34, NEQ,   81,   86,   65,   64,     ,     ,  42,
AL, 07, 2025092318, 03, FNV3,  48, 375N,  341W,  53,  990, XX,  50, NEQ,   20,   20,   15,   16,     ,     ,  42,
AL, 07, 2025092318, 03, FNV3,  48, 375N,  341W,  53,  990, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  42,
AL, 07, 2025092318, 03, FNV3,  54, 386N,  307W,  53,  991, XX,  34, NEQ,   74,   76,   58,   58,     ,     ,  43,
AL, 07, 2025092318, 03, FNV3,  54, 386N,  307W,  53,  991, XX,  50, NEQ,   15,   16,   12,   12,     ,     ,  43,
AL, 07, 2025092318, 03, FNV3,  54, 386N,  307W,  53,  991, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  43,
AL, 07, 2025092318, 03, FNV3,  60, 397N,  273W,  53,  991, XX,  34, NEQ,   96,   97,   77,   78,     ,     ,  43,
AL, 07, 2025092318, 03, FNV3,  60, 397N,  273W,  53,  991, XX,  50, NEQ,   22,   22,   17,   18,     ,     ,  43,
AL, 07, 2025092318, 03, FNV3,  60, 397N,  273W,  53,  991, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  43,
