# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025092506, 03, FNV3,   0, 362N,  404W,  76,  979, XX,  34, NEQ,   80,  160,  170,   70,     ,     ,  40,
AL, 07, 2025092506, 03, FNV3,   0, 362N,  404W,  76,  979, XX,  50, NEQ,   40,   80,   80,   40,     ,     ,  40,
AL, 07, 2025092506, 03, FNV3,   0, 362N,  404W,  76,  979, XX,  64, NEQ,   50,   50,    0,     ,     ,     ,  40,
AL, 07, 2025092506, 03, FNV3,   6, 364N,  368W,  65,  984, XX,  34, NEQ,   92,   98,   77,   75,     ,     ,  31,
AL, 07, 2025092506, 03, FNV3,   6, 364N,  368W,  65,  984, XX,  50, NEQ,   41,   41,   33,   34,     ,     ,  31,
AL, 07, 2025092506, 03, FNV3,   6, 364N,  368W,  65,  984, XX,  64, NEQ,   11,   11,    9,    9,     ,     ,  31,
AL, 07, 2025092506, 03, FNV3,  12, 371N,  335W,  66,  982, XX,  34, NEQ,   91,   97,   77,   73,     ,     ,  31,
AL, 07, 2025092506, 03, FNV3,  12, 371N,  335W,  66,  982, XX,  50, NEQ,   42,   42,   34,   34,     ,     ,  31,
AL, 07, 2025092506, 03, FNV3,  12, 371N,  335W,  66,  982, XX,  64, NEQ,   12,   12,   10,   10,     ,     ,  31,
AL, 07, 2025092506, 03, FNV3,  18, 382N,  303W,  62,  984, XX,  34, NEQ,   90,   94,   74,   73,     ,     ,  33,
AL, 07, 2025092506, 03, FNV3,  18, 382N,  303W,  62,  984, XX,  50, NEQ,   36,   37,   29,   29,     ,     ,  33,
AL, 07, 2025092506, 03, FNV3,  18, 382N,  303W,  62,  984, XX,  64, NEQ,    8,    8,    6,    7,     ,     ,  33,
AL, 07, 2025092506, 03, FNV3,  24, 392N,  273W,  59,  987, XX,  34, NEQ,   99,  101,   81,   81,     ,     ,  34,
AL, 07, 2025092506, 03, FNV3,  24, 392N,  273W,  59,  987, XX,  50, NEQ,   38,   38,   30,   31,     ,     ,  34,
AL, 07, 2025092506, 03, FNV3,  24, 392N,  273W,  59,  987, XX,  64, NEQ,    8,    8,    7,    7,     ,     ,  34,
AL, 07, 2025092506, 03, FNV3,  30, 401N,  244W,  57,  989, XX,  34, NEQ,  106,  106,   86,   89,     ,     ,  41,
AL, 07, 2025092506, 03, FNV3,  30, 401N,  244W,  57,  989, XX,  50, NEQ,   31,   31,   25,   25,     ,     ,  41,
AL, 07, 2025092506, 03, FNV3,  30, 401N,  244W,  57,  989, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  41,
AL, 07, 2025092506, 03, FNV3,  36, 407N,  217W,  55,  992, XX,  34, NEQ,   97,   99,   81,   82,     ,     ,  50,
AL, 07, 2025092506, 03, FNV3,  36, 407N,  217W,  55,  992, XX,  50, NEQ,   27,   27,   22,   22,     ,     ,  50,
AL, 07, 2025092506, 03, FNV3,  36, 407N,  217W,  55,  992, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  50,
AL, 07, 2025092506, 03, FNV3,  42, 412N,  187W,  55,  992, XX,  34, NEQ,   75,   78,   63,   62,     ,     ,  53,
AL, 07, 2025092506, 03, FNV3,  42, 412N,  187W,  55,  992, XX,  50, NEQ,   19,   19,   15,   15,     ,     ,  53,
AL, 07, 2025092506, 03, FNV3,  42, 412N,  187W,  55,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  53,
AL, 07, 2025092506, 03, FNV3,  48, 415N,  159W,  53,  991, XX,  34, NEQ,   94,  100,   83,   80,     ,     ,  59,
AL, 07, 2025092506, 03, FNV3,  48, 415N,  159W,  53,  991, XX,  50, NEQ,   17,   18,   14,   14,     ,     ,  59,
AL, 07, 2025092506, 03, FNV3,  48, 415N,  159W,  53,  991, XX,  64, NEQ,    0,    1,    1,    0,     ,     ,  59,
AL, 07, 2025092506, 03, FNV3,  54, 415N,  135W,  50,  992, XX,  34, NEQ,   70,   73,   61,   59,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  54, 415N,  135W,  50,  992, XX,  50, NEQ,   13,   14,   11,   11,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  54, 415N,  135W,  50,  992, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  60, 413N,  119W,  47,  994, XX,  34, NEQ,   49,   52,   44,   43,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  60, 413N,  119W,  47,  994, XX,  50, NEQ,    5,    6,    4,    4,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  66, 405N,  104W,  42,  998, XX,  34, NEQ,   41,   40,   35,   37,     ,     ,  60,
AL, 07, 2025092506, 03, FNV3,  66, 405N,  104W,  42,  998, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  60,
AL, 07, 2025092506, 03, FNV3,  72, 397N,   90W,  36, 1001, XX,  34, NEQ,   23,   22,   20,   22,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  72, 397N,   90W,  36, 1001, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  58,
AL, 07, 2025092506, 03, FNV3,  78, 385N,   87W,  33, 1004, XX,  34, NEQ,    9,    8,    8,   11,     ,     ,  55,
AL, 08, 2025092506, 03, FNV3,   0, 210N,  562W,  41, 1007, XX,  34, NEQ,   90,   90,    0,   40,     ,     ,  60,
AL, 08, 2025092506, 03, FNV3,   6, 213N,  565W,  49, 1002, XX,  34, NEQ,   48,   39,   22,   36,     ,     ,  31,
AL, 08, 2025092506, 03, FNV3,   6, 213N,  565W,  49, 1002, XX,  50, NEQ,    9,    7,    4,    6,     ,     ,  31,
AL, 08, 2025092506, 03, FNV3,  12, 216N,  568W,  54,  998, XX,  34, NEQ,   49,   40,   23,   37,     ,     ,  28,
AL, 08, 2025092506, 03, FNV3,  12, 216N,  568W,  54,  998, XX,  50, NEQ,   15,   11,    7,   11,     ,     ,  28,
AL, 08, 2025092506, 03, FNV3,  12, 216N,  568W,  54,  998, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  28,
AL, 08, 2025092506, 03, FNV3,  18, 217N,  569W,  62,  993, XX,  34, NEQ,   62,   51,   34,   50,     ,     ,  24,
AL, 08, 2025092506, 03, FNV3,  18, 217N,  569W,  62,  993, XX,  50, NEQ,   20,   16,   11,   16,     ,     ,  24,
AL, 08, 2025092506, 03, FNV3,  18, 217N,  569W,  62,  993, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  24,
AL, 08, 2025092506, 03, FNV3,  24, 218N,  571W,  66,  990, XX,  34, NEQ,   61,   50,   32,   50,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  24, 218N,  571W,  66,  990, XX,  50, NEQ,   25,   20,   14,   20,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  24, 218N,  571W,  66,  990, XX,  64, NEQ,    8,    6,    4,    6,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  30, 219N,  573W,  70,  988, XX,  34, NEQ,   65,   54,   36,   54,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  30, 219N,  573W,  70,  988, XX,  50, NEQ,   28,   23,   17,   23,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  30, 219N,  573W,  70,  988, XX,  64, NEQ,   10,    8,    6,    8,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  36, 221N,  576W,  73,  985, XX,  34, NEQ,   73,   61,   41,   60,     ,     ,  22,
AL, 08, 2025092506, 03, FNV3,  36, 221N,  576W,  73,  985, XX,  50, NEQ,   32,   26,   19,   26,     ,     ,  22,
AL, 08, 2025092506, 03, FNV3,  36, 221N,  576W,  73,  985, XX,  64, NEQ,   12,   10,    8,   10,     ,     ,  22,
AL, 08, 2025092506, 03, FNV3,  42, 221N,  581W,  80,  979, XX,  34, NEQ,   79,   66,   49,   67,     ,     ,  21,
AL, 08, 2025092506, 03, FNV3,  42, 221N,  581W,  80,  979, XX,  50, NEQ,   32,   26,   20,   27,     ,     ,  21,
AL, 08, 2025092506, 03, FNV3,  42, 221N,  581W,  80,  979, XX,  64, NEQ,   14,   12,    9,   12,     ,     ,  21,
AL, 08, 2025092506, 03, FNV3,  48, 222N,  588W,  82,  976, XX,  34, NEQ,   78,   65,   48,   67,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  48, 222N,  588W,  82,  976, XX,  50, NEQ,   36,   30,   23,   31,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  48, 222N,  588W,  82,  976, XX,  64, NEQ,   17,   14,   12,   14,     ,     ,  20,
AL, 08, 2025092506, 03, FNV3,  54, 223N,  595W,  91,  969, XX,  34, NEQ,   83,   69,   51,   72,     ,     ,  18,
AL, 08, 2025092506, 03, FNV3,  54, 223N,  595W,  91,  969, XX,  50, NEQ,   40,   33,   26,   34,     ,     ,  18,
AL, 08, 2025092506, 03, FNV3,  54, 223N,  595W,  91,  969, XX,  64, NEQ,   20,   18,   14,   18,     ,     ,  18,
AL, 08, 2025092506, 03, FNV3,  60, 225N,  604W,  95,  966, XX,  34, NEQ,   91,   76,   55,   78,     ,     ,  19,
AL, 08, 2025092506, 03, FNV3,  60, 225N,  604W,  95,  966, XX,  50, NEQ,   44,   37,   29,   38,     ,     ,  19,
AL, 08, 2025092506, 03, FNV3,  60, 225N,  604W,  95,  966, XX,  64, NEQ,   23,   20,   16,   20,     ,     ,  19,
AL, 08, 2025092506, 03, FNV3,  66, 228N,  613W, 102,  961, XX,  34, NEQ,  102,   86,   64,   88,     ,     ,  19,
AL, 08, 2025092506, 03, FNV3,  66, 228N,  613W, 102,  961, XX,  50, NEQ,   48,   40,   32,   42,     ,     ,  19,
