# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 07, 2025092606, 03, FNV3,   0, 387N,  275W,  54,  990, XX,  34, NEQ,  120,  140,  130,   60,     ,     ,  70,
AL, 07, 2025092606, 03, FNV3,   0, 387N,  275W,  54,  990, XX,  50, NEQ,    0,   70,    0,    0,     ,     ,  70,
AL, 07, 2025092606, 03, FNV3,   6, 397N,  242W,  54,  992, XX,  34, NEQ,   92,   90,   72,   76,     ,     ,  49,
AL, 07, 2025092606, 03, FNV3,   6, 397N,  242W,  54,  992, XX,  50, NEQ,   18,   18,   14,   14,     ,     ,  49,
AL, 07, 2025092606, 03, FNV3,   6, 397N,  242W,  54,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  49,
AL, 07, 2025092606, 03, FNV3,  12, 406N,  214W,  54,  993, XX,  34, NEQ,   90,   90,   72,   74,     ,     ,  53,
AL, 07, 2025092606, 03, FNV3,  12, 406N,  214W,  54,  993, XX,  50, NEQ,   17,   18,   14,   14,     ,     ,  53,
AL, 07, 2025092606, 03, FNV3,  18, 411N,  184W,  55,  992, XX,  34, NEQ,   81,   83,   69,   68,     ,     ,  53,
AL, 07, 2025092606, 03, FNV3,  18, 411N,  184W,  55,  992, XX,  50, NEQ,   23,   23,   19,   19,     ,     ,  53,
AL, 07, 2025092606, 03, FNV3,  18, 411N,  184W,  55,  992, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  53,
AL, 07, 2025092606, 03, FNV3,  24, 413N,  154W,  54,  990, XX,  34, NEQ,   76,   82,   68,   63,     ,     ,  58,
AL, 07, 2025092606, 03, FNV3,  24, 413N,  154W,  54,  990, XX,  50, NEQ,   10,   11,    9,    8,     ,     ,  58,
AL, 07, 2025092606, 03, FNV3,  30, 417N,  129W,  51,  990, XX,  34, NEQ,   78,   82,   67,   66,     ,     ,  60,
AL, 07, 2025092606, 03, FNV3,  30, 417N,  129W,  51,  990, XX,  50, NEQ,   12,   13,   10,    9,     ,     ,  60,
AL, 07, 2025092606, 03, FNV3,  36, 414N,  114W,  48,  993, XX,  34, NEQ,   75,   78,   65,   65,     ,     ,  59,
AL, 07, 2025092606, 03, FNV3,  36, 414N,  114W,  48,  993, XX,  50, NEQ,   10,   11,    8,    8,     ,     ,  59,
AL, 07, 2025092606, 03, FNV3,  42, 406N,   97W,  44,  996, XX,  34, NEQ,   59,   59,   50,   53,     ,     ,  52,
AL, 07, 2025092606, 03, FNV3,  42, 406N,   97W,  44,  996, XX,  50, NEQ,    5,    6,    4,    4,     ,     ,  52,
AL, 07, 2025092606, 03, FNV3,  48, 399N,   83W,  36, 1000, XX,  34, NEQ,   24,   23,   21,   22,     ,     ,  61,
AL, 07, 2025092606, 03, FNV3,  48, 399N,   83W,  36, 1000, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  61,
AL, 07, 2025092606, 03, FNV3,  54, 390N,   71W,  29, 1004, XX,  34, NEQ,    3,    2,    3,    4,     ,     ,  63,
AL, 08, 2025092606, 03, FNV3,   0, 221N,  571W,  54,  998, XX,  34, NEQ,   90,   70,   50,   90,     ,     ,  20,
AL, 08, 2025092606, 03, FNV3,   0, 221N,  571W,  54,  998, XX,  50, NEQ,   30,   30,    0,   20,     ,     ,  20,
AL, 08, 2025092606, 03, FNV3,   6, 221N,  573W,  74,  984, XX,  34, NEQ,   72,   57,   37,   59,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,   6, 221N,  573W,  74,  984, XX,  50, NEQ,   32,   26,   19,   27,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,   6, 221N,  573W,  74,  984, XX,  64, NEQ,   12,   10,    7,   10,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  12, 222N,  577W,  81,  978, XX,  34, NEQ,   69,   57,   39,   57,     ,     ,  19,
AL, 08, 2025092606, 03, FNV3,  12, 222N,  577W,  81,  978, XX,  50, NEQ,   32,   26,   20,   27,     ,     ,  19,
AL, 08, 2025092606, 03, FNV3,  12, 222N,  577W,  81,  978, XX,  64, NEQ,   14,   12,   10,   12,     ,     ,  19,
AL, 08, 2025092606, 03, FNV3,  18, 222N,  583W,  86,  974, XX,  34, NEQ,   74,   63,   47,   64,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  18, 222N,  583W,  86,  974, XX,  50, NEQ,   33,   28,   22,   29,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  18, 222N,  583W,  86,  974, XX,  64, NEQ,   16,   14,   12,   14,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  24, 223N,  590W,  91,  970, XX,  34, NEQ,   75,   63,   47,   65,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  24, 223N,  590W,  91,  970, XX,  50, NEQ,   34,   29,   23,   30,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  24, 223N,  590W,  91,  970, XX,  64, NEQ,   18,   16,   13,   16,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  30, 225N,  597W,  98,  963, XX,  34, NEQ,   83,   69,   52,   73,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  30, 225N,  597W,  98,  963, XX,  50, NEQ,   40,   33,   27,   35,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  30, 225N,  597W,  98,  963, XX,  64, NEQ,   22,   19,   15,   19,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  36, 228N,  606W, 102,  960, XX,  34, NEQ,   94,   78,   57,   81,     ,     ,  19,
AL, 08, 2025092606, 03, FNV3,  36, 228N,  606W, 102,  960, XX,  50, NEQ,   46,   38,   30,   40,     ,     ,  19,
AL, 08, 2025092606, 03, FNV3,  36, 228N,  606W, 102,  960, XX,  64, NEQ,   24,   21,   17,   21,     ,     ,  19,
AL, 08, 2025092606, 03, FNV3,  42, 231N,  616W, 106,  957, XX,  34, NEQ,  102,   86,   63,   88,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  42, 231N,  616W, 106,  957, XX,  50, NEQ,   49,   41,   33,   43,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  42, 231N,  616W, 106,  957, XX,  64, NEQ,   27,   23,   19,   24,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  48, 236N,  626W, 108,  956, XX,  34, NEQ,  104,   87,   62,   88,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  48, 236N,  626W, 108,  956, XX,  50, NEQ,   51,   42,   33,   44,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  48, 236N,  626W, 108,  956, XX,  64, NEQ,   28,   24,   20,   24,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  54, 243N,  636W, 112,  952, XX,  34, NEQ,  114,   97,   68,   97,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  54, 243N,  636W, 112,  952, XX,  50, NEQ,   58,   49,   39,   50,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  54, 243N,  636W, 112,  952, XX,  64, NEQ,   32,   28,   23,   28,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  60, 250N,  646W, 116,  949, XX,  34, NEQ,  121,  105,   72,  101,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  60, 250N,  646W, 116,  949, XX,  50, NEQ,   60,   51,   40,   52,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  60, 250N,  646W, 116,  949, XX,  64, NEQ,   34,   30,   24,   29,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  66, 259N,  654W, 112,  952, XX,  34, NEQ,  120,  105,   72,  100,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  66, 259N,  654W, 112,  952, XX,  50, NEQ,   61,   52,   41,   52,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  66, 259N,  654W, 112,  952, XX,  64, NEQ,   34,   31,   25,   30,     ,     ,  18,
AL, 08, 2025092606, 03, FNV3,  72, 268N,  662W, 109,  954, XX,  34, NEQ,  117,  104,   71,   96,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  72, 268N,  662W, 109,  954, XX,  50, NEQ,   58,   50,   39,   49,     ,     ,  17,
AL, 08, 2025092606, 03, FNV3,  72, 268N,  662W, 109,  954, XX,  64, NEQ,   32,   28,   23,   28,     ,     ,  17,
