# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 08, 2025092712, 03, FNV3,   0, 225N,  597W, 124,  938, XX,  34, NEQ,   90,   60,   50,   80,     ,     ,  10,
AL, 08, 2025092712, 03, FNV3,   0, 225N,  597W, 124,  938, XX,  50, NEQ,   40,   30,   25,   40,     ,     ,  10,
AL, 08, 2025092712, 03, FNV3,   0, 225N,  597W, 124,  938, XX,  64, NEQ,   10,   10,   20,     ,     ,     ,  10,
AL, 08, 2025092712, 03, FNV3,   6, 227N,  607W,  92,  968, XX,  34, NEQ,  120,   93,   64,  101,     ,     ,  17,
AL, 08, 2025092712, 03, FNV3,   6, 227N,  607W,  92,  968, XX,  50, NEQ,   59,   46,   32,   50,     ,     ,  17,
AL, 08, 2025092712, 03, FNV3,   6, 227N,  607W,  92,  968, XX,  64, NEQ,   30,   24,   18,   25,     ,     ,  17,
AL, 08, 2025092712, 03, FNV3,  12, 230N,  616W, 102,  960, XX,  34, NEQ,  128,   99,   69,  108,     ,     ,  18,
AL, 08, 2025092712, 03, FNV3,  12, 230N,  616W, 102,  960, XX,  50, NEQ,   62,   47,   34,   52,     ,     ,  18,
AL, 08, 2025092712, 03, FNV3,  12, 230N,  616W, 102,  960, XX,  64, NEQ,   33,   27,   21,   28,     ,     ,  18,
AL, 08, 2025092712, 03, FNV3,  18, 234N,  626W, 113,  949, XX,  34, NEQ,  139,  113,   79,  117,     ,     ,  16,
AL, 08, 2025092712, 03, FNV3,  18, 234N,  626W, 113,  949, XX,  50, NEQ,   71,   56,   42,   61,     ,     ,  16,
AL, 08, 2025092712, 03, FNV3,  18, 234N,  626W, 113,  949, XX,  64, NEQ,   40,   34,   26,   34,     ,     ,  16,
AL, 08, 2025092712, 03, FNV3,  24, 240N,  636W, 119,  944, XX,  34, NEQ,  151,  126,   87,  129,     ,     ,  19,
AL, 08, 2025092712, 03, FNV3,  24, 240N,  636W, 119,  944, XX,  50, NEQ,   79,   63,   47,   67,     ,     ,  19,
AL, 08, 2025092712, 03, FNV3,  24, 240N,  636W, 119,  944, XX,  64, NEQ,   46,   39,   30,   39,     ,     ,  19,
AL, 08, 2025092712, 03, FNV3,  30, 247N,  645W, 126,  938, XX,  34, NEQ,  164,  139,   94,  137,     ,     ,  15,
AL, 08, 2025092712, 03, FNV3,  30, 247N,  645W, 126,  938, XX,  50, NEQ,   87,   71,   53,   74,     ,     ,  15,
AL, 08, 2025092712, 03, FNV3,  30, 247N,  645W, 126,  938, XX,  64, NEQ,   50,   43,   34,   43,     ,     ,  15,
AL, 08, 2025092712, 03, FNV3,  36, 255N,  654W, 126,  937, XX,  34, NEQ,  163,  141,   96,  134,     ,     ,  17,
AL, 08, 2025092712, 03, FNV3,  36, 255N,  654W, 126,  937, XX,  50, NEQ,   86,   71,   53,   72,     ,     ,  17,
AL, 08, 2025092712, 03, FNV3,  36, 255N,  654W, 126,  937, XX,  64, NEQ,   50,   43,   34,   42,     ,     ,  17,
AL, 08, 2025092712, 03, FNV3,  42, 264N,  662W, 121,  941, XX,  34, NEQ,  155,  137,   93,  126,     ,     ,  18,
AL, 08, 2025092712, 03, FNV3,  42, 264N,  662W, 121,  941, XX,  50, NEQ,   82,   69,   51,   69,     ,     ,  18,
